organizationheadquarteredincou1_1,organizationheadquarteredincou1_2
1098,760
90,1959
90,2757
90,3356
90,4335
5108,5109
90,7005
90,8479
90,10616
90,11227
90,11809
1098,12117
90,12163
90,12203
1098,12217
90,12601
90,12824
1098,13724
90,803
90,14223
90,14549
90,14979
90,15667
494,16377
1098,17380
90,17804
1098,17885
1098,18141
90,18171
90,18729
1098,19728
642,16072
90,20732
90,1705
90,21154
90,21896
90,22269
1098,10008
90,23147
977,9949
90,1550
90,19758
90,24393
90,24782
90,22138
90,25170
90,25849
90,25934
1098,25960
90,27380
90,27674
1098,21253
90,28614
90,28791
1098,28983
90,720
90,29219
1098,30025
494,584
90,30601
90,30826
90,29684
90,30986
90,31043
90,31842
90,31927
977,1386
1098,25809
90,32216
494,31930
5593,14183
90,22701
90,25353
90,33810
90,33837
90,34149
90,34196
90,20849
90,628
90,34810
1098,35688
90,35829
90,36053
90,12378
1098,36374
90,36907
90,36997
90,37128
90,37140
90,949
90,37836
90,12106
90,24274
1098,24903
90,38307
90,38611
116,13919
90,29999
1098,39861
90,40323
90,10408
90,40711
90,40778
90,40832
90,28967
90,41300
90,41565
8749,42028
90,42119
90,24586
90,9045
1098,43022
90,6824
90,43092
1098,29747
90,20810
90,43215
1098,43299
90,28490
90,43378
90,43395
90,43589
90,25525
1098,22018
90,44178
1098,44230
90,40069
90,7268
90,46525
90,46911
90,13805
1098,47105
1098,42263
90,4605
90,48694
9080,36390
90,49757
90,49959
90,21633
349,50411
90,50735
1098,50879
90,51008
90,30325
1098,51977
2701,17108
977,1385
90,52250
1098,18895
1098,52433
90,10317
90,53123
977,2436
103,53926
90,37838
90,6500
90,21623
90,33817
1098,54318
1098,53703
90,26011
90,29534
1098,47012
90,54870
90,54951
90,22912
90,32161
90,53525
1098,2348
1098,56172
2626,44465
90,56507
90,56694
1098,9026
90,56852
90,8964
90,36571
90,15738
90,39818
90,57118
90,43357
90,31295
90,41837
90,54963
90,58401
1098,1107
90,56764
1098,8111
90,24349
1098,58937
1098,59212
90,59228
90,13139
2626,9148
90,53794
90,13931
90,60381
1098,60557
90,60791
90,61016
90,61120
90,5872
1098,2525
1098,57116
90,59488
90,61810
90,8815
90,45900
319,29561
90,41500
90,61874
1098,2205
90,62322
1098,28590
14018,62359
90,62409
1098,6332
642,12768
90,44292
90,62984
494,19321
90,28793
1884,57253
1098,10878
1098,29339
90,24314
1098,63790
1098,35236
90,64143
90,45676
1098,11814
90,31630
90,2383
90,56096
90,798
90,6955
90,65110
1098,1806
90,65374
1098,65391
90,65399
103,26269
10895,32964
90,52096
90,21848
90,66196
642,27687
90,6365
90,42842
90,25751
90,66773
90,26619
90,66849
90,29253
90,51305
90,67131
90,6860
90,7653
90,58650
90,58769
349,34390
90,68133
90,40007
494,26903
1098,59764
90,68506
90,26928
90,17549
90,36840
90,43726
90,56634
1098,68449
90,68946
90,54706
90,20454
977,69259
90,1445
90,36852
90,47780
3040,36254
90,56054
90,69526
1098,14148
90,21286
90,69834
90,52791
90,32254
90,69936
90,22228
1098,50068
90,70074
90,60143
90,70288
90,70321
1098,5651
17523,40526
1098,28685
1098,1805
90,70797
90,68324
90,14200
103,36057
90,23963
90,17307
90,13968
90,32778
90,27056
90,65493
90,40413
90,5645
90,34691
90,48245
90,72285
5010,6023
1098,12128
1098,7652
90,69806
90,44388
90,627
90,70190
90,61535
90,64927
90,17832
90,22193
90,66704
90,26831
977,29012
90,7251
90,50296
90,61502
90,73641
90,54943
90,54392
90,73734
90,3503
90,73781
90,18581
90,22700
90,50351
90,62798
90,68648
90,72733
1098,70264
90,22328
90,41452
90,44543
90,9667
90,672
90,1205
90,74479
90,74564
90,58355
5593,74613
90,65235
90,6517
90,71453
90,74769
90,74837
90,63099
90,49249
1098,57392
1098,60639
90,24362
90,15696
1098,46095
1098,22935
90,13769
90,47040
90,72533
90,42264
90,9387
90,39819
90,36992
90,75188
90,4004
90,14187
901,16787
90,39127
90,58887
90,15614
90,56635
90,74351
90,75141
90,59773
977,719
90,74768
90,54965
90,61902
1098,15932
90,24034
1098,308
1098,740
977,21801
5995,32612
90,28596
90,45845
26964,19875
90,62088
90,67634
90,67836
90,68712
90,725
