coachwontrophy_inv_1,coachwontrophy_inv_2
773,774
1317,1318
1871,1872
3400,3401
773,4014
773,4762
2705,4886
3400,5857
3400,5016
773,5857
1721,9475
1721,9726
3400,2151
773,7336
1026,10004
3400,10452
773,2711
2340,11388
2705,11459
1721,13004
3400,13240
3400,13605
3400,13637
3400,4014
1871,16464
3400,16731
773,3578
1026,15971
3400,19619
773,1318
3400,18983
1871,20115
3400,22693
1721,2337
3400,23490
3400,4762
3400,23943
2705,18478
1721,24469
773,16680
3400,26192
773,13637
3400,12481
1721,28845
2705,29298
3400,29504
1026,29873
773,20549
3400,6866
773,31395
3400,4571
1026,22319
3400,18409
3400,32551
773,5092
1721,4778
3400,12306
773,27754
1721,22154
773,35798
773,35907
773,26192
3400,25049
773,23943
2705,19924
773,30328
3400,22679
773,4571
11328,34641
773,7427
2705,2704
773,10458
3400,37760
2705,25530
3400,30200
773,2151
3400,16935
1721,39177
773,23789
773,23806
1721,2331
1317,8159
1871,10706
773,31963
773,19980
1026,33870
773,13240
773,35832
773,7648
773,18803
3400,31725
3400,39164
773,32551
3400,88
3400,23266
3400,1766
773,21134
3400,25573
1721,10212
3400,10458
773,25573
773,18983
32377,45909
773,4999
1871,8878
3400,31967
3400,33673
3400,26689
773,46861
3400,35854
1721,46976
1721,39449
2705,47790
3400,23342
773,8571
1721,28414
2705,48422
3400,7805
3400,23806
1721,38466
773,39065
773,31663
1026,7045
773,18409
1721,3596
3400,10096
3400,17424
3400,8041
2705,23599
1721,28147
773,25427
3400,51276
773,88
773,37760
32377,51560
1721,27666
773,9491
3400,19980
773,33673
32377,53314
3400,29246
1871,29005
1721,14722
1721,33911
1026,8432
773,22868
3400,10205
1721,52800
2705,33542
1721,8449
1721,55244
773,5839
1721,22828
3400,5840
773,31725
1721,1925
1721,52128
773,46804
1721,7186
1721,3351
3400,46901
3400,31240
1721,1720
1721,46918
3400,25427
773,11988
1721,25111
773,37195
3400,46861
1026,15661
3400,7533
773,8991
773,58490
773,6866
773,23266
1721,54980
773,16935
773,19351
773,27962
3400,27962
1721,23246
773,19793
1721,24313
2705,6275
3400,38026
3400,35832
773,25049
1721,39406
2705,56792
773,15892
773,13605
3400,4999
773,38253
1721,12872
773,26275
1026,38522
773,21205
3400,2711
3400,30832
3400,5839
2705,54671
2705,10486
3400,1318
3400,7427
2340,32973
3400,31663
773,16731
3400,3578
1721,48456
3400,35907
2705,18852
773,46901
1871,22641
1721,14267
3400,46804
1026,26747
3400,16680
1721,33651
1721,41062
1026,27044
773,39637
3400,24776
773,38026
773,22693
1721,3203
3400,21763
773,23490
773,5016
773,8041
3400,28171
3400,37195
2705,60970
773,1766
1721,18460
2705,31607
773,30832
773,14271
2705,50534
3400,7648
773,9875
773,24776
3400,8507
773,8467
1721,53532
1721,19834
1721,32872
773,11294
3400,5280
773,51276
773,55434
773,10452
1721,16523
1721,30863
2705,49023
773,11658
3400,8159
1721,2974
773,27277
1721,10141
32377,24552
1721,25712
1026,34386
3400,7721
3400,27754
1721,4750
773,23710
2705,41096
1871,40250
773,8159
3400,7336
1721,5779
3400,26166
2705,43204
3400,58490
3400,37991
3400,21134
11328,523
1026,28026
1721,34186
2705,56759
773,5280
3400,22868
3400,7298
3400,38253
773,12481
1721,14188
32377,39580
2705,870
3400,9491
1721,16658
1871,18426
3400,8571
3400,12086
3400,18384
3400,31395
1721,45464
2705,13228
773,32328
773,7533
1026,3137
1721,44579
1721,27984
773,12086
773,29246
1721,23157
1721,29293
3400,9875
1721,17103
3400,14271
1721,14045
3400,37959
3400,8273
1721,37938
1721,11644
1721,39358
3400,39065
1721,14432
1721,24778
1026,20925
2705,42014
2705,59342
773,12306
773,35854
1871,12802
3400,8467
1721,19585
3400,27277
773,1325
3400,32328
3400,26275
3400,11988
773,10096
773,19619
3400,8991
1721,6062
1721,9157
2705,11924
773,7721
1721,44622
2705,18043
1721,23119
2705,37837
3400,5092
773,8507
3400,23789
773,37991
1721,22888
6081,71089
1721,49107
3400,21205
773,10083
1026,22686
773,29504
1721,14344
2705,661
1026,8233
3400,17065
773,18384
3400,35798
1721,7682
1721,38456
3400,31963
773,7298
2705,16965
1026,41844
1317,30328
1721,35026
3400,10083
2705,58605
773,37959
773,17424
3400,19793
3400,1325
1721,7310
1871,19170
3400,18803
773,22679
773,21763
1871,45000
1721,23559
1721,68470
773,10205
3400,55434
3400,30328
2705,11486
3400,774
773,31240
3400,15892
773,31967
773,17065
1721,13816
773,26689
1721,20021
2705,54616
773,30200
1026,23326
773,5840
3400,19351
3400,11658
11328,8412
1721,49563
1721,20907
773,39164
1721,33284
3400,20549
3400,39637
1871,6836
1721,10056
3400,11294
2705,25837
1721,30830
1026,20783
3400,27139
3400,23710
