ismultipleof_1,ismultipleof_2
6350,1216
2905,8876
2905,9605
2881,1216
14282,14283
2905,3810
15250,15251
2905,12441
21951,789
22102,1216
2905,2904
5563,3730
2905,25380
2905,2642
2905,871
6643,1216
2905,27704
2905,28193
30350,30351
31208,789
31404,31405
33900,1216
2905,5510
2905,1216
2905,19575
25511,789
2905,29472
2905,37723
31404,789
2905,34625
2905,8408
2905,11874
29754,1216
2905,824
19536,1216
19042,1216
2905,28350
37073,9605
2905,12405
43957,789
1616,44303
2905,14227
2905,29
5563,789
14282,46871
31405,29637
52490,2729
2905,9869
38405,4650
19541,1216
1975,1216
45388,789
2905,26824
2905,56258
15155,1216
31208,12831
25684,25683
14282,58907
2905,60003
2905,17975
60446,46871
2905,20937
2905,35160
789,24140
62499,1216
2905,12363
2905,2882
2976,1216
2905,29637
2905,31405
18157,1216
46928,1216
2905,4306
65751,1216
2905,5147
14282,25683
8101,1216
5132,1216
31405,2905
68590,64597
15250,12831
31404,12831
52948,1216
69622,1216
61584,1216
2905,2478
45338,24947
2905,20119
5563,871
31405,789
2905,284
2905,24140
71412,1216
2905,29533
2905,37073
16582,1216
2905,60462
2905,789
2905,6810
72776,789
49766,789
60605,60604
2905,15280
73725,1216
2905,29843
14279,1216
74216,1216
5563,52665
2905,28
59594,6859
74866,5791
2882,789
2905,15251
45388,12831
71324,12831
75226,3730
2905,6184
45388,12441
2905,50615
12945,1216
380,1216
2905,2365
2905,6746
17319,1216
31405,5485
28193,9605
2905,217
2905,12831
