automakerproducesmodel_inv_1,automakerproducesmodel_inv_2
793,554
1085,554
2527,2528
2936,2402
3063,554
3606,3607
4023,4024
5327,554
6066,910
6930,6931
7307,2
7384,554
9309,9310
9458,554
10686,2402
11166,554
11925,4024
12546,12547
12806,2402
12969,6931
11869,2
14339,554
15090,6215
17353,1657
8772,554
17892,554
67,698
19633,5526
20215,2
20578,20579
20593,752
21091,2
20185,910
21649,2
5299,3607
22419,15331
9557,752
23170,554
19584,1657
26815,2402
25337,554
27284,554
27305,5526
13897,554
28199,2402
28333,2
28775,66
29819,1803
28228,5113
30628,5774
22384,554
2670,752
31336,554
9504,554
3542,4024
14928,554
9309,2528
22665,554
13955,7756
34589,554
36591,2
29517,752
37348,1803
37619,6931
37754,2402
37797,2402
22725,21143
15862,554
2527,37970
37973,554
38075,5526
35492,554
38878,5526
39351,554
40697,4024
41627,554
41904,2402
28750,28749
19482,752
26001,554
2527,44398
46182,910
67,66
46290,554
2527,34997
21025,12454
46702,554
7986,554
9309,47331
38959,6215
35993,37964
4281,15887
13955,8435
2527,32629
28755,752
3282,3281
42861,12454
50730,15561
43363,554
45741,554
2527,9310
7757,7756
19922,910
32287,554
15437,554
2527,52548
6516,554
22665,1657
52900,554
53402,2
53421,7991
52302,7756
54016,1657
28750,554
54607,5526
54731,2
50452,3607
55048,5526
55247,2
37572,554
2527,55458
55492,2
55541,25367
55610,1803
55615,2
2527,21617
55615,66
49609,910
56622,554
57069,554
57403,1657
41253,1657
54009,752
5580,5113
18201,554
11868,554
55106,554
53956,910
58632,6931
67,2
45106,37964
59372,3607
4741,554
2527,4024
4484,752
26547,1657
15105,2
31776,7756
60733,2
9411,1657
24283,752
25857,1657
37021,554
8138,2
19773,752
16554,752
56880,37964
30115,6931
29355,554
62661,5526
62730,21368
59628,554
20424,12454
984,1657
30115,66
52997,18372
36563,1657
30115,2
9369,752
64601,3607
35993,554
33690,2402
61390,66
49279,37496
10774,752
48981,1657
27107,5113
50273,910
34508,6931
3282,4024
65636,2
15105,66
6930,66
12455,65776
65806,554
2527,47331
66062,5526
44611,2
66456,37964
53282,554
10537,7111
9532,2402
11285,554
42982,910
47173,5113
1658,1657
15972,2
52781,554
68017,21453
48474,910
68426,554
51177,554
60197,554
9865,554
68538,554
67009,6931
9759,5113
26966,26127
35234,554
12455,12454
14331,3471
69122,7991
7154,554
28775,2
14862,554
68791,18372
28206,5526
44736,25367
2527,3281
27873,752
2527,26890
41478,41477
1804,1803
17200,1657
13302,752
3282,26890
2527,70617
66089,5774
59539,1803
6175,752
18230,554
26128,26127
20278,1657
18081,554
9309,26890
6576,5113
21828,910
30150,554
5114,5113
9309,4024
41229,554
64548,6215
71652,31544
71657,554
33690,4024
27758,752
46065,554
65945,554
68794,16071
31815,752
71970,21143
48877,910
34238,554
61390,2402
13465,554
14400,3607
66903,5526
44961,2402
72564,20399
61907,554
8596,752
47356,1657
34508,2
24634,1657
9411,2
2527,73040
37571,12454
73139,6215
8826,910
2527,48035
68514,12454
42132,1657
40353,910
24907,554
41041,554
846,66
4815,554
65625,4024
53156,1657
62595,5526
2617,752
38889,554
26374,7756
31776,8435
53981,7756
67496,3471
41229,2
48366,18372
3566,554
29572,910
10546,1883
71207,74358
18607,7756
47347,554
3542,910
7893,554
16871,554
72907,4024
17880,4024
11957,554
60867,4024
10721,1657
16053,752
54413,554
17356,554
74255,910
65334,66
30630,752
72829,910
25050,554
9309,34997
48954,1657
47635,3607
18703,554
14455,2
74923,554
44633,37964
65687,21143
51853,4024
39712,910
38019,1657
44066,910
55158,554
61818,5526
63253,27919
2527,70431
553,554
14539,4024
74036,1803
3851,554
30024,554
37916,554
61726,554
60310,2402
74186,21143
2475,554
6518,554
14080,554
51459,5526
30337,1657
69166,910
20694,554
74995,2
68250,554
55002,2402
71207,1657
52754,16071
15461,554
3282,34997
35210,554
57067,554
32144,32143
67262,554
37797,4024
58994,2402
75067,2402
21144,21143
31482,1657
