animaleatvegetable_1,animaleatvegetable_2
200,201
3277,3278
5427,5818
6809,5553
200,7494
9859,260
200,10999
200,12863
107,2423
200,1012
200,15896
2365,2423
871,2423
12363,2423
3277,201
200,23824
200,23846
2168,7124
9977,5553
20564,3150
200,14693
200,27091
200,27484
200,29376
200,29997
200,32075
5427,5426
200,33358
9977,9783
33731,260
200,34776
33501,260
1152,5553
200,20710
200,36417
200,14328
200,26079
7962,6354
3277,9211
200,7124
38773,38774
200,38972
107,8139
200,39474
200,40398
1152,26079
200,14124
10873,2423
200,8126
200,43652
824,43759
200,2423
200,22282
200,43955
44452,7124
1040,3291
2442,2423
200,45724
200,35712
5427,47290
200,47307
200,3291
200,15605
5427,5553
25842,5553
3277,1013
5427,26079
4694,15605
5427,3150
6809,260
200,49120
200,27862
2362,5553
50224,50225
2415,2423
7009,5553
1040,12093
200,13748
27093,260
200,1498
52499,5553
5427,52618
200,52713
200,52951
2328,9783
200,54519
3277,4872
1927,55170
5427,7727
55946,1413
200,7987
25199,7124
200,56238
52499,260
200,56911
17519,260
825,13494
200,57570
200,10050
3277,7124
200,9211
200,33370
200,16273
1040,7124
200,60290
200,47290
3277,18893
200,60663
6810,9783
200,18893
6810,13494
3277,29688
200,6983
3730,9783
1040,5553
200,47868
5427,9211
200,62955
63000,5553
200,32114
2415,7124
200,15480
5427,1012
200,31406
200,61386
7728,7727
200,57347
200,56151
200,28716
3277,15550
33501,5553
200,45533
200,51084
33501,1012
200,16259
824,2423
200,68343
6810,2423
52140,5553
200,38774
12441,2423
200,28697
200,36190
200,2012
2365,4632
200,62672
200,12330
55126,7124
5427,4573
200,30523
38773,2423
200,15021
200,55323
200,71244
200,34516
2900,2423
1040,12330
1152,260
3277,260
200,17160
1336,9958
200,5426
200,15200
200,20060
10110,7124
5427,12330
200,15485
200,1013
200,260
200,73275
54940,7124
5427,15485
200,64793
808,5553
6746,9783
200,29530
200,34480
1040,3150
33501,33500
2328,5553
1040,1013
29472,9783
1358,55007
2328,1012
7728,5553
1927,2423
62508,260
5427,73038
9922,2423
222,1012
200,1823
1610,12093
3277,15485
200,5553
2168,260
1040,71232
66015,260
12271,2423
2900,14041
808,260
3277,8126
52923,7124
56137,9211
200,12410
200,30563
5427,17292
200,70800
61751,7124
11645,7124
57132,260
56137,5553
200,12093
5777,7124
200,27597
71836,7124
200,11660
200,75056
200,21624
200,71133
2362,260
200,5818
1217,2423
5427,260
3277,23301
200,60790
2677,55007
25842,260
200,55093
200,9232
30339,7124
