plantrepresentemotion_1,plantrepresentemotion_2
4197,1267
363,2912
1009,17564
6454,18623
20300,1008
6454,1008
2754,22308
22442,1008
23532,23533
2754,23533
27589,1267
3546,27844
1009,30735
2754,32824
1009,32851
37730,1267
2754,9619
1009,27057
2754,4863
36060,1267
1009,1278
840,1267
1009,44035
22581,23533
2754,33430
1009,45936
2754,46250
46307,46308
2754,1267
2754,33493
17858,33827
18950,1008
1009,33827
2754,52890
6454,1267
19839,33430
1009,16165
2754,56689
25500,16165
2754,28279
17858,52890
27964,16165
1009,33493
2754,2912
1009,3890
2754,18623
1009,56857
2754,17411
1009,17411
27964,27963
1009,1267
1009,33430
2754,27963
1009,2912
1009,1008
1009,64174
2754,44035
2754,27844
30523,32456
1009,4863
6454,46250
36477,33827
1009,19838
6454,17411
1009,55575
12231,2912
1009,22308
2754,44839
1009,57868
2754,70408
2754,56857
64571,32456
19839,1267
1009,28279
18950,33827
27964,55575
28663,2912
2754,72316
25500,27844
2754,33827
2913,2912
6454,22308
17858,1267
1009,45969
27964,17411
2754,72933
1009,23533
1009,69542
1009,32456
3997,23533
1009,32824
19839,19838
1009,26608
21551,32456
1009,64393
6454,33430
2754,16165
2754,30735
27964,44839
1009,48602
363,74533
18950,70408
1009,68338
2754,1008
2754,55575
1009,49796
1009,9619
4435,1008
1009,44839
65208,44035
3996,1008
