musicianplaysinstrument_1,musicianplaysinstrument_2
150,151
1344,1345
1344,2453
2561,2562
2833,151
3030,151
3031,2227
3374,2227
3474,151
3330,4389
4430,2227
4623,4624
4656,2227
4920,2227
6153,151
7949,151
8515,151
8682,151
1344,9251
9336,9337
6412,151
11442,151
3330,11560
12359,151
12862,151
13155,151
3330,9337
11093,151
12102,2227
3330,11969
15252,151
15302,9438
15315,2227
4071,15381
15403,151
13550,10363
16522,2227
15252,16562
3330,17318
18713,10363
18787,2227
16396,151
19800,10363
1344,8230
1344,11969
1344,4624
5151,151
21985,151
4656,10363
22231,151
12993,10410
22383,151
22964,151
22981,151
23214,151
23229,23230
15252,23738
24152,151
24245,24246
24376,15381
4071,24806
24919,151
25491,151
25758,151
25973,24119
26229,151
13155,9438
26898,151
26929,2227
27212,151
24861,10363
27398,9691
7463,151
28677,151
1344,14595
29160,15820
29600,151
29915,151
30322,151
30577,151
30896,151
13508,151
31046,2227
2561,31508
3850,3849
3330,1345
32501,151
32817,2227
32885,151
32960,151
33185,151
1344,23230
5304,151
18305,22738
33733,15820
1344,33902
14035,11969
34050,8230
34555,151
34943,151
4071,2562
4071,2227
35517,10363
3330,9691
35916,2227
26759,151
3330,2453
2561,4624
37279,2227
14524,151
24245,2227
3031,4624
26311,15820
37734,151
32090,32089
37769,151
37884,9251
38226,8230
38299,2227
38471,151
38524,8230
4717,151
39037,151
39115,151
39171,151
39271,151
39703,151
2561,151
39973,151
15252,10363
40237,151
3330,14595
40419,151
35041,10363
1344,10363
15252,41347
41510,151
41588,151
41730,151
41971,2227
42344,151
18305,10363
3330,9251
19963,10363
1344,42779
14035,151
14887,151
43202,151
43277,37808
37914,10363
3191,151
43501,151
1344,24806
2972,151
29226,2227
43912,16316
18305,16316
42030,151
4071,4624
14535,151
43202,4624
29160,10363
10400,151
3330,8230
44528,151
44558,151
4071,10410
44672,151
13155,27120
1344,37808
45538,16562
3330,15381
4071,2453
45947,151
1344,9691
46003,151
25601,151
46230,151
46241,151
40095,151
46422,151
25601,9438
41820,151
46498,151
3330,42567
16317,16316
47234,151
14035,4624
12993,10363
42768,24806
48384,151
40035,151
48477,151
42067,9438
15252,41352
39047,151
48946,151
48967,2227
3191,4624
49092,15820
37525,2227
49390,151
4071,11703
16897,10363
15252,49691
42768,4624
50115,2227
50334,151
37137,151
51091,151
1344,22388
51308,2227
20401,151
16522,24119
51618,23230
51666,10363
20073,151
1344,9438
50390,2227
52065,151
52141,151
3330,23230
25601,32422
9336,14595
3330,21625
45269,10363
52756,151
33146,151
52793,151
14596,14595
53014,151
53321,151
37279,10363
53409,151
14596,2227
53422,151
24376,151
14418,9251
13576,151
4721,151
1344,11703
40857,151
54058,151
9336,151
40628,9438
54865,2227
54942,151
41311,2227
55256,2227
55289,151
25581,151
18305,17318
55388,151
55528,151
55798,2227
3330,10410
56448,151
24245,24119
18305,24119
57068,151
57074,151
3031,151
3330,46503
33240,2227
2228,10363
57781,2227
25643,151
3330,32422
57940,2227
19963,2227
50584,151
15252,58119
31569,151
58560,58561
58596,2227
58678,151
58731,2227
50390,10363
1344,2227
18049,151
11717,15820
58957,151
4071,22388
9675,151
40107,10363
39305,151
59341,2227
48220,2227
46056,151
1344,15381
41747,151
55887,9438
59636,32422
32638,31508
15725,151
49330,151
1344,27120
59896,10363
42768,32422
4071,60029
60246,151
3280,151
46837,151
58723,151
60738,151
34659,2227
60824,31508
60873,9438
36790,151
15821,8230
43273,151
61318,151
61330,151
3330,61444
61500,10363
14596,9438
61616,151
4071,14595
26020,151
61748,151
9336,9438
33182,151
55517,9438
2561,23230
14035,32422
50873,2227
4071,11969
49997,151
19310,32422
62186,151
58785,151
14535,11703
20594,10363
58323,151
54260,151
11093,4624
45413,151
51618,151
62611,151
3330,42779
14035,2227
9336,2227
9336,11969
62910,10363
26311,2227
3330,31508
63079,9438
21036,10363
56963,2227
3330,10363
19127,151
3330,4624
15252,43123
46320,151
37539,151
9336,8230
35041,2227
63373,151
64141,151
2561,24806
37709,151
64617,151
34417,2227
64898,8230
64976,151
65052,23230
65091,151
57814,151
65298,151
56731,151
65579,151
2561,11473
65623,151
16522,17318
23255,151
20594,15820
16522,16316
55408,151
41066,151
3031,9438
61604,151
4071,9438
40015,151
18305,32089
53201,2227
4071,151
66748,151
16897,2227
16387,151
66867,151
66958,151
25973,2227
66977,151
2099,151
1344,2562
33984,4624
30385,151
67080,151
7700,151
15252,15820
67360,151
67588,151
2561,15381
30870,151
1344,15820
32090,8230
54072,151
60994,151
67992,4624
40441,151
19963,15820
46088,9691
3330,60179
50390,15820
42768,9438
11960,151
9439,9438
8249,151
28014,151
65078,2227
15252,16316
68851,151
2561,14595
15821,24119
13958,151
3330,69099
53201,10363
15743,151
56266,151
42768,2227
69515,151
69568,9438
2561,16562
69129,2227
48401,151
69751,2227
67111,151
67066,151
69108,15820
69872,151
4071,9251
47743,32422
37224,151
70156,151
38524,2227
18305,2227
15252,42698
13155,2227
15821,37808
2228,2227
19310,151
60691,151
50521,151
51158,151
53215,4624
3330,58912
70796,151
34758,151
61251,10363
1344,9337
3330,22388
67625,151
16522,10363
20594,2227
25827,151
13155,9251
2561,9251
37501,151
71055,10363
71152,2227
1344,10410
52008,151
4071,31508
4071,27120
24376,2227
61454,2227
60780,2227
60024,151
71668,151
44749,32422
71743,151
18305,66907
59443,151
71769,151
71775,151
65275,151
4071,32422
44023,15820
3330,71890
47743,151
33929,151
3330,11703
52439,151
32979,151
9692,9691
1344,21625
3191,32422
3330,16562
31346,151
17250,151
72299,10363
59283,151
62202,151
3330,72368
72378,151
51196,151
41450,151
61434,9691
69751,15820
2561,9337
50873,10363
11715,2227
19348,151
26929,17318
57931,9691
72694,151
64215,151
43582,151
65604,151
18126,151
24376,9438
14535,32422
72097,151
11727,151
72640,9438
37809,37808
66478,151
