locationlocatedwithinlocation_1,locationlocatedwithinlocation_2
192,457
735,736
192,907
1089,636
1254,866
1062,1334
192,1351
192,1672
192,1794
1867,1868
192,2456
2631,2632
2722,2723
2760,2761
192,2805
192,2863
3104,3105
192,3127
3170,321
3306,3307
192,2514
192,3352
3382,321
3547,80
192,6
192,4053
4195,4196
4316,4317
192,4428
4597,81
192,5094
192,5329
5416,1868
5551,5552
5658,1627
5709,3370
5764,977
5994,5995
6064,6065
6164,3307
1323,6332
192,6539
6580,484
192,6788
6797,4556
192,6920
6972,250
7160,321
3861,1059
404,3034
1323,6069
8307,90
8401,349
889,731
8743,1016
192,6698
192,8924
192,7178
9029,977
9037,6
192,844
192,6308
192,1586
9738,321
192,9782
5813,4880
10257,321
10327,1568
10523,81
10670,3797
1323,1251
10963,3813
192,81
1091,1092
11512,11513
192,11710
192,11915
11942,321
12065,1237
12191,904
4491,321
1323,12606
192,13281
13369,7557
6788,3034
192,5597
13504,81
6069,1323
192,14008
192,14049
192,14214
14316,3078
1323,36
192,14602
192,1546
14790,4089
8601,889
192,1966
464,250
3695,15482
192,15666
192,614
192,9963
192,15746
15747,1016
192,4846
192,1790
16040,321
192,8088
192,3515
1465,1953
192,17014
14144,17
192,3124
192,17109
17208,5995
17218,3370
192,17271
192,85
1323,5764
192,17418
192,17430
1323,541
17595,978
17735,13980
192,2932
192,17869
5911,8473
13310,4556
192,8647
192,18108
18148,17
225,299
192,11682
192,14669
192,18589
18766,245
10016,541
192,1224
19076,2138
19103,904
192,19168
192,19218
15681,889
19828,3
19854,844
602,19884
192,20015
192,7993
192,11419
20558,1901
192,20584
192,19372
18928,36
192,3228
192,7445
3742,3062
20842,1016
6254,6
192,21052
21209,1374
192,21276
21485,250
1567,889
21670,9080
21733,1868
2113,321
21810,17523
1915,250
192,21880
1247,15686
192,22080
22081,2303
20652,321
192,22151
22471,321
192,22492
21026,1016
192,8172
9410,4047
192,22988
23163,1059
1323,23224
192,10183
23411,2163
13433,321
23439,10895
192,23633
192,23705
192,16306
8127,1059
192,23967
192,2708
5474,844
20076,5555
1323,2662
192,12750
192,13311
192,460
24892,3726
24906,9274
24912,904
25074,321
1323,25106
25143,36
25171,11663
25188,3040
25203,904
192,24064
25470,25471
3897,90
25590,1627
14029,1868
192,25791
192,2855
192,10971
26004,321
192,26013
26024,18283
26040,5802
26075,349
321,889
192,1575
192,15575
74,3034
192,12835
192,26362
8698,844
24415,18879
192,26549
192,12221
26664,250
192,26688
1958,859
9037,26750
192,4489
192,7290
27106,905
192,10294
192,27285
27350,484
192,27402
192,17602
27714,5008
9037,48
192,27899
27955,321
192,7143
192,28107
28260,321
192,28356
28382,6
3880,636
28514,5008
192,28617
192,12434
28823,1627
48,977
192,28866
192,28885
192,29156
192,2706
192,15933
192,29525
29593,1901
192,29718
192,29748
18152,17
17314,3870
192,29831
29842,901
657,81
29962,2626
30117,4089
4202,5764
3755,321
30259,904
788,787
192,12611
192,28122
192,27891
192,30544
192,30602
74,13002
192,30408
31305,772
192,2796
13338,7178
192,32160
192,27528
7736,977
32444,3870
7135,243
32555,36
6181,1966
8827,1627
32624,17
32760,4089
32913,9080
4089,3034
192,25585
7368,321
33335,17
33449,2625
192,33550
33631,14548
192,33684
33852,128
33954,5008
192,33172
192,2078
27650,8459
7141,321
26845,659
34234,978
15869,321
5747,1016
34464,1627
16370,1627
192,34541
192,34586
192,17914
979,9905
34690,331
34763,36
21931,14132
192,34893
192,34934
787,81
26051,2796
14255,3538
192,2982
192,18494
353,2625
192,9686
35584,36
3032,250
1323,3279
27539,901
35810,889
192,990
192,35904
35991,2626
494,81
192,28601
192,36214
36231,889
36330,889
192,2395
14325,977
192,9027
36546,1059
192,36564
36762,1059
16609,484
192,6493
36944,12015
1323,2514
192,36962
192,10996
192,37253
7123,484
37394,2129
8910,484
21106,4299
192,15453
27330,36
11250,250
192,7420
192,37929
192,37990
192,32308
192,3763
38163,4767
192,9080
192,700
38306,5108
38525,1059
192,15103
38637,859
192,1628
2223,7178
192,2163
192,25329
192,20759
192,10176
1323,3553
39091,904
8602,8601
39179,2626
192,39182
1323,39185
1323,39239
192,39277
39300,889
1958,7758
1323,1627
250,90
17381,484
39430,36
39458,5802
39461,5008
192,39487
192,5214
1323,10971
17301,321
192,15354
39592,1092
1465,1844
192,349
36,977
192,11003
192,642
16929,3262
39810,6422
8185,904
250,1082
39899,321
192,21648
1323,659
25326,4556
192,8297
40021,81
40168,5008
7603,7905
192,16595
192,13926
192,114
21542,321
40803,321
29080,36
192,3930
25744,1724
192,40877
8603,904
192,16809
192,1175
20292,11955
310,309
14152,36
192,41181
1107,6
21007,17
1816,1724
192,7815
192,41394
192,19041
192,6431
20619,7178
192,41485
34844,2303
192,25846
192,41630
192,40561
37674,321
17361,243
1323,859
192,321
2489,250
9813,2632
8597,321
192,41963
192,2643
12749,27991
24282,2761
192,9990
192,7282
192,8862
33190,2079
42455,4047
42493,2222
192,42505
192,23042
192,1098
42592,349
192,41475
192,42684
42685,9422
25176,321
22656,978
192,42743
40938,17
192,38106
40517,844
192,18071
192,39627
10528,43147
12182,28430
192,11501
25328,905
43203,18283
2285,15482
43275,904
192,43305
1323,844
2707,2706
192,20706
43513,13434
8020,1627
192,772
192,36001
43720,859
10042,81
192,24857
192,779
