teamhomestadium_inv_1,teamhomestadium_inv_2
8605,195
10059,10060
8197,9769
10488,3188
17004,17005
8942,18249
19938,7812
21045,11847
21351,4165
9401,2703
8992,392
17067,2694
4874,2702
19362,10159
24895,22573
11884,16250
9461,1633
27080,6212
5403,3314
30192,2476
5905,1116
5905,350
1324,3293
38920,12957
18819,10759
39711,4854
4061,971
8720,497
15424,2007
10705,5181
15610,12995
26191,8486
39780,42772
8992,9598
8289,552
6304,3746
7046,3383
16603,1914
4788,4787
6093,1988
14782,57
1080,2338
1080,1004
6276,5002
869,10864
21410,56
24855,449
38,16220
35842,14077
9401,69
10261,12325
13501,1807
12575,4899
19687,447
32212,4183
37415,5767
35151,16162
15610,13029
16130,1250
56744,3558
44344,551
8839,5183
19362,3854
366,1992
9461,11729
38,32224
35151,9915
11965,9262
6256,7039
8720,806
32097,2819
63611,17670
38,16167
11526,20152
5075,3393
10488,62
3636,1248
11068,2341
42992,15349
8942,476
8197,4148
3577,4602
15519,281
25936,14503
6577,421
32097,126
13070,1355
66427,54961
21720,13298
47447,47446
52643,383
13715,3821
4874,2593
1440,1284
8239,11231
42193,12868
14618,68
18819,113
9421,12248
13501,10922
10059,8366
38,33736
683,486
5905,8222
683,882
41484,9804
22737,1439
5905,6744
8839,1993
1802,3893
8839,10331
24250,4504
17607,379
2136,5182
1558,9822
6349,6348
5015,7486
51828,10775
20572,4332
27765,8814
27604,562
25330,19721
36113,1265
3021,5044
46641,2004
24960,4418
10261,4661
17676,3900
13715,99
19925,69655
5000,28153
57647,7319
18819,3665
21923,1669
31981,326
16257,3772
36841,18203
8605,17579
39780,4184
4360,2173
5015,87
4049,4048
10705,35
