parentofperson_1,parentofperson_2
1121,1122
2016,2017
2360,2017
2633,2634
3208,640
5404,5405
6013,6014
2360,1122
7931,7932
8381,8382
2360,9870
10085,10086
10844,1122
11487,11488
11498,11499
12656,12657
12779,12780
13696,13697
13923,1122
14869,14870
16302,2924
16348,16349
5558,17810
18082,1122
7931,18752
19329,2968
13929,13093
1995,19776
20518,4922
20567,20568
21525,21526
16349,16348
15690,15691
15691,15690
23209,23210
25531,25532
25775,12780
10844,5405
2016,5405
1995,28124
28232,5405
7867,17589
123,2968
29134,29135
8546,25162
30772,30773
17234,30904
31091,1652
27710,25504
31554,22816
31732,1122
32103,32104
32464,32465
24014,24013
33734,33735
13152,1122
2636,1122
6013,2636
18231,2308
1995,19329
35769,35770
13093,11597
1858,15971
7456,36742
1995,13093
38049,38050
18507,1122
19329,34035
10929,22816
7456,6014
39180,39181
39286,453
10844,2968
39793,39794
34681,34680
32961,32962
33123,1122
1995,1234
41469,2924
16473,1122
34395,2968
41858,41859
18484,5559
34395,5405
14869,35526
2360,39168
5404,13093
28799,28798
44313,44314
44949,44950
124,123
14387,14386
45264,1858
7456,31183
2360,14631
11452,11451
45823,1122
46493,1122
32962,32961
46706,46707
47152,42167
37739,10905
2636,6014
38050,38049
23895,23896
35475,1122
4696,4697
2360,22986
23210,23209
2308,1995
123,3658
33123,5405
40632,40631
13093,1995
13093,22816
48509,48508
1995,22816
2308,19776
51961,51962
7456,35526
2308,1122
52779,18007
2308,6014
48300,19329
18231,25246
32104,32103
40029,12264
54854,54855
187,1122
55925,55926
49883,5405
56566,56567
56649,47706
20568,20567
1652,46767
56979,1122
15,25504
31091,4922
54690,54689
15194,15195
35475,5405
1995,2017
51028,45072
25246,18231
2016,39168
57581,1122
2924,16302
11488,11487
10929,5405
58670,58671
123,34035
19329,13093
54322,26329
32586,32585
32682,32681
2636,2968
47706,56649
13933,13932
20518,13093
60689,60690
1995,2308
2308,3658
61332,61333
1995,2968
12265,12264
5886,27670
40855,59043
61972,1122
6013,36742
13697,13696
368,367
62601,13093
7456,35336
2360,2308
53148,53149
63315,1122
19329,1122
54632,33735
4044,14631
59043,40855
45823,5405
61622,61621
47619,63817
123,19776
15971,1858
17331,17332
18232,18231
33137,33138
18007,18008
48300,5405
15859,53635
35475,13093
13093,3658
4922,15662
48300,3658
1995,123
24982,13093
48690,51391
17810,30992
33662,5308
4922,46767
33123,2968
51528,8734
67293,1122
20518,1122
48300,1122
56567,56566
67525,1509
123,1122
50062,50063
2636,5405
6590,1122
39357,2968
40578,1122
33761,33762
40476,40475
35251,1122
67689,67688
19917,5405
17234,17235
2360,1995
41859,41858
4922,18231
37490,8576
50063,50062
68633,68634
60795,1122
55748,55747
20518,6591
18231,11597
6469,5405
14869,46306
5404,2968
32892,38595
13329,32733
69813,69814
65524,65525
61621,61622
8546,37604
40273,68282
30773,30772
2634,2633
40475,40476
13093,10086
2308,27015
15195,15194
43285,43286
61249,61248
54689,54690
30992,3209
61333,61332
39168,1122
25162,8546
32585,32586
65525,65524
21963,21964
69814,69813
16151,16150
266,14673
57463,1122
4982,4981
62060,62059
48508,48509
68620,1122
33138,33137
25080,25081
29243,8254
62601,1122
18231,6590
16149,640
25532,25531
56317,33762
7456,46306
18008,18007
2016,13093
1995,9870
64410,64409
54855,54854
49512,22816
35429,26757
31440,1122
28124,1122
30504,20795
13929,1122
20518,5405
26757,26756
10905,37739
20518,19776
28798,28799
60690,60689
56834,56833
48408,48407
124,2308
19917,2968
124,28124
67108,22816
20518,2968
44950,44949
6013,31183
6469,1122
28269,39168
32912,32911
44604,18007
266,2888
33735,54632
16149,16148
33123,13093
8382,8381
72177,2924
23896,23895
13929,5405
53149,53148
26954,41973
29244,8254
4697,4696
2360,60795
2016,1122
17332,17331
38546,38545
4922,22816
38595,32892
4922,1652
54833,66225
48300,13093
13304,1122
51438,51437
70085,1122
4211,4212
6469,2968
34395,1122
55827,55826
25921,18484
63606,37490
4922,30992
55747,55748
27670,5886
33311,1122
75095,1122
31554,5405
13304,5405
32465,32464
12657,12656
15971,10929
59464,56834
11451,11452
36491,63207
71187,1122
