arterycalledartery_1,arterycalledartery_2
1402,1403
654,5042
6217,857
857,7842
654,5732
857,8785
654,10894
654,2656
2532,13419
13709,857
1402,14685
857,2656
16498,16499
654,12510
5607,16498
7007,654
5607,2532
857,6217
19151,10894
19761,857
654,14802
5607,21117
16498,857
19761,654
857,11464
654,24299
5607,12711
1402,2656
654,5084
2532,20299
28037,23064
654,28168
654,30193
857,30236
2532,24525
2770,14685
26244,19761
857,6693
857,33477
654,33738
32379,857
654,26244
10894,23034
35107,10894
857,13709
35623,857
654,857
857,37728
857,16498
654,37926
654,38254
10894,38850
654,23419
16498,24525
857,40869
654,42414
14685,30193
654,19389
37265,16499
654,8517
43382,857
654,43539
44517,857
5607,11830
7007,857
654,19761
654,48562
44634,857
654,49464
857,5673
857,49792
654,50818
857,44517
26244,28789
5607,19389
51225,19357
857,28789
857,753
14685,29526
38850,10894
857,28037
654,2532
18,857
857,5042
5607,2656
28168,2656
10894,19151
54923,30193
30193,20299
16498,30112
5607,5084
5607,857
16498,57113
857,37216
857,30112
857,17590
58146,10894
36586,10894
654,19357
26244,37216
37804,16498
654,1362
26753,10894
857,18
654,11830
11787,16498
16498,61224
37728,857
857,19761
857,32825
857,61956
654,31740
5673,857
857,37580
654,23064
857,14510
654,63686
857,54636
857,30706
857,23064
16498,22008
654,5258
857,44634
6693,857
654,46465
857,65458
857,5607
2533,2532
654,54923
857,30193
37265,16498
654,51225
2532,12711
14685,17262
5607,20299
24525,22008
67252,2532
857,20299
10894,2533
857,42960
2532,1403
17872,19761
5607,13419
857,5084
39391,857
857,40307
5607,10894
654,17590
26244,857
654,56633
857,5258
654,16498
42345,16498
10894,26753
857,57485
654,6671
654,54211
59332,857
34945,10894
37265,42434
857,31740
654,13401
654,65011
654,18
857,11830
857,32379
19389,16499
857,25311
654,30706
654,30112
857,44919
5607,30112
654,753
5607,48084
26244,44634
654,3248
857,14685
654,24525
654,1403
857,10894
654,54636
654,39324
654,22008
654,73044
857,73118
654,2742
654,14510
25311,857
30236,857
14510,857
2770,5732
857,7007
857,39391
857,24525
70028,857
2532,14685
857,43382
14685,19357
857,30790
28789,857
49792,857
37265,19389
857,13401
16498,26244
654,13659
33738,654
654,20290
857,26244
37216,857
654,20299
17590,19761
40307,857
14510,654
857,59332
17872,16498
857,12799
11830,857
14685,20299
5607,18
857,2742
654,24624
654,5607
654,14685
654,32836
654,53781
22009,22008
2533,10894
8785,857
5607,5258
17590,857
857,70028
36586,2532
33477,857
56710,16498
654,653
57485,857
857,35623
2770,1403
654,7007
23034,10894
10894,34945
61956,857
