personleadsgeopoliticalorganiz_1,personleadsgeopoliticalorganiz_2
1127,1128
2062,2063
3588,3589
4548,4549
2870,3553
5260,5261
14417,1098
3588,14558
2870,14394
3588,18942
2870,2170
1920,20891
3588,4007
26701,5910
3588,22404
15893,7220
14417,6044
24365,9581
3588,35013
35384,914
3588,2951
18826,843
2870,36571
3588,14730
24374,6
3588,40841
40859,377
897,1783
3588,26884
42348,4729
34567,8910
7743,3689
3588,22063
2870,17733
940,941
14417,19344
3588,11872
7743,22718
48504,2205
48904,556
3588,2572
3588,14063
45257,74
3588,10715
2870,31006
34304,7057
53215,30
14417,310
3588,55957
3588,9141
10919,9417
26951,6071
2870,27361
58174,250
40414,2760
10712,10711
3588,18716
101,6796
26312,114
3588,6431
28293,2307
7847,80
3588,2222
64075,8495
3588,64236
3588,64471
3588,16141
14417,64927
21503,9462
14417,741
11412,2871
31608,24774
2870,760
14417,43988
37269,37270
3588,5010
14417,309
3588,6757
3588,28646
3588,29012
3588,68830
69360,3279
23277,2303
3588,69723
53215,26144
3588,11778
1799,133
3588,5350
2870,6547
71103,751
17691,53495
2870,66530
3588,72230
14417,5754
3588,4223
14417,6660
52760,6386
15178,3534
7743,14152
3588,3034
3588,6332
3588,44787
3588,66985
3588,37303
19402,5756
6941,2830
6608,6837
49913,1421
33264,11475
3588,24172
28778,2494
3588,10778
3588,11465
3588,5597
3588,16425
14417,37192
14417,45058
24822,23720
3588,7793
40705,40324
50577,50576
3588,15130
16899,6375
