airportincity_1,airportincity_2
224,225
929,930
1815,1816
4907,4908
5996,410
8339,133
10313,10314
10643,10644
11080,1825
12002,299
6004,992
12753,10503
13581,13582
14332,3488
14807,2935
14277,5019
16000,2760
16971,6796
17765,5086
19840,7872
19930,1646
19985,5127
21165,21166
2058,1134
22662,22663
23173,23174
23429,2607
13095,2113
24486,24487
9715,207
25318,9500
25426,299
26142,10784
27002,27003
27532,27533
2741,2740
27945,6386
28975,28976
29981,14566
31229,12398
17003,9133
32529,10503
32766,1825
15505,2514
26242,479
28305,9417
30588,30587
33868,33869
33899,7921
34595,731
34920,34921
34942,4546
16213,5228
35875,35876
36378,6386
32260,32261
36552,10372
36937,1876
36976,528
37097,27814
37129,2899
38266,17232
38371,38372
38535,7939
29468,13684
39315,39316
39332,6386
39348,944
39640,751
39953,3880
40149,7001
8620,5896
40527,16986
5908,35919
20989,979
41638,28002
42163,42
11763,250
42539,15646
22519,3222
43032,20116
415,414
43334,80
43340,3518
43432,5790
43441,16337
40208,1668
43991,43992
34338,24092
41803,30403
44514,44515
36172,5984
3721,299
45521,40837
45649,34649
45697,3695
46099,2631
46747,37971
25182,25183
47248,9500
47791,299
48277,7452
48635,48636
39303,9012
12593,4561
49086,5228
3249,13464
49247,16490
49679,49680
49729,15285
50412,37382
41864,1593
50429,2740
32358,20003
25209,14289
27434,4499
46916,22698
51052,6164
49546,5121
1917,1916
52161,556
52304,20604
45686,15527
52606,52607
50110,50109
53606,7957
53675,3579
54140,18579
53295,53294
10289,10288
55266,22428
55352,15002
55374,55375
54789,1876
55416,19984
18057,6422
37098,7939
30888,5372
49896,34649
56529,9462
56616,4499
47558,47557
57123,13568
54953,54952
57444,37643
57459,11170
37716,17232
57692,7939
57804,16705
16359,9500
58210,9468
40546,35987
30346,1894
38012,8614
35274,22525
47396,9365
33558,33557
48063,19030
4551,51640
7646,4236
32869,32868
31875,31874
46796,555
60584,60585
48848,9430
37972,37971
31597,1668
26699,5228
34064,2514
9932,20570
43399,565
53511,32556
35228,133
61682,18804
62099,62100
62214,62215
57193,29982
9978,5790
15641,15640
40950,37364
62939,47474
12581,12580
63103,13310
63267,19596
59474,59473
63752,1753
34131,1377
60450,7393
64012,27195
51219,7072
33423,29575
64969,4723
33718,33717
55635,12308
65740,8692
40386,40385
43119,43118
65952,65953
66009,17621
62569,7480
66213,4053
66254,20003
17254,17253
43445,183
52929,556
51380,731
19972,528
65352,34679
67095,67096
48221,250
56134,2514
58344,3222
57005,57004
43306,2740
33061,6938
58,59
43005,7208
60471,15215
65096,65095
9481,9480
59101,8047
37189,10986
16622,1454
37662,37661
12572,1916
67061,1916
69626,28299
52661,86
8885,8884
1455,1454
57183,10503
21813,528
39394,7057
56500,1593
18163,18164
70544,38591
34436,34435
52698,6736
57837,17604
58587,1465
23361,5896
15286,15285
24138,24137
34246,15067
34499,34498
71401,71402
67024,8047
34278,34277
70325,70326
4763,4764
71443,42753
70214,485
29470,12251
60654,4983
24747,15646
62605,62604
52095,11170
51834,250
12486,479
40948,32877
72171,133
39445,3090
1500,1499
8949,299
35661,250
72554,52150
50952,12398
22993,250
66453,133
38385,51632
26570,9422
56025,8698
26341,13983
42928,4723
71739,7579
68258,3930
20431,20432
36435,24714
51575,6386
1777,1776
26742,26741
62047,914
54990,5896
21170,207
63751,2307
35590,32261
40284,40283
25363,6386
70808,52316
64244,3115
65329,11225
73695,73696
73722,6936
73767,65953
29925,29924
34094,6379
39733,39732
51955,27533
24891,20703
74061,5756
33025,15788
20163,4708
55384,3518
59762,38415
36079,36078
25061,18106
28515,3026
20969,20970
23919,11664
12252,12251
34066,14046
50993,25583
24232,133
25885,1825
74699,9021
59274,13394
8395,8394
65105,65104
14346,14347
74906,15527
49689,2410
14529,2605
72184,56956
64057,17744
29123,11225
10242,10241
27005,17232
57098,57097
44089,22653
8849,8848
519,518
57093,69779
46247,8647
74369,14914
14530,9480
65823,2155
28396,5459
67157,67158
38698,4880
46438,114
7392,7393
23607,14289
71690,14570
33986,8310
59403,133
30851,1421
65130,1825
11904,7906
74439,3695
35004,992
10415,10414
32173,14914
35586,3
58555,250
43221,6698
43571,43572
73632,73631
59357,16370
70239,28016
70762,70761
71424,6845
71901,8091
