personborninlocation_1,personborninlocation_2
241,74
709,74
1515,1516
1659,74
3230,1516
3359,74
3571,74
3628,1516
4163,74
4628,1516
635,1516
5302,1516
4928,74
5826,74
5835,1516
6274,1516
7109,1516
3912,1516
8359,74
8525,74
1303,1516
8683,1516
9046,74
10100,74
8855,1516
10562,74
11230,74
11259,74
11282,1516
11436,74
11909,3870
12021,74
12564,1516
13178,74
13355,74
3229,13513
13792,74
2875,74
14002,1516
7867,1516
1990,74
7587,74
17159,74
18367,74
1376,74
18874,74
19367,74
19685,1516
19692,74
20077,1516
8498,74
8669,2760
21044,74
16168,16169
19047,13338
21424,74
1442,74
1565,74
7437,74
22536,74
16863,74
23220,74
23525,74
9586,74
24609,1516
24720,351
12978,74
25442,74
10990,1516
25621,74
14050,74
25854,74
25895,1516
26297,1516
22262,1516
26499,74
26770,74
26924,13338
7,74
2730,1516
27125,74
14621,1516
27329,1516
935,1516
26469,1516
124,74
15065,15064
3266,74
13153,74
2641,74
30035,74
21103,1516
30159,74
30160,74
19597,19596
27418,74
15068,1516
3707,74
32378,74
32449,13338
32717,1516
21984,1516
33183,74
19409,13338
34106,74
11387,74
1973,1516
34155,74
4965,1516
6485,74
26486,1516
27710,1857
20207,1516
35400,74
8512,1516
15133,74
16315,74
3504,1857
35992,74
7015,4575
36098,74
36540,74
14469,74
2589,74
16859,4575
31118,1516
1671,1901
874,1516
835,1516
17342,1516
12874,1516
2600,74
38280,74
17935,1516
418,74
5803,74
14087,74
34714,74
9112,74
11987,74
2499,1516
38851,74
23869,74
378,74
6752,13338
5847,74
6224,74
31321,74
8433,4575
20478,1516
19627,74
3807,74
42232,74
17555,74
9771,74
43407,250
15472,74
43449,13338
15831,74
15524,74
43971,74
26356,5813
44368,1516
44486,250
34718,1516
4011,4575
45108,74
9296,74
21309,74
437,4575
29980,74
29285,74
6903,74
46760,74
5795,1516
46972,74
32756,74
187,74
37459,1516
14146,74
32677,74
48005,74
48096,74
43768,74
10749,1516
17153,74
33775,74
48512,36
2373,74
29351,1516
5325,1516
6670,1516
4239,74
2393,74
49454,321
49769,74
49854,74
33753,74
3645,74
12480,74
20803,74
50781,74
38223,74
11634,74
41925,74
51056,74
29591,1516
796,4310
51427,74
3169,74
4243,74
3113,74
52188,1516
34243,1516
11731,74
13425,13424
8061,74
15009,74
16848,74
52757,74
35777,1516
16281,74
19670,74
11397,74
53484,1516
8561,74
49005,74
4922,8307
8556,74
5630,74
34103,74
15977,1516
6003,74
175,74
40414,74
26418,74
44050,74
15542,74
44924,74
34583,74
27892,74
11155,1516
55773,74
13930,74
56256,74
18378,74
17573,74
16714,351
56505,74
46666,74
2003,74
56671,74
20699,1516
13830,1516
25100,1516
47774,1516
567,74
42590,74
18663,74
20717,6375
18800,74
26721,74
7492,74
2967,74
45667,8307
16908,74
30725,1516
55151,74
16717,74
8236,74
14753,74
43288,74
46955,74
9760,321
3700,74
59185,1516
102,74
5793,1516
59477,1516
35867,74
60088,1516
34081,1516
7456,1516
25025,74
61060,4575
10260,74
61266,6375
12083,74
45253,351
46667,74
1995,74
52282,74
10352,74
61937,1516
56083,74
20635,74
1149,74
22937,74
45581,74
35710,1901
2801,74
61836,74
2333,74
8843,74
7459,74
22069,74
30050,74
17287,1516
1858,1857
5871,74
1174,270
21377,74
43347,74
6120,1516
31378,74
13866,1516
46004,74
4711,74
26329,74
33265,74
38802,74
4044,74
12567,74
45315,1516
42741,74
52347,74
31367,74
32776,74
65300,133
2039,74
455,1516
26262,74
65685,1516
30197,74
65748,1516
3932,74
7468,74
43525,1516
34535,1844
50398,74
23723,1516
65922,74
47644,74
58757,74
66637,74
66667,74
3257,74
66719,1516
6857,74
49266,1516
31223,1516
42167,74
9023,74
6945,4575
49618,1516
91,4575
50064,74
40874,74
36348,4575
15014,1516
42896,1516
11052,1516
496,1516
1025,1516
9926,1516
22402,74
12207,74
33538,74
44360,1516
30099,74
21904,74
24622,74
26954,74
11471,1516
27363,74
12432,74
12345,74
34096,1516
43573,74
8594,74
18387,74
3627,1516
10655,1516
24998,1516
24928,74
10085,74
12056,1516
16042,1516
68952,1516
13288,1901
45536,74
60425,74
6608,74
12865,74
1469,4575
36410,74
43921,74
50134,74
9120,74
56077,74
3191,74
43897,1516
19632,74
1784,1516
3674,1516
58249,74
27181,74
25030,74
5682,1516
10938,1516
10164,74
43161,74
30960,74
36687,1857
69009,6375
25512,74
20133,74
17281,2163
60866,74
19772,1516
11367,1516
1514,2307
15734,1516
16005,1516
25670,1516
9921,74
1076,74
63974,1901
21862,74
37489,74
30777,74
60529,13338
24664,74
63922,133
8437,74
19376,74
9536,74
51371,1516
38373,74
14224,3804
38080,74
35319,1516
778,74
9493,9492
22777,74
20087,74
41265,74
14631,74
16454,1516
13308,1516
24360,1516
27247,74
48113,74
18340,1516
33266,74
3995,74
7875,1516
25495,74
2552,13338
16744,74
13811,712
61637,74
5798,74
3787,74
72553,2079
72599,9990
17189,1516
11360,1516
31536,74
14359,74
18200,74
2663,2662
24482,74
16925,74
25504,74
71486,74
7274,74
25233,74
11632,74
51774,74
6268,74
21135,74
35385,74
26842,74
39365,74
36751,2285
17425,74
45136,74
52753,1516
20425,250
12880,1516
56673,74
18442,1516
19535,74
11844,74
18153,74
26579,74
30570,4575
25779,74
6566,74
10835,74
54806,74
51891,13338
19291,74
11093,74
5216,1516
39529,1516
15156,74
59716,13338
69843,4884
57328,74
20405,1901
16181,4575
51320,74
12999,74
45671,74
8831,74
44014,13338
4850,4099
59626,1516
15531,1516
24502,1857
29655,74
23700,74
23953,74
48149,1516
65356,74
70195,1516
7841,74
38747,74
9747,1516
20388,74
13251,13338
5660,1516
28945,74
17883,74
3077,9492
9073,1516
37074,74
74090,1516
33942,74
7042,74
55437,74
21823,815
23616,74
23497,74
45883,1516
71978,1516
61605,74
25699,1516
1234,1516
10659,4575
41725,1516
23543,10711
67907,74
9777,13338
9927,74
74284,1516
47330,1516
8466,74
30992,74
6228,74
19966,74
53517,74
5733,8307
13852,74
43793,74
53763,1516
43680,74
13994,1516
29573,74
7193,74
40110,74
3212,4310
12216,74
15807,1516
33636,74
66656,74
18231,1516
26901,74
56115,1901
11058,74
4311,1516
63772,74
49445,74
13122,74
33234,74
73777,1857
49390,1516
27593,74
32,74
41626,74
65468,74
253,74
54611,74
71748,74
6607,74
66813,74
63640,74
60795,9492
17770,1516
50203,74
61148,1516
26321,74
43314,74
14741,74
9765,74
9019,74
29165,74
19659,1516
24242,74
47530,74
12826,74
1866,1516
1625,74
46098,1516
7050,74
12116,74
48347,74
28934,74
26841,74
8704,1516
41112,1516
21609,1516
9934,74
74747,74
27282,1516
43472,74
16647,74
4879,74
13807,1516
62251,74
1799,4575
6358,74
13155,74
38003,1516
69120,74
75045,1516
74392,1857
34140,1516
1198,74
13754,74
