attractionofcity_inv_1,attractionofcity_inv_2
299,1683
889,2569
4074,4627
299,4845
889,5618
299,5908
299,7564
8816,8817
299,8825
299,8914
889,11321
299,11351
299,11659
299,11806
299,3440
889,12962
299,13658
889,14467
8047,15910
299,1589
299,16902
299,18769
299,19455
299,20726
889,20848
299,23334
1020,23400
299,24068
299,3224
299,24500
299,24647
15002,24825
5896,3936
299,25219
10359,10358
6422,24833
299,7907
299,27788
299,28049
133,29205
30587,30588
889,30670
299,31864
889,32502
299,32596
299,33747
299,31533
133,28955
889,34793
299,29711
299,35743
299,32094
299,36124
14289,36444
133,21541
299,37711
133,31005
299,38826
9900,38883
889,39490
6422,36030
74,27585
133,19957
299,40772
299,1534
299,41285
299,41420
889,41447
889,41857
299,27723
299,42424
4310,3813
889,42904
299,43108
889,29912
299,44017
8310,16698
299,44747
565,35150
889,45107
751,8720
299,31448
299,45371
299,45423
133,18981
133,46100
299,46218
299,43059
3563,46815
299,47785
299,47951
8647,41915
299,48484
299,48748
299,48923
133,16708
889,49245
299,49272
299,49346
889,43007
26750,49507
889,16065
889,50037
299,42327
6386,50246
7426,50901
74,50940
38742,51293
39301,51365
889,51302
299,51647
299,52184
26961,26960
299,52398
299,52749
299,50813
299,52864
889,53492
4561,4562
17604,53896
10890,10891
114,45247
225,50091
299,54394
299,50666
1454,8485
889,44117
299,34122
235,54968
299,55039
133,41663
299,19691
299,9761
299,56118
38360,56506
889,56631
6422,6423
299,13065
299,56796
235,57075
299,15699
299,57864
889,57979
299,25894
889,28885
299,57972
299,58417
12308,52069
250,21366
299,10043
1916,33764
889,47399
299,59314
299,32172
299,32217
133,43185
299,59921
299,51351
299,2782
299,24479
299,57287
6386,60627
299,41156
555,60997
6386,51575
299,5820
889,61068
299,50497
889,19277
133,61672
889,61790
4764,61900
299,61971
299,62003
889,62183
299,8949
6386,62614
15747,34803
299,62810
2631,56615
250,60479
235,63043
299,2466
299,44147
133,39893
889,63546
299,32590
299,63784
6422,53424
889,18434
299,57718
731,63824
299,61842
889,64313
565,14618
299,42458
299,64697
299,64727
5121,35857
889,64854
6422,65209
299,65504
1454,65575
299,65825
299,6284
5228,29057
299,61592
299,21328
299,66066
74,66179
889,25726
299,62318
299,66396
133,66428
299,3308
133,35344
299,56288
299,40643
299,45784
28665,28664
6386,27945
889,67219
299,67273
299,67805
889,67862
299,68040
299,19138
889,46577
1936,49735
5896,68260
2662,39502
299,58422
299,298
74,69060
6422,69074
6386,69132
1454,36504
299,34360
889,63594
4236,18331
479,12486
11061,47014
28592,69824
299,69778
889,19697
6422,67522
133,50885
299,63630
299,70093
299,55750
133,69194
565,50241
299,59854
133,70778
299,71066
299,51120
5896,71146
299,71206
3,4360
299,71269
889,46581
299,36524
133,50662
917,66390
6386,71949
4053,43243
889,10067
10359,52193
889,51648
299,72088
299,52609
299,71947
235,72428
1454,37310
74,58565
889,68089
299,72681
889,56070
50619,9653
299,17809
299,69344
299,64441
299,37713
133,27089
299,73268
299,44921
299,50044
299,68423
5790,65562
889,58971
6422,39833
299,70269
565,73372
299,65060
299,39827
299,28890
889,22692
299,64667
235,70254
299,51675
26750,30988
299,60104
299,52782
299,47788
133,15686
299,57604
299,74159
133,29527
10503,12753
299,14219
299,70092
299,69783
889,18078
299,5378
74,72139
299,74451
299,74311
299,57723
5790,67246
6386,72006
3563,33033
299,3721
1421,72085
299,74630
299,65638
299,45572
9422,36354
133,48693
889,37779
1131,23427
299,53357
299,62858
299,70462
299,50618
299,40377
299,64608
299,16155
889,74151
299,20606
3,54313
299,74962
889,20512
299,51650
299,31122
2607,74184
299,34511
889,72102
299,72849
299,74088
299,54316
5896,23361
80,3884
1079,74779
299,75214
6422,20861
299,75249
299,64472
6422,75039
299,61165
889,17427
6422,74665
299,54207
299,70144
299,59706
235,16601
889,73955
299,39289
4393,73037
299,71796
299,65885
299,13466
299,75449
889,35823
299,68212
299,2282
565,15808
299,21345
8310,33986
299,74939
889,36343
299,21834
889,21882
299,43362
889,35332
