languageofcountry_inv_1,languageofcountry_inv_2
5922,5923
6071,711
8027,711
5593,9269
977,711
8075,1650
3078,10608
8459,5554
9239,8
1811,5554
3804,1650
9274,711
7473,1924
614,16076
16343,8
6323,17237
4133,8
245,17716
3307,17853
5593,18220
1061,1508
11665,711
19032,711
5555,5554
89,20173
19400,19399
1158,20768
6069,20801
13980,8
20204,711
6044,21719
700,21719
90,1650
614,22787
1256,711
13230,711
3019,8
8473,711
972,711
27083,27084
2288,5554
3273,27986
7660,5554
5863,711
20204,27007
17726,8
309,29297
9979,711
10089,20173
295,22787
642,10608
6323,1650
3832,32007
10796,5554
642,34502
13134,20801
1062,8
10895,711
700,30635
5593,35409
636,10608
9080,20014
10940,5554
5501,28683
349,36244
7473,4660
972,5554
349,37350
657,37464
16976,22787
7660,8
14350,38378
3982,38389
6431,5554
5593,38143
2626,39041
8554,16201
15627,40034
9,711
17523,41125
11628,10977
6431,711
245,23247
3307,42333
27782,1650
10089,42491
15355,711
15627,5554
4556,10608
2401,711
245,711
3811,711
977,39041
10523,10977
5043,10977
5995,44113
23990,10977
3161,711
1256,29903
116,39041
309,42211
116,711
6431,8
16992,20173
6432,8
3040,711
12194,711
12277,10977
642,711
5752,10977
4736,711
8749,8
1237,711
5995,47766
678,23724
9979,48014
9390,711
7679,711
13865,10977
5043,711
3040,9948
3832,45471
1817,49690
12164,1650
13434,49728
465,711
17850,711
977,1650
33108,50079
6431,20801
494,5554
989,10977
2138,8
11665,10977
103,5554
7394,711
3811,51824
13134,8
7628,711
1237,5554
2626,52550
154,52702
1237,8
3040,14578
7473,711
772,52920
90,10608
2129,8
9,8
703,711
912,711
1061,55136
9080,28683
1321,20801
128,41125
2342,20801
912,1650
154,711
12015,55718
9767,55978
21197,1650
5593,20801
9840,8
3040,10977
3078,5554
295,4660
1062,711
2723,711
295,33162
2401,13474
14350,10977
127,10977
14110,711
5108,711
1059,10977
891,2930
27782,37411
1901,58691
39132,8
3078,59176
987,711
2701,59593
11959,18743
8075,711
1188,1650
3975,1650
11628,711
5752,60816
6044,38143
1061,8
5995,711
12015,711
1811,8
14018,62951
127,45849
4556,24658
5922,5554
7271,711
6069,10977
7836,64385
657,10977
127,5554
31564,64661
5646,28683
1237,51660
295,1924
89,1650
21061,8
4915,45471
642,5554
295,66097
22385,711
700,20801
700,64415
18682,22787
14945,10977
901,66565
3307,1650
17523,711
27083,711
3019,711
3040,67170
8749,20801
700,54169
6044,50510
1059,23724
3975,711
843,59593
3040,31926
3348,711
295,10977
18879,28683
3348,30210
3062,23654
3161,1650
9302,58691
6614,28683
127,31734
1188,15796
494,711
1098,1650
700,15210
3982,10022
13014,1650
3804,711
9274,8
5889,1650
6044,69408
636,711
494,68917
5593,8
465,17757
5922,70155
6044,711
2288,27007
9767,70227
14350,711
154,8
2342,8
843,711
1901,1650
5010,711
2129,711
494,39041
891,64528
128,711
1061,1060
20746,711
5505,711
13099,711
8075,10977
309,711
7271,1650
14018,14679
901,14679
17523,71326
724,711
9360,711
1884,72338
1817,711
2204,711
154,56471
6431,9436
1061,711
724,8
17792,1650
10523,30674
6431,66902
11665,58102
8459,711
39132,5554
25570,8
13569,5554
14495,10977
5995,22787
1811,711
4736,16891
5501,711
13134,711
2626,711
9393,45849
2401,55978
25107,62941
9390,9389
10796,711
5108,1650
19288,711
987,8
295,711
116,16076
678,59011
17726,5554
13655,48014
8262,1650
1188,711
103,1650
42033,42032
25949,711
642,71468
1901,5554
9239,20801
5922,23511
128,71326
10940,711
10895,75076
14018,14578
20204,10977
9767,711
3811,64528
103,75177
9080,37502
17461,10977
4915,10608
4556,2930
3019,20801
8459,75264
66189,22787
7836,8
24473,711
891,10977
3307,58764
1811,20801
787,10977
12015,13688
17758,17757
10089,1650
9393,52019
22268,10977
9302,1650
2335,28683
10172,10977
6044,48871
43461,711
843,70496
137,711
772,711
5705,10608
33013,5554
1098,711
5010,5554
700,13474
901,14578
16992,1650
16675,711
103,8
465,41125
2701,711
