athleteplaysinleague_1,athleteplaysinleague_2
603,604
1000,1001
1126,1001
1241,342
1531,257
1643,1001
1766,342
2208,1001
2864,257
3066,257
3102,342
3424,604
3427,342
3482,1001
3904,1001
3925,1001
4034,604
4069,342
4145,1001
4277,342
5347,1001
5875,1001
3747,1001
6599,342
6929,342
6990,257
7493,1001
7529,1001
7827,257
8037,1001
8315,1001
8445,1001
8497,1001
9028,1001
9319,1001
9338,342
9509,257
9846,342
10221,257
3664,342
3351,1001
11395,1001
11502,1001
11616,257
11821,604
11826,1001
11864,1001
11878,1001
8143,1001
12158,1001
4762,257
13171,1001
13480,1001
13615,1001
13960,1001
14128,257
14232,1001
3964,342
15616,1001
7876,342
3203,1001
15967,1001
5657,1001
16002,257
1213,1001
16353,342
16523,1001
16706,604
16842,342
17074,257
17216,342
12210,1001
2371,257
18214,342
13015,1001
18397,1001
18513,257
18687,1001
18707,342
18842,342
19312,342
8897,5986
19523,1001
8986,1001
378,342
19834,1001
19981,1001
19975,257
20582,1001
20762,342
20877,1001
21333,1001
2987,2986
12647,342
21431,1001
12940,1001
22078,1001
6489,257
12570,1001
22293,1001
22543,342
22559,342
22593,1001
7051,1001
22814,342
19353,342
22866,1001
23161,342
23194,1001
23259,342
19512,1001
23484,342
21415,1001
20511,1001
23828,342
21279,257
25031,257
6871,1001
24771,604
16234,342
25694,257
10614,1001
25937,342
9491,257
26334,604
26401,1001
6091,342
26609,342
26644,1001
9894,257
26821,1001
26882,257
27068,1001
27161,257
18119,1001
27501,1001
24929,1001
12524,257
28328,5172
28390,342
24313,1001
28944,1001
11672,1001
9005,604
29306,1001
10214,1001
29379,1001
14188,1001
29746,604
27039,257
3043,1001
29916,342
29934,342
27311,1001
29951,1001
7502,1001
20708,257
21134,257
14565,1001
30694,342
3437,1001
15959,342
7351,1001
16463,1001
31186,342
31204,604
6257,257
31390,1001
8065,1001
6029,1001
23966,1001
1509,1001
15816,1001
1720,1001
31940,1001
3578,257
10436,5986
27344,1001
24512,342
32973,342
2989,257
10874,1001
33649,342
33652,5986
13558,1001
33889,257
33741,1001
26104,1001
8754,1001
5987,5986
24191,1001
28414,1001
27909,257
34487,342
2499,1001
11263,257
22409,1001
3980,1001
17627,1001
34915,342
16131,342
13377,342
13936,1001
35303,1001
16681,1001
26114,257
29436,1001
36100,257
35798,257
8874,1001
4062,342
13605,257
24620,604
36996,1001
8449,342
37217,1001
9067,1001
13987,1001
16564,1001
37622,604
15336,604
37646,342
12255,1001
24905,1001
10197,1001
16233,342
10913,257
37930,1001
37932,1001
37938,1001
6462,1001
6062,1001
6875,1001
6557,1001
38601,342
14700,1001
23844,604
19251,342
21129,1001
8611,342
25294,342
39605,1001
39820,1001
23483,604
19467,1001
40066,342
21257,1001
30927,1001
7310,1001
32028,342
34232,1001
8041,257
40566,342
37445,257
36377,1001
40855,1001
9419,1001
15815,342
25045,1001
18737,5172
41107,257
41157,1001
41182,1001
31417,1001
41222,342
4351,1001
28160,1001
41453,604
32921,1001
34386,1001
16399,1001
4999,257
3991,1001
774,257
33505,342
18009,1001
42494,342
10944,257
30830,1001
39683,1001
43169,342
43195,5172
12803,1001
5945,1001
12685,1001
43653,1001
11294,257
42217,257
27642,342
44238,257
44525,1001
19108,257
27435,1001
44593,342
32598,1001
15708,342
20501,257
28188,1001
35307,1001
8292,1001
22440,1001
15648,604
29190,1001
20054,5172
37273,342
45180,342
42769,257
45324,342
35508,342
25945,1001
45476,257
27182,604
43150,1001
40305,1001
45830,257
45842,257
39406,1001
14591,1001
2337,1001
46279,342
13525,1001
7186,1001
35330,1001
23154,1001
23266,257
2966,257
27647,342
24403,1001
31811,342
24122,1001
14164,257
46987,342
33618,1001
475,342
7217,342
17460,1001
40862,1001
8881,257
9726,1001
47554,342
25997,257
38456,1001
10684,1001
26747,1001
16819,5172
5904,342
47804,257
6578,342
31011,257
27233,342
5199,1001
43927,257
18803,257
48319,342
44868,1001
48428,1001
40220,1001
48577,1001
41252,1001
11071,257
43127,1001
7069,1001
24518,1001
46035,1001
1818,1001
48979,1001
31166,1001
32269,1001
18835,1001
36116,342
16918,342
33660,1001
11032,1001
46777,1001
49872,1001
33943,257
10836,342
21439,342
50052,342
50117,342
24690,1001
22868,257
22673,257
32328,257
46069,1001
46063,1001
50830,257
50917,5172
33526,1001
45744,1001
51065,1001
14432,1001
33220,1001
19496,1001
31498,1001
27931,342
35917,1001
14722,1001
23081,604
11882,1001
1605,1001
4536,1001
28845,1001
50483,342
52075,1001
22641,604
18209,1001
4567,257
7067,257
43879,1001
34807,1001
13242,1001
14955,257
1718,1001
24882,1001
19456,1001
1051,257
52674,342
5926,342
52695,342
11065,1001
19714,342
52790,342
11644,1001
52836,342
20148,342
20940,1001
29091,257
52800,1001
39369,1001
23898,1001
14278,1001
27063,257
40282,1001
24582,1001
13240,257
53540,342
36503,5986
53594,257
51554,1001
4419,1001
37259,1001
7315,1001
39968,342
54059,257
38452,1001
30111,342
43130,1001
17229,1001
15663,342
41499,257
3796,257
14609,257
54622,342
3914,257
7086,1001
53419,257
27754,257
55062,1001
343,342
42979,1001
13816,1001
55155,342
55187,342
55217,1001
42057,1001
27944,257
55370,1001
55404,1001
15222,1001
17673,1001
27040,257
15013,1001
15806,1001
55633,342
40888,1001
14334,1001
55872,1001
7054,5986
47181,342
47818,1001
33031,342
6046,1001
44182,342
33871,257
32821,342
46598,1001
2590,257
46293,1001
13138,604
48880,342
25538,1001
5333,1001
14745,342
17622,1001
46854,1001
41522,1001
13961,1001
43091,1001
30555,342
5518,1001
40467,1001
40167,1001
31936,257
45909,342
29409,257
23119,1001
4309,257
42750,1001
26914,1001
33653,1001
26512,342
57222,105
8813,342
23553,1001
31691,1001
51231,1001
39792,1001
57653,257
44622,1001
57672,342
32503,5986
16881,1001
24976,1001
54481,342
4622,257
57954,1001
9032,604
17875,1001
45860,1001
9622,257
17263,257
29293,1001
40682,1001
58486,257
46047,1001
7277,1001
22432,1001
13051,5172
36785,1001
17769,5172
19297,342
28248,5986
4443,1001
16058,1001
49265,1001
21260,1001
13053,1001
59110,1001
40193,604
37263,1001
9303,1001
32548,604
4630,1001
54171,1001
12644,342
47553,342
13329,1001
55205,342
57401,1001
48089,257
10056,1001
36878,13196
50945,1001
15306,1001
34965,257
7682,1001
18404,1001
26965,1001
10945,1001
10825,1001
1039,1001
367,1001
20834,1001
9993,257
35617,1001
32604,257
14846,604
47925,1001
12895,1001
2887,257
6397,1001
44271,604
43017,342
8290,342
61291,1001
23490,257
61402,257
59271,342
61411,342
33032,1001
34834,342
61555,342
15441,1001
42777,1001
58492,342
21562,1001
26917,257
52859,342
23710,257
57523,342
12072,1001
26711,1001
9016,342
17309,1001
26145,1001
5961,1001
47906,1001
24731,1001
33535,1001
32256,342
4127,257
30863,1001
45703,1001
31701,1001
41062,1001
37710,1001
16658,1001
20587,257
38888,1001
8559,1001
35883,342
29052,1001
33057,1001
31010,1001
36039,1001
27049,5986
62958,342
8234,1001
29535,342
3236,257
60528,342
22336,1001
33179,342
24462,257
25712,1001
53707,257
34477,257
29957,604
54980,1001
10212,1001
58639,257
31293,604
29873,1001
58038,1001
22239,1001
11288,257
42932,257
33284,1001
14361,1001
30607,1001
22496,1001
33029,1001
8412,342
24298,1001
17103,1001
13012,1001
14847,1001
10217,1001
24858,1001
39591,342
3596,1001
64121,342
17236,342
6538,342
4363,1001
41235,604
26053,1001
4778,1001
12438,1001
64298,342
35417,1001
56939,1001
52984,342
56126,1001
28831,342
23157,1001
64565,342
7531,1001
5292,1001
32920,604
48891,1001
25147,1001
38955,604
13088,1001
64983,1001
60848,5172
24776,257
22319,1001
30009,1001
15320,342
25207,1001
28189,1001
1678,1001
18135,257
1663,1001
19585,1001
41767,1001
24986,5986
24631,1001
24469,1001
49107,1001
6515,342
32872,1001
706,1001
35266,1001
14437,1001
9331,342
55244,1001
23246,1001
65599,342
55595,1001
4893,1001
18625,1001
11658,257
17339,5172
41089,1001
46131,604
29660,1001
23195,1001
6755,257
25843,342
53597,1001
9555,342
1416,342
34641,342
18111,604
18847,1001
20218,257
453,257
39383,1001
20610,342
30249,1001
18761,1001
15613,257
26712,1001
42901,257
28147,1001
41982,1001
23141,604
43433,342
16384,257
1238,1001
12872,1001
5507,1001
18235,1001
22772,1001
67560,257
12519,604
2051,257
39358,1001
41467,1001
36851,1001
10750,1001
5573,604
52128,1001
23883,1001
2426,342
30074,342
4748,1001
23981,342
30693,1001
42081,1001
8991,257
15971,1001
57640,257
24536,257
22907,257
15451,1001
4750,1001
16989,342
22687,257
38832,1001
46606,342
15897,604
24249,1001
50106,342
39065,342
15465,1001
13759,1001
27984,1001
29086,1001
56550,604
6007,1001
34501,1001
25563,1001
57903,1001
26620,342
30367,1001
