animaleatfood_inv_1,animaleatfood_inv_2
139,140
540,200
2381,200
3431,107
5488,200
6699,784
7002,200
7710,2469
8086,200
9134,200
9485,200
7727,9850
10014,107
11382,11594
4673,107
12502,107
12733,12734
12771,200
13205,3277
13217,200
13608,2469
13974,200
13984,222
7727,6810
11382,9229
15598,3277
15602,200
15618,6810
16283,107
16489,200
16496,200
16547,200
16777,200
16808,200
16903,200
16981,200
17196,17197
1013,17718
18221,200
18680,107
18944,200
19115,200
19501,871
19677,200
19690,200
20060,1354
2057,200
4407,1217
21443,200
7306,886
21944,3730
22290,200
13858,200
20691,605
139,784
23401,606
19221,23693
7727,23813
24489,5427
24514,200
25097,107
8622,12944
3839,222
26596,200
11382,14794
27232,200
27384,200
27504,200
15598,27698
27852,200
3996,8871
8771,200
10824,10823
3545,222
28803,200
3243,4694
29919,3277
22207,200
3303,386
30509,200
30668,200
21398,200
11382,784
31443,107
32074,1471
32518,27
9289,200
27630,781
32685,200
33409,200
33840,200
33964,200
2582,8871
34630,200
34863,1217
35039,200
35242,2469
4435,1358
20691,22376
35466,107
35483,9135
35954,200
35975,200
36232,200
8089,1354
18995,222
2693,20564
35979,200
37776,200
13546,38017
3243,605
701,222
36096,200
38523,200
32783,996
25660,3277
39340,107
39629,107
39768,107
40084,200
16077,11612
40330,200
36670,824
36332,6810
40629,200
40649,200
7727,11325
40762,200
23848,1471
40990,200
34609,222
41346,200
39347,25199
41786,200
41789,200
41850,784
32518,41998
3243,107
42139,107
42147,1927
42378,200
1353,1612
8341,200
42658,200
42732,27
24783,200
3269,107
17296,5561
43345,784
24644,200
29632,200
43729,200
2769,3277
21870,200
44364,2386
44499,200
6267,107
44719,200
24021,200
45014,200
8622,11381
45197,200
37791,200
45354,30263
45559,107
3130,222
45837,200
45774,200
10824,4613
46027,200
46042,6127
46270,200
46396,200
46745,107
29919,200
1407,200
39347,3277
15885,3277
41634,200
48106,222
3303,11907
48503,200
48599,107
1353,1610
12733,48922
3620,48997
6337,3730
12800,20564
3291,3277
48165,32497
3243,2365
49595,200
49613,200
49629,200
1353,2386
49820,200
4407,12831
49945,200
50008,107
50404,789
50463,1976
50555,200
50561,3277
50600,200
29821,200
2582,30121
27734,200
1636,5427
51191,2469
51247,200
4188,33052
51451,200
3292,3277
22276,1217
13902,200
1353,1471
5483,5482
52394,200
3303,2461
52436,200
52512,107
8858,222
17296,40957
52762,38120
52748,12271
4188,9350
12733,52923
3303,9041
13546,3131
39116,200
33659,784
29693,200
35450,222
53882,200
54172,200
10612,200
1636,200
54249,200
54559,200
54572,200
54908,200
54969,200
55211,200
4407,1927
55398,3730
52415,200
2470,2469
46157,200
15598,1041
55959,200
3971,2386
17296,29637
56268,200
38509,200
56404,200
4197,2328
40654,2469
56653,200
56672,3277
139,200
3303,996
35012,3277
1982,200
52961,200
7727,14227
57355,20328
57417,200
57458,107
57466,200
8646,200
57493,784
36337,200
46518,200
11382,11381
57881,200
57890,107
3243,140
57967,200
58058,200
58144,200
4701,200
42492,7802
32667,3277
139,11815
44613,200
4407,283
58566,200
58668,2469
58790,58791
11161,200
58839,200
41273,200
57983,200
59230,200
27862,14227
3303,6127
59649,107
14041,789
3303,605
59855,200
263,3730
51343,200
22442,1976
48165,19066
32783,107
60379,200
60410,200
11382,13503
22719,200
60880,200
36169,200
28428,200
13435,200
61244,200
43875,41121
61400,2386
13198,200
4945,200
43779,200
51343,5427
48764,200
61977,2916
62080,107
7727,44616
62206,6864
62212,200
62241,200
4139,222
62342,200
37506,200
62452,200
62509,3696
55001,200
15990,784
62658,200
11776,200
33659,222
43694,200
701,784
62949,200
12733,107
4139,3696
63051,200
4260,3277
63156,200
52409,200
63464,3730
59096,200
9958,2365
33294,200
64172,200
64330,200
64342,200
46375,200
27763,200
10307,200
64628,784
11962,3277
47406,200
49785,5427
7727,996
8622,200
7727,1358
57282,200
42435,200
4407,12363
65258,3730
3303,4613
53602,107
45248,200
65558,200
37229,200
9879,200
62817,200
25547,24160
62138,200
62355,3277
26091,200
39170,222
66632,1976
42435,1040
66895,200
66912,200
66989,200
67133,30562
67139,200
67160,17197
34863,4709
4695,4694
45720,200
7727,5841
67549,222
42029,200
8646,1610
57572,200
50817,2362
67904,200
10824,222
9958,2386
1982,3277
68099,200
3150,3277
28295,107
1353,7802
41273,47673
3303,1159
68317,8871
13546,19196
68481,605
13973,200
68085,107
66664,576
60552,200
61573,200
2387,2386
47717,3277
68842,107
9211,2386
68887,200
69038,2362
8235,200
55059,222
48420,17904
7551,200
63429,200
46956,2386
4139,6864
20691,789
25288,200
46765,200
66797,200
69628,1471
69698,200
22207,1040
59407,200
69767,200
56156,200
67716,200
69847,200
70010,107
223,222
9958,29637
16077,22376
70388,200
16077,61691
46504,200
66838,200
70830,1612
60874,200
69628,2386
67878,200
71043,1471
56672,200
13524,200
65056,200
71358,107
4407,16983
12733,30339
71523,107
54558,6429
16874,200
1353,200
37019,200
11382,9850
45896,200
71772,200
43117,200
6587,200
8089,200
59330,1354
7727,6127
12733,200
41013,200
26264,200
36791,200
2387,52364
3243,1069
72322,2900
61326,200
46792,200
72393,200
52605,200
9958,65019
59947,107
48165,59478
72546,200
68009,107
72588,200
57493,8871
60600,200
30075,2469
26855,107
26264,43611
72754,200
11382,107
67383,200
72920,200
35902,200
73077,1976
7727,29637
67383,33501
2582,107
54764,9350
29764,7802
18178,107
73342,222
55340,107
68512,200
65719,200
10824,10918
7727,6864
68978,200
46081,200
7727,27
10131,200
62754,200
69659,200
14813,200
6699,5427
63957,107
27937,200
6699,222
73890,107
8469,200
59112,200
22247,200
14502,200
62355,200
63564,107
9787,3730
21660,2900
139,107
67609,200
69097,222
17364,200
14041,107
74259,200
38265,200
24644,3730
2387,1471
840,784
59072,1471
52762,222
17296,1217
74320,200
66486,200
50817,3730
8622,9229
74416,200
12087,200
71439,107
4188,66204
65742,200
61539,200
50875,1471
74531,200
2423,16019
71579,200
60940,70699
63666,107
63447,41121
15598,200
7727,12831
51377,200
41047,200
7727,3696
74219,200
51097,200
53004,200
3243,824
71355,200
31022,200
70238,200
21870,3277
73744,200
69270,200
15618,2900
3872,1471
74830,200
11635,200
12733,74965
5131,200
32319,222
3971,1471
73731,107
35974,200
4188,18653
74954,824
2582,140
71125,200
53329,200
42654,200
33622,6810
73576,20564
3303,6864
74580,3277
19501,2900
50875,7802
66185,107
49621,200
56774,824
13546,782
71903,784
42147,2365
14131,200
12733,71836
7727,3730
9515,3277
11382,62538
34084,200
74153,200
2604,7802
11382,3696
922,200
7326,107
73815,3277
3872,7802
9958,1217
75189,200
2582,200
74361,107
10824,2415
75179,200
7727,9350
64911,200
47395,200
16077,605
74639,74638
12976,200
12828,7885
73250,200
39347,200
3303,222
75459,10959
23660,200
55823,2677
50014,2469
75467,200
2604,1471
15598,25199
19221,9229
17296,6810
70316,107
63738,2469
52092,200
9886,200
59959,200
72709,200
74506,200
47999,1471
