sportusesequipment_1,sportusesequipment_2
947,948
1100,1662
1100,2914
1100,3117
3531,948
3878,3879
1100,4138
348,1304
4517,4518
3141,4568
1141,948
4000,4138
5539,4300
1100,6199
1100,6202
947,6567
4000,6932
47,4300
1141,8196
8360,1304
1100,8522
947,4227
11254,948
1100,11541
1141,12698
1141,13412
14042,948
14875,8331
14999,1304
47,15623
5539,13412
1100,15911
16023,4300
947,16660
1100,17045
1141,17317
16024,3879
4271,17925
1100,17966
14875,18107
1100,18468
6328,12698
47,19368
15277,3879
47,20327
16023,4227
4271,21412
1100,1220
1141,21559
1897,1304
947,23407
1141,24065
8332,18107
14875,14995
4228,25039
8332,20327
1100,25238
8332,7120
6328,11269
25653,1304
39,17389
1100,26032
1221,1220
6328,26833
1100,17510
13146,7120
4000,17510
4000,27926
4000,28494
4000,1220
28572,8196
4228,1304
1141,28424
1141,29581
1100,29588
47,1220
8332,948
3531,3879
1141,4518
1100,21765
1897,13412
14042,1304
1100,31185
8332,31541
1141,31816
47,18072
32273,3879
32383,31541
32454,1304
32564,28424
1221,1304
4000,4300
11101,1304
1141,4227
16023,1304
4228,30441
34601,4227
34875,34876
3531,35030
4000,948
1100,33487
21492,4227
454,20327
454,24040
16023,7120
25420,4227
454,1220
3141,948
348,7120
12816,18072
5539,5538
1100,38613
1141,1220
1141,12402
3531,39925
3141,12402
2598,15623
1141,40172
1100,8724
2297,3879
5435,1304
1100,41612
47,35669
32564,13412
8582,948
454,1304
39,24040
1141,42964
1100,43056
1100,4227
1100,43341
3531,15599
3531,44287
1100,5006
1141,22441
44363,948
3556,31648
39,19368
25653,948
3531,45507
947,8196
1100,45673
8332,12402
8582,1220
947,41712
3531,41712
6016,47393
1100,47455
3141,20327
348,21765
11254,47578
47613,3879
6328,948
30763,7120
47,30441
8332,4227
1141,49261
3141,49269
1141,49308
1141,49358
34601,49696
3531,49179
16023,28424
39,1220
28867,1304
14875,21765
51311,4300
1141,8331
47,44707
1100,2309
1141,4138
51764,4227
11254,17510
4228,27382
52284,1304
947,21765
1100,29699
4000,52891
45644,1304
2452,948
6016,4300
14875,5538
4228,1220
39,31816
8332,8331
10883,17389
947,54319
47,47692
4271,5538
3531,25983
51311,948
947,33639
1100,55193
16023,28631
1100,48695
4228,4300
4228,40112
4271,15551
2598,7120
369,1304
39,8340
3556,24040
1100,8340
947,49308
1141,12445
13146,15623
6328,34214
35505,3879
40407,1304
6328,57251
1100,57446
1141,57448
3531,6964
2598,4227
8332,1304
1100,57860
6328,58004
4228,13412
4000,13412
1100,54758
56469,4227
10680,4227
16023,948
12816,4227
2598,47692
4228,34594
39,28424
6016,51802
454,49179
1305,40112
3141,2914
1100,25039
1141,22931
1141,59962
4271,5006
4517,7120
29495,11269
454,3879
1100,57852
12403,12402
454,4227
10883,1304
1100,60522
6016,948
6016,4518
947,39126
1141,60926
1141,5538
14875,40112
34601,948
12816,7120
32564,1304
1100,7910
1100,15623
1100,20824
3531,49308
1141,24264
947,48021
25595,1304
32383,4227
3255,13412
42632,3879
42786,948
42786,1304
12816,20327
1100,41712
6016,49261
1100,28424
12816,1304
6328,60472
1141,1304
1100,6015
1141,63302
3531,42964
1100,37333
1100,62676
4271,1304
8332,40112
12816,33487
1100,4568
1100,63681
1897,51123
11521,1220
49842,1304
1141,8340
17390,17389
454,55621
1100,64504
39,30566
11101,4300
47,44287
3141,13412
1100,19368
16023,5538
3531,29581
369,49269
1141,21765
1305,7120
29453,3879
2598,18072
348,4227
4228,6567
1141,31541
3531,7594
1100,4300
16023,7835
1141,64815
1141,29699
23060,3879
47,63947
6328,66493
4000,1304
51311,7120
1100,4518
3531,13412
1100,1304
39,948
47,4227
3531,7120
12816,948
4000,45742
947,1304
11521,948
16023,67659
1100,41780
1100,20327
1141,43341
1100,5538
1141,7120
4000,54590
4228,948
66226,948
14875,12402
53695,1304
4000,68778
4271,68843
32800,7120
4228,12698
6328,69063
1141,18107
6328,8522
1141,45673
8582,19368
45967,948
1141,4300
348,8196
19988,3879
1100,69702
32564,8340
4228,3879
1100,3879
47,1304
947,4138
39,70035
6016,42964
11101,13412
70197,1304
4000,70198
6328,70314
6016,4227
70399,3879
14875,70400
947,70567
47,33487
1141,70628
1100,56128
1141,6015
1100,69118
1100,12445
947,13412
11521,7120
3531,4933
31649,65893
63190,4227
1100,40172
71111,3879
1100,70776
1100,39890
1100,55274
1100,35676
1100,27382
39,71339
1100,22610
50520,4227
6016,14995
6016,7120
1100,71635
4228,61299
6328,5538
1141,20327
6016,6015
348,4138
42786,13412
37862,3879
1305,4227
6328,6327
32564,3879
1100,8972
6328,1304
947,72098
4271,72132
1100,31066
39,31648
8360,4227
24239,948
4271,20327
4228,7594
1100,63488
47,7120
1100,57448
42786,4300
1141,33487
31649,1304
72773,3879
70491,3879
3531,1220
6328,12402
1100,29581
348,948
4228,19368
1100,73013
4228,5538
8582,13412
25653,1220
1100,24065
25653,4300
1141,49269
47,63302
4000,47578
4228,28631
1100,60267
6016,25039
14875,31541
4000,20715
1141,14995
1100,51802
1100,57337
64874,1304
47,55693
3531,73535
3531,22931
1100,948
4228,4227
69269,28424
4228,72757
1100,73694
1141,30441
4228,31648
2598,1304
3531,73466
1100,67698
1141,16660
11521,20327
1100,13412
1141,25039
23288,4227
3531,4518
1100,17925
1141,52397
1141,2309
1141,72435
1100,67797
5539,948
1100,7594
1100,36110
1305,1304
1100,20715
4000,58138
1141,28631
3531,28631
2297,1304
47,74454
2452,1220
1100,64777
4000,12698
16023,69491
2598,33487
4000,68733
1100,24156
2297,63578
13146,4227
47,22441
6016,61642
1100,44305
6328,61225
3531,72951
4271,13412
47,948
1100,12402
1100,74254
1100,42964
56099,4227
947,7120
1100,24264
454,948
1100,34204
3531,73664
11521,1304
37076,11269
74985,1304
1100,74993
1141,39126
6328,61299
39,4227
1100,66810
1100,12698
1100,5003
348,54590
4000,75101
4271,11538
64847,948
1141,72775
4228,24065
4000,43855
3141,1220
4292,3879
1100,74660
3141,1304
14875,1304
2598,948
32383,1304
1100,9874
1100,7120
4271,4568
14875,4227
947,1220
24239,64413
6328,20327
6328,13412
454,23405
47,1662
3531,6567
1141,31185
3531,4138
6328,51410
3531,4227
39,20327
32745,1304
4591,1304
4228,20327
1100,49811
1100,59962
4517,4227
1141,40112
47,24040
41750,3879
3531,21765
1141,62967
1100,55693
454,19368
3531,1304
26118,948
47,29699
1100,51206
47,27382
1100,45491
37076,5538
4228,11269
4228,7120
47,13412
51124,51123
26118,4227
6016,1304
36003,12402
