academicprogramatuniversity_1,academicprogramatuniversity_2
618,619
927,928
2359,439
2484,439
2524,2525
3218,439
3272,3252
3580,188
3899,439
4058,188
4142,439
4784,439
5056,188
5136,439
5207,439
5566,2525
573,5880
6368,439
6742,439
573,6784
6976,439
7078,439
7234,439
8028,439
927,8171
927,8177
5056,8293
8372,188
8428,188
8667,2525
1594,1694
9187,9188
10069,439
10320,2525
10370,2525
10396,439
10445,5326
10456,439
10801,188
10969,2525
11396,2525
11655,619
12268,439
12786,439
12804,439
13417,188
7139,439
1902,2525
13838,13839
7308,439
13838,13906
10445,14395
14643,439
927,14701
2790,2525
14984,439
15324,439
15404,439
573,1694
15468,188
8667,439
4125,2525
16038,439
5334,16158
16188,439
10652,16227
16344,439
16462,2525
16529,16530
16699,439
7970,439
4029,14509
17092,2525
573,17168
11841,9770
17466,17467
573,17532
17545,188
17944,439
16232,439
18228,188
7657,439
1594,18429
18482,439
18535,188
19008,439
19050,439
19260,439
927,2525
573,19485
19565,188
19626,439
19715,439
19796,439
19833,188
4282,2525
20474,188
20482,439
20488,439
5334,188
5239,188
16485,439
21037,439
573,21588
21607,619
10115,439
21841,619
4029,9770
4125,439
2891,14134
5829,188
22256,439
22309,2525
22437,439
5843,9770
10445,2525
13680,2525
4887,439
22910,9770
22925,439
13990,439
23078,8438
1594,23172
23284,188
23330,188
23415,439
6524,2525
23526,439
23689,2525
22910,439
23964,439
1594,3252
573,24041
4134,439
4029,1751
24455,439
24770,439
24918,439
24933,24934
25113,619
25229,439
25231,2525
1594,5880
25647,188
25730,188
25767,439
22309,439
25834,439
21607,26174
543,1461
26289,188
26303,439
18477,619
26477,619
26988,439
1594,2200
10652,27118
27191,439
22265,439
27554,439
27574,188
27677,439
27705,439
5056,13650
8383,2525
28086,439
17466,28129
2790,188
28586,2525
28769,439
28776,8438
28792,439
28906,439
28923,439
29199,439
11841,28129
29710,439
29894,439
30061,439
30085,439
21607,439
16344,2525
17397,439
1594,14395
30306,439
30433,439
25502,2525
18228,2525
5829,1751
16232,188
30717,439
10652,3913
30836,439
30909,2525
30984,439
573,8438
4210,4209
7581,439
31181,439
31255,439
31277,439
