athletewinsawardtrophytourname_1,athletewinsawardtrophytourname_2
4567,3400
3358,6081
10056,1721
16327,1602
3358,16781
16919,1602
16998,16999
1581,16999
16998,19603
15034,19857
3358,1602
23863,13553
24467,1602
15176,1602
3358,13553
26797,1602
141,13794
12940,28489
24467,13553
862,6081
13554,13553
12438,1721
1554,11328
24670,13553
24812,19927
38078,13794
38313,1602
10568,13794
24467,5771
28266,13794
40093,1602
8186,5771
41640,19603
862,5771
30607,1721
13554,1602
36350,13794
47889,13553
18803,3400
142,19927
27275,5771
4127,3400
3358,19927
51715,13553
25946,13794
38741,5771
40274,1602
31841,19927
15034,1602
4930,1602
36350,1602
32328,24461
32615,13553
21917,1602
16998,1602
30198,16999
36350,16781
15034,13794
1581,19927
41412,1602
54792,1602
14052,1602
50546,50545
8881,3400
10944,3400
61214,13553
13554,13794
1603,1602
62275,1602
16327,5771
24462,24461
46279,6081
28221,13553
862,19927
19255,16999
24812,5771
31841,13553
36350,5771
46279,19927
67094,13794
36350,13553
38512,1602
15034,13553
15034,16781
50546,58274
28275,3400
24671,1721
32615,16781
31373,1721
14052,5771
4930,19857
41412,13553
44530,13794
71124,1602
67652,13553
32615,13794
40274,5771
27275,1602
142,1602
40375,1602
142,13553
50546,60085
5772,5771
27276,13553
36044,1602
19154,6081
19154,1602
21608,1721
38741,13553
5772,13553
1603,5771
142,5771
1603,19927
28221,1602
27275,13553
1603,13553
26343,13553
3358,5771
14052,19927
9894,3400
28221,5771
24812,13553
31841,5771
19154,13794
18404,1721
