bakedgoodservedwithbeverage_in_1,bakedgoodservedwithbeverage_in_2
232,233
244,1544
1664,1665
232,1965
244,2074
2885,1665
232,3532
3976,3977
244,1665
1353,4434
244,4490
4731,4732
232,6314
6450,1665
7155,3977
244,7589
8469,8470
2392,10485
244,11891
2392,12240
12849,6281
232,12906
232,12922
244,13067
2392,13192
2392,13648
232,13892
232,14131
232,15187
15282,15283
3620,15710
16034,13192
3620,16206
1353,16420
16475,16476
1353,16557
232,16816
15432,8470
3620,12240
2392,17965
2392,18154
17187,18194
2392,18645
244,13192
2392,19241
232,19990
20146,8470
244,20828
15282,16476
232,21844
232,4972
7306,2074
2392,4732
1353,1665
3620,24033
232,24490
3620,18194
232,23021
232,24805
3620,12319
2392,12762
244,6364
2392,26293
1956,15710
11635,8470
232,17569
22538,22537
3620,28003
2392,23487
28113,1965
232,28261
28766,14801
28802,1665
28893,1665
3620,22537
232,29529
244,3619
24445,30043
232,30305
232,22502
17187,16476
24445,30627
2392,7100
232,30989
3620,28556
3620,31248
2392,8213
17475,6364
1353,24832
17450,1665
3620,32262
2392,32322
244,23487
16034,4732
244,28770
15432,23780
33622,8470
232,33824
2392,23780
4731,24832
2392,11891
34805,1665
232,34962
244,32262
232,35271
2392,20751
232,35592
2392,35196
2392,16476
232,35657
3620,9879
244,25028
232,35947
2392,8470
3620,7100
232,36320
2392,36648
232,35535
232,36931
3620,37802
244,35611
31172,14801
24445,16420
244,7100
3620,38585
2392,38869
4731,3977
17187,25695
1353,39152
232,39258
244,39262
15432,22537
232,39845
232,16420
232,38107
1353,40634
3620,16476
244,18264
232,41332
244,4732
232,17965
24445,24832
11635,4732
2392,18961
232,42317
232,42427
2392,3619
232,42804
2392,16557
232,15714
2392,43348
232,43462
2392,15710
244,44112
2392,24832
244,44673
232,33161
16099,1665
232,45217
3620,3619
1353,3977
45271,3977
244,12319
3620,6364
232,46143
2392,14231
244,46461
232,20642
24445,35535
24445,1665
2392,47523
232,12762
232,47797
16034,3977
2392,27706
232,43348
2392,28803
43976,15362
232,34955
15282,1665
2392,4972
232,50747
25276,3977
232,14801
232,28770
244,15710
23159,3977
232,51259
232,25028
244,47523
45127,13192
26911,1665
232,32262
232,2781
244,4434
3620,13192
232,51979
244,23780
7155,14801
17187,15283
34805,16420
232,52656
232,52666
3620,2074
25134,6281
232,53161
232,53415
11905,16476
2392,40459
24445,16557
232,53819
2392,10148
48278,1665
2392,43776
2392,45499
54434,1665
