personhasresidenceingeopolitic1_1,personhasresidenceingeopolitic1_2
2307,1514
5802,5803
3897,1174
3034,8022
8413,8414
1157,8423
4047,10667
6441,1784
13433,10835
3034,13785
2366,1174
914,14434
3105,14636
5764,1174
16508,8414
3930,1174
1061,17151
11563,17691
19268,19269
4089,18874
20891,1174
3,21496
712,4921
4299,1174
8495,8496
23423,14650
1844,1174
2349,1174
2953,1174
2303,1174
1627,437
17417,4921
8672,1174
14651,14650
2605,28856
2625,29088
29352,17905
29547,29548
6375,16899
26221,1174
3055,32313
29421,29420
4499,1174
270,1174
1098,13785
3518,33611
1098,9433
4202,34409
859,18874
1868,34720
17,2397
319,36090
977,8022
319,14421
30672,1174
1966,1174
2417,1174
23068,19402
3689,7743
4089,1174
31290,31291
321,34005
5863,1025
1901,40151
977,40271
8310,29768
27702,27701
270,2730
3726,31651
859,42488
901,43317
1901,17822
13294,1174
3870,1174
116,7295
1016,1174
15446,44518
24050,22210
24050,27701
46107,46108
46266,46267
2366,27875
1966,5803
16270,1174
6375,1174
8272,48185
1627,48409
8495,1174
36,5803
751,49007
299,49125
700,49400
49994,6041
3005,1174
1868,5803
977,1025
10367,1174
52187,47493
4147,23517
36125,1174
128,3246
3870,9433
18283,1174
819,1174
717,53239
23423,34425
2158,53982
270,25269
10090,30527
39607,14421
8687,36336
905,1174
859,55542
6071,26951
13433,17905
1953,1174
657,56381
17417,17416
1256,43317
3805,33548
904,1174
24050,17822
901,28856
36,1174
1901,27701
844,1174
59082,59083
8162,1174
459,1174
1188,1025
8952,1174
2625,1174
3538,1174
1131,60167
60915,36336
1568,8951
819,45706
61173,61174
23423,12480
103,3932
29352,20164
8047,8048
859,55780
1868,46412
1901,22210
62940,61174
1092,1174
27092,45706
1050,5803
46746,17691
20095,22307
751,64256
3034,1025
819,18874
6,24621
844,34005
243,1174
3034,7295
42020,27968
2417,5803
20095,12480
1568,1174
16490,33656
6,1174
1374,1174
23402,34738
11187,49400
1421,49913
1868,28364
29078,30554
5802,36348
299,47569
12182,46844
321,68816
2514,43317
14651,34425
2424,1174
321,359
36,55121
859,5803
7650,27968
8272,64048
751,18492
8680,1174
1593,29548
6441,1174
1953,18874
8272,1174
6,34005
67327,67326
6375,71071
2079,1174
7905,5803
71513,71514
1627,60703
3805,5803
321,1174
14548,69295
1868,67984
3805,17561
243,53395
9404,19376
3370,1174
68650,41744
9147,43317
17,36289
802,48836
29773,62472
1062,32195
6441,897
866,1174
1627,1174
1591,1590
1966,73307
859,31049
34228,7847
6375,34005
17,40894
41070,41069
905,62472
36,16561
23423,22307
6069,7295
11872,1174
11492,11491
41487,41486
3870,30405
3307,30251
26807,4057
717,1174
58717,1025
40081,27875
859,1174
7557,1174
4764,34425
17417,29420
270,68453
27092,15977
23913,10835
844,5803
2303,23277
4764,14650
2494,32560
866,5803
114,38556
51413,2860
42020,45235
3105,1174
69764,41069
9900,9899
1627,5803
9990,1174
819,5803
17906,20164
1098,437
3726,1174
565,26070
45808,14434
4089,55780
14570,14569
74798,45235
819,15977
17,13785
1082,1025
74150,42488
1374,55058
3307,24537
24206,22824
270,18874
41745,41744
29352,10835
1627,18874
9422,20509
904,18874
1868,1174
46882,1025
565,20280
1724,1174
299,49210
6386,52760
351,1174
90,437
80,7847
17906,17905
2158,1174
1884,3588
21785,66636
53045,8423
