hasspouse_1,hasspouse_2
1075,1076
1831,1832
3177,3178
7597,7598
7744,7745
8457,8458
2636,6013
8918,8919
9394,9395
9579,9580
10600,10601
11295,11296
11509,11510
11690,11691
12154,12155
12372,12373
10601,10600
13703,13704
13789,13790
14264,2897
14476,14477
14520,4716
15951,15952
15991,15992
16504,4475
16830,16831
16946,16947
17513,17514
18591,18592
18748,18749
18922,15660
1432,1431
19347,19348
13258,8683
19430,18191
19759,19760
20159,12577
3627,5795
20621,20622
20794,20795
20837,20838
21024,4480
21067,6358
21157,21158
21159,21160
21175,21176
15153,15154
22106,22107
22407,22408
22451,22452
9561,9560
22807,22808
22844,3100
20164,23299
23480,22174
23508,23509
18300,18299
24318,24319
24839,24840
20650,20649
25263,18813
25295,1995
25574,25575
26717,26718
27222,27223
27228,27229
27404,27405
25232,21160
28269,26499
28650,28651
28929,28930
18931,1749
29545,29546
20838,20837
25919,29874
30875,30876
31506,31507
8683,13258
32412,32413
7182,32709
32754,32755
32978,32979
33176,33177
33455,21157
18191,19430
34199,34200
34473,1995
34620,14087
15952,34820
34916,16947
34425,14650
8919,8918
13183,13184
36491,36492
36858,36859
12155,12154
14258,14257
37487,37488
30321,30320
9322,38067
38474,38475
17524,1773
13790,13789
38714,38715
39043,24443
27431,27432
15660,15659
9073,39553
21158,21157
40155,19852
40201,40202
40367,14948
5795,3627
4902,40456
24564,40496
39553,9073
18498,18499
7745,7744
39686,39685
41642,8546
39766,41776
42154,42155
42284,31223
42436,42437
42550,42551
42590,25606
43227,43228
43270,25361
43503,20795
1025,4475
43805,43806
31699,22303
26499,28269
1076,1075
44532,44533
44675,40396
32660,43599
44795,20050
45170,45171
24328,24327
45326,18231
45568,45569
46000,46001
13785,4475
5630,2393
15154,15153
46544,46545
23299,10835
26059,44989
46922,46923
45171,45170
30051,30050
47293,47294
7475,28036
14779,14780
47528,47529
47832,18040
266,267
48347,48348
49172,49173
20949,20948
19852,40155
49541,49542
49694,49695
8458,8457
11296,11295
19377,19376
50370,50371
11196,50513
12071,12070
7,28472
40456,4902
797,1773
20875,13440
25606,42590
4716,51321
30876,30875
5667,51398
41123,41122
32718,13697
51534,51535
12038,38067
7867,51568
1630,1629
51997,51998
48182,48181
43882,43881
45654,45653
27405,27404
17280,11825
51568,7867
52422,52423
22107,22106
10164,312
34158,34159
267,52822
32404,3241
42551,42550
18499,18498
7765,4475
33772,33773
24793,24792
53689,12037
53802,17514
6359,6358
53962,15824
43405,43406
54341,24078
26718,26717
54556,54557
21176,54656
54833,5886
7598,7597
55019,52423
55065,31223
29874,55143
52423,55019
15687,55222
30035,9073
46845,18340
1921,1773
25575,25574
34312,16947
55631,55632
24327,24328
31139,20795
42657,42656
28403,28402
22303,31699
57057,57058
9357,9356
50371,50370
52541,52540
57516,12037
16588,8546
1629,1630
32931,32930
33518,33517
46545,46544
26060,26059
15659,15660
48005,58442
12577,20159
58504,39685
9356,9357
37488,37487
58806,58807
58861,25607
58938,27125
40212,40213
19210,19211
34424,11510
48181,48182
59384,59385
59412,59413
16170,16171
59530,24792
59612,59613
23647,24902
15688,15687
35181,10086
16345,16346
55477,51250
10835,23299
20050,44795
36098,34424
14713,21044
43704,21815
60503,11510
50398,51998
60952,20635
61085,61086
14257,14258
27432,27431
33369,1750
57167,20559
38710,38709
6485,45671
17514,53802
11510,60503
55632,55631
28367,6485
25362,25361
17310,56467
46923,46922
38581,38580
35733,35734
22174,23480
62932,62933
63101,63102
7476,7475
40496,24564
63606,8576
47567,35822
38715,38714
53763,18510
46232,46231
3178,3177
14870,6013
17905,10835
64257,64258
64323,64324
55285,55284
64523,64524
26000,25999
58557,58556
32866,32865
22588,19760
44533,44532
23509,23508
16171,16170
59464,56833
58660,57058
43599,32660
17311,17310
51321,4716
33760,25999
13440,20875
52540,52541
54557,54556
37912,37911
60979,2685
36742,6013
5272,5271
7261,7260
42648,23020
51251,51250
19627,13288
66010,1831
66208,4480
55148,26954
12775,12774
61432,14165
15713,15712
43228,43227
35788,35789
46001,46000
66956,66957
67018,43704
51430,51429
3100,22844
67194,19376
60851,48010
67234,6358
33773,33772
53899,53898
27389,42590
23020,42648
62514,62515
40213,40212
25607,25606
66957,67138
38817,38816
16947,16946
65409,60981
39525,39526
43406,43405
10844,6013
53263,53262
63981,63980
1749,18931
4480,28172
51433,19614
55893,42971
17728,17727
28473,28472
45596,10086
56719,15914
14108,46500
5433,8116
30320,30321
49073,49072
51398,5667
59998,59999
20795,43503
55222,15687
44411,44410
35403,7691
25361,43270
31455,17471
19348,19347
34159,34158
24443,39043
1651,4922
69252,15991
69380,69381
49542,49541
65495,45569
63102,63101
31507,31506
69605,15660
29546,29545
69729,69730
28172,4480
32979,32978
46548,46547
64867,64868
58556,66207
17934,17933
22937,25361
25999,33760
5648,4475
28036,7475
70146,70147
13994,9073
9039,11825
58617,58616
60981,30050
45569,45568
4537,4538
62933,62932
15914,56719
23800,23799
69532,48348
2686,2685
46500,14108
61829,17644
22210,17822
42437,42436
70930,31223
70940,19376
4481,4480
15915,15914
13270,13271
48011,48010
33517,33518
51535,51534
36859,36858
23393,23392
2685,2686
52220,33420
32865,32866
38475,38474
20087,20803
18592,18591
37911,37912
71441,21160
2393,18300
56712,56711
71487,49454
20622,20621
41776,39766
52301,9073
48155,48154
21044,14713
30019,10086
46306,6013
22452,20837
48348,12037
36871,15195
54333,54334
15195,36871
15712,15713
27125,58938
67063,67062
49491,12037
32755,32754
27223,27222
33420,52220
29243,29244
61840,61839
16470,16469
26474,26473
72551,50255
64524,64523
22808,22807
57107,57108
10336,39529
51418,51417
45653,45654
18511,18510
24990,19174
64880,45012
69632,68262
68775,67211
58629,58628
51998,51997
19242,19243
6014,6013
19614,51433
63317,25607
54513,29134
13387,13386
13069,13068
64099,64100
17644,61829
24902,23647
23442,23441
55284,55285
17933,17934
57058,58660
27133,27132
35734,35733
59567,7261
28611,13183
3241,32404
64204,38475
39526,39525
19514,19515
54334,54333
47529,47528
47294,47293
67421,43704
30050,30051
32930,32931
23536,26566
7692,7691
12070,12071
43881,43882
36492,36491
1832,1831
33177,73929
9120,52423
60159,73972
25052,4922
26473,26474
15024,71586
14780,14779
18041,18040
58162,26281
1750,33369
13184,13183
19243,19242
39345,39344
69071,31223
7260,7261
45012,64880
18040,56467
8116,35403
38580,38581
13386,13387
19211,19210
12633,4011
23441,23442
42783,44817
18299,18300
74123,7295
35822,47567
74391,6013
74394,74395
40202,40201
28839,28838
59999,59998
18510,67211
57408,25601
69153,19376
30304,62990
32709,7182
8117,8116
17471,73984
26954,1784
43851,709
4922,25052
21,20
24792,24793
48825,48824
42971,55893
24550,24551
19551,18040
56711,56712
29244,29243
34200,34199
61023,12556
26281,58162
16831,16345
32066,32065
2897,14264
61839,61840
10086,30019
18813,18814
26306,18300
16325,16326
15824,53962
62679,31223
61352,6358
37293,37294
31642,12775
64100,64099
38540,14869
28402,28403
62515,62514
51250,55477
52162,75125
13271,13270
12556,61023
49173,49172
12373,12372
19174,24990
72358,40212
54094,1995
44989,26059
56467,18040
21815,43704
11825,61684
24551,24550
72559,72558
65420,54556
25676,25675
38067,9322
23871,23870
46547,46548
18749,18748
68188,58617
12037,62559
21160,25232
57108,57107
61086,61085
16302,41469
41018,4480
14109,14108
62559,12037
28838,28839
35789,35788
7691,35403
1431,1432
14477,14476
61684,75113
52039,25670
14165,61432
4538,4537
19515,19514
37294,37293
74403,74402
27418,3912
12054,12053
69586,69585
29134,54513
64868,64867
29310,27282
16326,16325
58628,58629
48154,48155
44817,42783
19760,22588
23799,23800
39344,39345
58705,25606
69102,13315
