ceoof_1,ceoof_2
1218,1219
1728,1729
1390,1391
2537,2859
3429,3430
4450,4451
4805,2231
4875,4876
6833,6834
7749,7750
10105,10106
10628,5944
4958,4957
3630,910
6396,2659
13544,13545
15091,2934
12142,15369
10019,95
7016,6221
16936,16937
18062,18063
18143,18715
20960,20961
3064,21060
15227,15226
12377,12376
6434,6433
24369,24370
23474,7756
8820,25317
25475,25476
25612,25613
26463,26464
26468,424
6170,27267
26255,26254
27335,27336
28394,8417
15665,15664
29358,5370
17422,554
18733,18734
6613,6612
8493,23192
23644,698
4115,28203
11619,11618
28710,813
32495,17507
32673,32674
32508,12383
30618,18759
25281,7896
34404,19158
11978,6402
31975,4749
34522,16071
21327,21326
20323,20324
35754,35755
2210,10935
30659,36653
36662,12307
36667,36668
3294,620
25617,25616
22356,25349
1827,1826
33666,21285
39917,5023
28558,14965
34146,34147
6495,37352
33303,19160
20336,20335
11159,42994
32995,11836
44171,498
44243,19413
8183,8182
663,36699
45670,1583
3018,3017
12237,38538
1292,37788
23929,6371
46981,10203
19296,19295
31055,7627
11996,11995
11548,22259
36945,36946
19961,17426
42908,42907
15499,1883
10393,10394
51160,2842
12018,20887
28457,28456
21355,4168
15132,10571
22161,16139
5807,52806
10326,10297
53676,49610
16479,26810
9819,9820
47385,14330
40914,1978
10337,842
5479,5480
11283,11284
40741,40740
34880,15383
19016,19015
14445,8810
32992,32993
38845,4355
18846,18845
38095,8226
20392,20393
25876,48382
34866,34867
39763,18218
12903,5047
5424,35648
6710,5952
27608,27607
9272,9273
39134,39133
5626,60270
35021,14212
27518,27517
52288,16520
53916,23643
23290,37002
6752,6751
2804,2803
47807,3051
38606,9474
8823,4838
40789,14025
4740,20884
15968,7177
33228,2364
4960,4961
18629,13295
64286,13506
8980,8979
13869,48826
23737,680
54749,54750
37466,37465
4934,19192
28245,10733
33932,22224
33591,4680
52604,32628
9403,20306
37435,14205
32337,16097
14771,27399
4704,11469
29408,6263
34730,7037
13101,12761
50612,14135
42613,42612
32746,17199
48059,15179
25688,25689
63512,3344
23454,23453
32814,7530
53770,7720
18371,18372
68511,10225
59644,19962
42589,8572
57042,57041
29302,29301
16375,8736
26716,26715
17657,17658
1327,13597
40470,40469
6790,6789
41318,2772
19259,4445
2610,5943
35162,35163
21002,56086
4781,50987
21049,617
25335,25336
32339,32338
9442,9441
14040,3739
9451,9452
11688,19424
17265,17266
12484,752
20136,20135
22966,7422
35285,7059
23816,1699
13602,9264
39699,18080
21449,2405
38054,4119
25483,6374
6761,19214
63610,31781
60821,8392
29715,29714
67884,10798
1003,1002
49870,49869
35281,3381
26993,57587
311,756
20725,30174
52988,4603
24238,7111
939,938
40354,2521
25902,38262
52246,52247
72914,28926
45965,45964
26572,26571
47036,29651
71693,27640
30481,30482
13666,13665
8218,14456
17055,44073
25488,30274
10950,2075
7884,7883
19206,1369
11754,11755
31573,31572
12382,11817
13496,13495
15298,15299
74889,1201
73125,47083
11323,5253
6132,238
20909,4105
15759,1271
4655,4654
44980,10578
64095,9329
12970,4947
14873,14874
31322,19875
12888,71641
397,398
37479,7200
13428,65482
22696,22697
10663,4193
21970,17587
31129,11926
10543,10542
62978,3168
54229,11430
59985,45347
