leaguestadiums_inv_1,leaguestadiums_inv_2
3009,105
3749,342
3636,1001
8239,105
1080,1001
8604,105
8695,105
8720,1001
7357,5172
9235,1001
11022,257
11322,257
11526,105
12575,105
9235,257
13501,342
13912,5172
14637,5172
14690,105
7670,5172
15777,105
2619,16697
16832,5172
1440,257
17912,105
1802,257
1984,105
18398,257
18537,257
18712,1001
19434,5172
2234,105
20942,105
7484,1001
21871,2618
18819,342
22638,1001
8992,257
5015,1001
23687,105
24058,257
14782,1001
13215,105
7357,16697
25936,342
26037,105
6873,24296
28050,5172
29213,257
29809,1001
31675,257
19687,257
20572,342
24917,105
683,257
28201,105
10059,2620
15424,1001
22897,22896
23302,105
29493,105
36702,257
37068,604
22373,105
22854,257
21871,39221
38605,105
41149,5172
42104,105
42260,5172
42506,105
14329,105
43263,5172
23699,105
44250,105
38920,105
6256,257
10027,105
14618,342
33732,105
9359,257
46750,342
10705,342
47238,5172
26115,257
2020,105
32097,1001
47862,5172
47978,105
19526,105
42193,105
8942,604
48356,105
49554,105
50900,2620
2203,105
21068,1001
9401,342
31039,105
52524,604
24855,257
11884,1001
9366,4456
43016,105
7611,105
54340,5172
54635,5172
51188,1001
7046,257
2619,5172
4360,105
28917,1001
55666,5172
55694,5172
27307,105
55876,105
56106,257
56170,5172
56391,2620
34549,257
54037,1001
56744,105
56772,5172
26427,2618
4061,604
8992,1001
37933,105
13715,257
56843,105
35842,1001
16603,342
15519,342
7357,41530
30342,342
59293,342
9401,604
9366,16697
38755,1001
34756,1001
13070,1001
23107,105
19925,105
7357,2618
12949,1001
41979,5172
21208,105
2619,2618
17607,342
7518,105
61734,5172
38804,105
9421,1001
37056,105
62185,604
14618,604
62351,105
8015,105
8753,257
42694,5172
55973,105
3436,105
50954,105
61734,2618
50902,105
3021,1001
60119,105
6093,257
57492,342
33661,1001
16311,257
64709,257
64711,105
64939,257
24062,105
48980,105
9461,1001
19458,105
52209,105
14427,257
7243,5172
53917,5172
13600,105
66390,257
66427,105
63276,5172
9366,24296
7637,105
6577,604
13018,105
8605,342
14308,5172
17693,342
20397,1001
27178,105
21871,5172
21410,1001
48719,257
10261,342
66923,5172
7357,4456
37127,105
53260,5172
25404,342
12963,5172
8197,1001
21045,342
8942,342
20932,105
10488,1001
65795,105
9791,257
37919,5172
56004,2620
32212,342
58012,5172
26160,105
16257,342
6285,604
36282,604
25330,105
11068,342
27765,342
19434,22896
43263,22896
30761,105
8289,342
48579,1001
38772,257
31959,1001
49873,105
30754,105
39350,105
35872,5172
68062,5172
22854,1001
17067,1001
21351,257
4061,342
4874,342
2619,24296
36113,1001
45869,342
72850,1001
57647,1001
72864,105
54464,105
34549,105
72392,5172
55789,105
47052,105
48754,604
5315,105
73006,5172
31981,257
48738,5172
37031,105
2621,2620
63276,2618
6873,4456
22737,1001
23801,105
6873,5172
16864,1001
5000,342
19777,5172
42676,105
9366,5172
5075,257
51701,2620
20830,105
10059,1001
4497,105
24250,342
39711,1001
3577,257
60763,105
21923,2620
36223,105
36504,342
5015,257
74419,105
16130,342
24960,257
19938,1001
11096,5172
31386,604
29503,257
39780,342
63954,105
72012,5172
47966,105
35151,257
54542,257
51188,257
69975,5172
8866,1001
27604,105
66072,105
24895,342
65785,257
30192,257
17480,342
33839,105
46641,257
26427,5172
2619,4456
7357,24296
66109,604
13177,105
70513,105
68972,105
