cityliesonriver_inv_1,cityliesonriver_inv_2
304,305
313,314
337,338
1491,1648
2071,2072
1491,2219
2779,2780
2156,889
1491,3032
3200,3201
1388,3204
3368,3369
3422,3423
3485,992
3638,3639
2156,751
1491,3988
4037,4038
4059,4060
1388,4166
4339,4340
4366,4367
4366,5339
5149,5681
5755,5756
5820,299
6594,6595
6603,6604
6791,1131
7412,7413
7956,7957
3422,8040
2156,8091
8137,479
8299,8300
4366,6036
8691,8692
8873,133
9006,9007
9017,4499
9070,299
6603,353
9091,9092
8216,9417
9488,9489
10126,4575
6497,4708
10581,10582
10694,10695
10869,42
11056,11057
11216,11217
3422,11462
11701,11702
11513,11972
4366,12631
1491,12707
313,13378
1491,13723
10694,74
5149,5148
13982,13983
14375,14376
14553,9012
14655,14656
8046,8045
15038,15039
4366,15095
15144,6748
15265,15266
5128,11856
4100,16370
16418,518
16465,3709
15736,15735
4067,8647
16941,16942
2156,16950
16978,528
9204,17284
17349,17350
17729,17730
1388,1387
17855,17856
12490,9900
18024,7401
18074,18075
18090,5896
6694,13491
14910,18500
1388,18526
18578,18579
18660,6441
6694,18946
1491,133
9006,19009
2908,1387
19470,19471
19484,6386
1388,2760
10033,8746
4067,15365
20096,86
14772,1744
313,20413
313,20615
2608,20616
20677,5493
11513,21012
2156,917
1388,21527
21657,12398
21691,21692
10192,21851
21930,21931
5231,3610
4339,22101
22140,22141
22159,345
2156,114
4067,22668
22677,10695
4859,1421
7604,10501
313,23540
23634,845
1388,2050
23663,4708
23740,23741
24060,849
9006,6939
24175,24176
24306,1399
2156,21114
18074,24453
23663,13009
4339,24775
24819,4708
24964,24965
9006,3742
1506,16705
8216,25115
5210,815
313,25326
25395,25396
25526,25527
10694,1465
25743,25744
25761,25762
1491,19433
6791,26009
23663,26137
5210,26205
10987,18343
21622,26288
6407,6406
3768,3767
26768,26769
11552,27110
11216,15735
27265,27266
27327,12707
4100,27358
10694,8258
22159,27610
313,12645
1491,22289
28001,28002
28211,3869
1491,21730
28263,5228
2156,12545
2156,22428
12428,1816
22579,22578
313,28623
28692,28693
11216,28743
1491,3966
2156,731
6594,10032
29206,29207
5230,16195
2156,341
29410,29411
29522,6441
29617,29618
4273,29690
1388,29762
4366,20616
30421,17857
313,86
1388,13502
1491,1490
30955,30956
30959,3695
30973,565
30977,30978
2156,4325
10639,10638
31317,29474
13008,10359
13074,31436
313,31458
13074,9404
11552,1876
10987,5228
22005,22004
11941,11940
32233,23168
304,32401
23663,32819
1491,32871
29044,10032
9006,24529
2156,9422
5210,32947
33041,10986
15038,11505
33317,33212
33366,33367
16465,29465
12490,33569
1388,33844
34143,5019
34283,34284
313,34333
26783,26782
7604,565
2908,16270
34547,19076
1388,2953
1388,34666
1491,34907
34948,7872
34961,74
2330,24652
1491,35161
35219,35220
5149,35474
5230,32535
25395,35816
2329,3032
6497,3820
36081,1776
15253,8746
20743,21317
36301,6386
3422,800
10694,36502
36508,28622
6791,19733
5236,7869
2608,2607
3570,9170
2793,5577
26783,24939
2793,36918
36941,32947
37033,3423
37156,37157
4339,1825
5230,37467
1388,37542
21232,3026
2156,250
1388,34797
37899,9547
2156,38009
23663,14340
2156,7690
17349,8047
38439,38440
15621,38487
304,38504
1388,25774
28620,1646
2330,38667
38668,528
31392,2592
38718,38719
2071,18804
29254,133
32233,9422
22677,7906
27264,39050
1491,565
23628,6936
31799,39339
16465,29397
36836,36835
39588,39589
7604,8746
6436,4074
10694,39690
39814,28622
10192,39987
4366,40008
5210,40106
6694,40122
4366,40170
15038,20886
2793,29291
32359,15526
2156,16337
1388,40559
313,38015
40974,40975
41064,41065
3768,11095
15621,3737
10694,41153
313,41174
41264,12870
37976,13310
313,41384
41503,10327
1388,41609
16773,16772
31799,31798
42150,42151
1491,1916
33289,12705
23921,42343
695,694
15253,21274
36404,42527
42729,4708
42730,42731
38416,19191
38416,14788
1491,22475
35373,43109
37976,4833
1506,207
43166,43167
2156,2307
2156,9500
43252,314
7604,133
43322,43323
10267,10266
21771,43438
9214,9213
43577,9489
43389,7650
1491,1020
43878,9365
43890,43891
15253,43923
304,7480
44129,42160
14910,7401
3597,4880
1388,7312
44346,44347
44389,17089
15144,6938
44562,12573
42730,15788
313,11551
4366,410
21630,18184
19484,30486
1491,13009
45059,5718
1491,6441
45162,45163
1491,12260
1491,42598
1388,45333
19299,1593
1125,14388
9006,45530
8046,39620
1491,74
4366,2839
4366,45751
33754,35511
7178,74
45942,8647
7604,45985
4366,7001
7604,46066
11513,46089
1491,24652
2156,24774
46360,4575
1388,25998
27265,46395
15253,24714
2793,31051
31857,6325
3200,4708
19504,27780
47183,28765
12428,23058
1388,5564
37156,47470
4273,47492
29646,20781
21684,20453
1491,5718
4366,29474
30969,30968
21684,3090
337,36243
1388,36125
10192,18246
15621,23169
313,48516
9006,13568
10987,24510
313,48784
15199,5121
21684,21683
1491,13948
35507,5896
33917,207
1388,49295
3422,49469
29206,49470
25395,10641
2793,17744
49582,49583
9006,48317
2608,74
2793,49697
304,16772
2156,16461
1388,9084
2156,8446
41129,21982
23663,36201
2156,17501
11056,26348
50874,17455
21622,29592
5230,24109
2156,6379
49821,10986
6694,12920
1388,13725
304,51522
2793,2792
1491,51640
40969,17089
3485,38591
4366,14442
51787,51788
8299,47375
52017,24454
2156,6698
4366,52194
4366,18039
9006,52324
41064,52340
52732,74
17686,26043
31266,36356
8137,26171
2156,5896
4366,35052
23663,52999
36404,51282
20677,2307
42466,3897
4366,5759
12490,25402
5149,53315
36659,36658
38648,36698
1125,30604
44224,15788
2156,2514
2156,53791
18074,7860
7604,2839
34143,7004
1491,751
1491,48077
2793,11010
50500,2078
15621,27280
16047,16046
31799,44730
31985,2372
1388,28821
1388,26221
54375,18869
2156,32558
54462,53876
29822,2965
29410,20548
10368,10367
2156,41065
6018,6017
1388,38503
5236,5235
4366,54790
54824,8238
53065,54933
2156,2662
2908,2760
25010,55052
23663,299
2156,565
4037,44995
1491,55196
15621,38480
23663,53496
4366,2607
38259,3742
2156,16270
2156,3579
34695,31418
40145,3897
23663,4925
41064,10986
8046,9867
7604,16651
55730,55731
25010,25009
3597,55850
