chemicalistypeofchemical_inv_1,chemicalistypeofchemical_inv_2
165,166
389,492
585,586
721,722
570,836
468,1348
1475,1231
1623,1624
2137,1332
2256,665
2454,1468
1468,2576
1623,2725
468,3001
3099,585
1171,1231
1468,3166
1171,3385
3411,3412
3493,3494
492,3541
3575,1468
570,3741
4130,1468
4411,4412
4625,492
4669,4670
3541,468
5868,1332
1171,569
3099,721
6560,1332
6665,1332
1332,6832
1623,6867
492,2027
721,3741
468,7843
3099,7231
570,8402
45,467
8665,1332
8906,4954
3411,492
3411,3541
570,9546
4670,9551
9698,1468
3099,10271
570,10430
3493,45
10478,7231
7147,10902
11185,7231
721,388
722,7843
1171,110
3541,7231
10430,3741
3741,12176
1332,12178
12482,12483
3541,166
492,12303
721,1468
3411,12603
1171,10478
12900,1332
3541,13170
1468,13325
492,13354
3477,389
13572,1623
1468,13654
1232,3741
1522,45
468,11185
4795,4035
3541,389
9823,7926
14404,1332
4954,14443
1468,14518
8742,1332
2576,14752
14980,1231
15239,1468
15700,1231
15908,1468
15941,1623
570,3477
16001,12603
45,16307
16501,1623
15700,3741
16849,7231
1468,16896
15700,9551
1623,9551
3741,389
9189,1468
10495,1332
1623,16501
492,3575
4411,17741
1468,10478
12176,3741
9014,12483
18354,18355
8906,14057
18745,1332
492,722
18839,1231
389,1170
1522,3494
468,4608
492,19020
11097,492
8978,19216
1623,8906
8978,19336
492,19370
492,19384
19428,1623
3541,388
570,1332
19809,492
1332,14849
19865,1332
19867,492
9244,3741
1468,20251
4670,3477
1468,3385
1468,15700
1332,20609
1468,20151
20719,20720
4795,20843
585,389
492,21194
14507,1332
1332,5088
1468,21502
570,1171
21827,492
10564,18598
5590,1332
389,1623
4669,1231
722,2256
492,467
3541,9258
4608,492
10094,1468
22528,1332
1623,22532
22657,1332
18355,492
1468,22870
1332,22915
19867,45
389,6008
165,6832
1623,3001
9244,20145
570,18355
23367,1522
24262,7926
12550,1332
8906,389
13572,1468
467,109
389,570
24604,1332
24751,1332
1171,836
468,570
570,21048
1332,7926
25206,1231
3541,4795
570,19867
166,1332
1468,12588
389,25553
569,1623
1468,25633
1623,721
19867,1468
5009,1332
14443,4954
25972,1468
3411,10902
468,1468
1468,4130
26283,1332
389,14443
110,1332
1171,3494
3541,3190
585,1468
3166,1468
569,45
570,27288
1623,492
721,9258
4625,1332
19428,20341
26459,1332
28033,28034
4795,1468
14443,1468
28381,1231
16001,10902
7231,8730
20719,28731
19428,18355
1468,29180
1623,29237
110,3411
1468,5054
4795,29769
1468,13620
492,569
3477,1522
1332,30096
721,3541
1171,14752
1623,30327
7231,3741
15700,7231
1623,45
14404,1468
570,18603
31199,468
13415,468
30816,7231
31453,12483
4954,14057
110,31708
1171,389
22870,9551
2256,1231
12303,1332
12603,1332
5590,1468
18355,3001
7329,1468
15239,1332
32914,45
570,11185
1332,33060
2256,3741
1332,33225
33330,1231
570,1623
3411,586
1468,8906
492,24515
110,1231
389,4795
1468,33876
22870,1468
1171,24492
468,3477
1623,34144
3541,665
721,3494
34434,1231
721,31199
22611,1332
468,14057
19867,468
1171,21656
1468,23367
34678,1231
1468,34698
1468,12178
8978,10563
5190,1623
1468,45
19490,1468
35275,1468
25972,1231
1624,1468
35689,1332
16001,1468
36213,1468
110,721
468,13620
492,3099
19867,7231
492,1522
36531,492
1468,4021
492,389
3741,7231
4795,10902
492,31112
35689,492
468,11609
7147,12603
3541,20341
570,3411
7147,20055
3493,19867
12303,492
5237,1231
14371,1231
5267,492
389,18355
8402,4954
37827,3099
3541,492
110,8977
20151,1231
721,22528
3411,35594
1171,9244
389,18055
492,1171
492,9551
19428,9258
1623,3575
14752,1231
492,19867
36425,1332
492,665
3493,7231
7231,1332
468,467
39054,4954
165,39061
39098,468
39125,45
8978,24952
467,389
4954,39276
492,14057
570,20843
9033,1231
468,20341
3575,1332
7147,1468
1468,19446
45,1348
33657,1623
14057,3741
467,1468
31112,1231
1468,9551
40232,1231
1468,14443
9244,19867
110,35689
1468,31112
570,19446
109,1231
18390,1468
1332,4412
1468,40581
5303,1231
1468,34883
836,20145
1623,19428
7843,18390
1623,39098
1623,36531
41309,1468
29237,1623
585,1332
7231,16307
3477,1231
3541,14057
26776,1468
1468,3493
16001,24363
1468,18055
16029,1468
10478,389
40650,585
11097,1468
41855,1332
23304,28034
10495,1468
3190,1231
3411,9258
389,8742
1468,110
42282,1332
16001,42392
570,3575
30816,38312
42565,1332
5237,4954
45,389
42947,1231
42998,1231
3541,24363
43066,1332
19428,8742
3541,31708
721,1522
43401,1332
1468,3541
3741,1468
6619,1332
45,1522
389,721
492,43730
1171,6008
14980,1332
2256,1468
721,3385
8978,20720
1623,4954
16307,45
3541,570
7231,1231
45,19867
467,16304
7147,29769
44984,1231
44996,1332
40462,4625
3741,9551
3411,3385
110,7231
4670,45336
18603,1468
45405,1468
1171,41855
1332,1522
31465,3477
1171,13620
18355,7231
5303,1468
23367,7926
570,3190
42282,570
45933,45934
13415,7231
1171,14443
3190,1332
492,22528
3190,389
1171,8742
1468,46144
1623,15941
46209,1332
9258,1332
16001,492
1171,9258
4670,7231
570,389
721,16846
721,7231
15941,33774
20145,3477
3493,389
1468,47185
1231,4954
1468,42565
12550,1231
5237,389
492,30816
4669,1332
30387,7231
12588,9551
7329,1231
30816,1332
1468,20843
3541,47591
492,42565
3541,1522
3541,20055
110,14057
1468,30816
110,33774
1522,20843
110,47805
7147,2137
45,47872
3541,109
37805,1231
492,5267
3411,3741
6832,1231
16001,35977
5590,7231
3411,9551
389,14752
4795,38700
1468,12303
3411,2675
20719,36642
3411,3099
9244,39437
48669,1332
1332,48750
1623,36331
5054,1468
45,492
165,28949
492,3001
1468,49063
3741,10430
18390,492
3541,110
468,3411
18055,389
492,721
17101,492
34885,1468
468,38053
468,41173
1468,25405
27288,1231
3541,3494
45907,1231
721,31708
45,3477
9551,492
110,389
1468,50048
468,13170
50127,1332
28034,50130
1468,50142
570,50160
1468,16501
15700,1468
10430,1623
492,20145
3541,13654
31453,28731
1623,50551
1468,7329
1171,3099
36061,12483
28033,1468
34678,24456
1171,45907
31465,1231
1171,3741
35309,1231
3541,3477
14882,1332
1171,7147
20145,492
28680,1332
1171,4035
388,1332
51370,1231
5190,1231
51453,1468
45,585
722,1623
165,51544
110,16304
3541,37200
1468,51664
45,3190
110,3190
1171,3541
45,32914
1171,20843
51833,1468
7329,24456
10564,28731
43814,1332
1468,388
3541,20145
11097,18650
36331,1468
110,4795
9244,38053
3166,1231
1468,52190
1231,45
20251,1231
7231,1522
3099,45847
15239,1231
468,1467
16896,1468
45,1623
3541,4035
1468,4035
28034,3411
24262,1332
32914,1468
52740,35594
1170,389
20145,9551
721,33774
1468,27300
570,3385
9244,3477
12588,3477
110,3477
570,14443
18055,7231
388,1623
389,3541
721,35594
22870,1231
1468,3575
45,1170
1623,13572
8730,1332
53678,570
1332,24363
16001,26283
4954,3477
12482,8977
18355,7843
492,12178
3741,468
468,5237
53937,1332
7147,586
15700,18390
16849,1468
492,4411
7147,7146
50048,1231
110,492
585,46748
492,50142
8666,1231
36425,1231
4954,492
1522,19867
5237,1468
3001,9551
23304,1332
389,3493
33657,3741
570,1522
15700,9258
15700,20843
15700,468
2256,1171
20151,1332
1623,1231
45,14057
721,12549
468,20145
492,40721
1468,4036
16001,38700
1623,18603
8402,1231
1468,1624
24456,3494
45933,12483
570,467
3411,20055
31199,1468
570,33774
1468,8742
468,3385
1468,5303
585,28034
41974,1332
19809,1468
492,17865
55815,1332
468,4411
15700,109
492,56021
42282,468
1623,3541
721,20843
468,569
1468,1522
38025,1231
1468,7926
3411,38700
389,14057
45,56131
4625,1468
7843,468
492,1623
13819,1332
1468,9189
110,38700
389,9551
4036,1332
1171,22331
7231,46748
492,45
4954,9551
3477,1332
5237,7231
10271,3099
110,8402
16001,52560
14849,492
57528,1332
468,3541
19428,3741
721,28731
3411,389
492,29180
492,31272
1468,35275
39334,1468
468,3575
110,1522
52190,1231
492,14443
28034,585
2256,14752
389,585
21194,492
585,3099
20719,10563
1623,45405
722,1231
23472,1332
585,7231
4795,47805
1468,3494
1171,1468
50130,28034
2725,1623
468,18355
7147,109
110,20341
1468,14752
5303,17101
4669,1468
570,665
11097,4625
1468,24558
721,3477
4954,389
12176,1468
8402,1468
39840,1231
1623,4130
3541,18355
1171,38053
7231,4608
56845,1332
3385,1623
570,3494
8978,28731
492,59715
3493,9551
4954,569
1468,42947
389,388
492,6867
43715,20145
1522,3099
1522,47111
468,3644
35298,1468
109,1468
721,5237
4608,1231
492,14752
15941,7231
165,3494
1171,38700
570,388
468,3099
8906,492
23367,1468
1623,20294
721,4954
19428,569
492,7147
3741,4954
492,11185
20609,4954
29180,1468
20151,1468
32263,1231
15700,17101
721,5303
1332,3385
14752,4954
7147,6832
721,45
4954,570
1171,33774
14057,7231
61119,22528
61130,570
27300,1332
16001,3385
3541,28034
30816,492
468,4130
1332,35977
1468,18355
3190,4670
665,468
1171,20151
1468,2256
1171,5303
13170,1332
16851,1332
1468,35689
45,8402
16001,3412
42565,492
3494,7231
14443,389
1231,1332
1231,389
4021,1231
722,36531
24604,1231
570,45
1623,3477
12550,12549
8730,4670
50617,20843
49922,1231
2256,468
1468,8402
721,20151
45,3741
1171,5237
110,2725
3541,5303
3576,1332
16001,109
19428,1231
1623,31199
492,4608
3494,492
41974,9551
16001,29769
33330,1468
1468,44984
19809,1231
45,62909
62928,3494
570,5237
63021,1468
1468,13809
1623,63031
721,20055
468,19867
1468,570
3541,3741
722,3001
44,1332
3411,109
1468,47591
468,1332
63444,1332
1623,14849
1468,16849
1232,1332
16868,1231
8906,3741
18355,1231
110,20145
10495,3385
468,29435
21605,1468
570,1348
1468,24456
1231,492
569,389
12588,1468
3411,47805
492,17101
20843,1522
8906,1332
4411,17101
64016,1468
9764,12483
1623,44
64050,1332
1468,165
1468,36938
61503,1468
64240,1332
42998,1468
3541,467
3411,166
19428,45
44946,1231
47436,45
3493,3099
1623,468
16305,3385
18355,1468
1468,721
6008,1231
14057,1231
1623,1468
1468,55604
45,3493
722,468
1468,36213
1468,30935
9823,1332
1468,5237
18355,9551
1468,109
53205,570
4411,1332
64884,1231
29435,1231
1468,7147
110,17101
389,13654
63737,1332
1468,47911
109,7231
1468,50755
3541,40650
4795,109
10495,570
45907,3477
3541,9014
2256,3190
165,1231
20843,389
4954,1522
20251,492
