athletehomestadium_inv_1,athletehomestadium_inv_2
683,684
869,870
366,964
1324,1325
1558,1559
3577,3578
683,3635
3636,3637
1558,3694
4061,4062
3636,4550
5015,5016
5075,5076
6256,6257
4360,7168
1080,1384
8197,8198
8289,8290
2136,8690
8753,8754
9359,6866
683,9894
6304,6303
6577,10706
8839,10332
5075,10944
3577,11071
5905,11827
6304,12125
683,12565
3577,12820
3021,4351
5905,6482
2136,14053
1440,14271
14618,10237
6577,6836
3636,12940
1080,15830
4874,15959
16130,16131
16603,16604
3636,13329
17607,8412
17676,17677
7046,17734
6276,11924
869,18478
6304,5518
18819,12570
6276,6275
1802,19749
3636,16058
5905,17606
8839,18903
21410,21411
17676,21447
683,18279
8753,4893
3636,22196
1080,22496
6577,22641
7046,23326
14782,23791
15610,15609
1802,22907
12949,24761
3636,24905
683,25716
3636,26145
683,5573
6256,18460
1802,1801
5905,27311
683,19108
1080,15306
8839,27562
21410,9455
27604,27962
17676,28004
1080,28114
17676,28195
6304,23154
17676,28745
5905,28795
21410,29336
1080,4226
1080,17875
17480,30555
14618,4069
18819,21664
14782,7876
683,31271
32097,27049
1324,17065
32097,28248
3636,25282
14782,33651
683,33925
19687,7300
24960,1213
28917,3747
9359,9099
8839,12080
683,34979
683,25997
1080,35364
1080,23191
1440,10083
1080,36441
32097,36503
683,27160
5905,1115
18819,14700
18819,38118
8839,38237
12949,38467
8992,8991
1080,26728
17676,38744
683,38787
17676,22199
4061,8718
8289,26513
4874,31207
683,2196
6304,5292
8720,10812
3636,15244
1440,3784
683,6667
28917,5961
24960,40305
10488,38536
10488,41657
18819,1703
32097,33652
5905,16989
18819,23119
6304,4630
17067,25558
6276,42014
366,4828
4061,1416
6577,29005
4788,41162
6304,38853
8605,9005
4874,15754
683,2371
15610,43564
683,43604
1080,33618
21410,21164
3577,26689
1080,22432
17067,14591
2136,2135
5075,45156
3636,35591
6256,45432
17067,17066
5905,30060
4874,45687
1080,34578
1440,13605
1080,22506
1080,46074
5905,35917
3577,29174
46641,15892
17067,26711
14618,16110
366,365
5905,43653
5905,24243
19687,47237
8605,36686
24960,34232
3021,3020
17676,20812
5905,39383
46641,39637
5075,26260
17067,20582
21410,14278
5075,5579
8720,48843
32097,48849
16257,12647
1080,49009
3636,26712
22854,16523
1080,24882
1080,5875
17676,49300
17676,49905
17676,28724
8992,29246
8289,50106
8289,21641
9359,38294
19687,31844
36841,32245
5905,14218
19362,32611
4061,17244
9359,37991
12949,51257
8720,51369
36841,51129
4874,4185
8839,52750
8753,35078
1324,8571
32212,43053
5075,28610
3636,16627
3636,24518
683,53360
5075,17784
1080,53465
5905,43302
3577,11988
8839,54120
31981,17424
869,31607
869,49023
3636,35307
32097,24986
2136,54514
20572,29876
683,4034
8197,45207
4788,10380
5075,55426
8197,55527
19687,23638
1080,55918
32212,8654
683,16241
14782,14437
7046,41844
1080,646
366,56285
38,25499
6256,56450
17607,22559
17067,17309
16130,56693
8720,48080
1080,19576
6304,34008
21410,5507
869,18852
3636,7351
17067,23864
18819,6538
1080,57386
4061,18204
27604,46861
17067,1126
26191,42669
39780,44453
683,25230
8992,31240
11965,45497
8289,16419
8197,28302
6577,1872
3636,9171
5015,55434
1080,50041
17480,11436
366,58821
8289,46365
683,43927
6304,25433
17067,38587
4061,378
683,23081
6276,13228
8753,18135
3636,25535
27604,22306
2136,35440
18819,1112
18819,59813
5905,30207
5905,23342
10705,25175
17067,27425
24960,23948
366,30871
8839,40814
8197,26729
31981,9491
1080,60826
7046,7218
2136,6068
5015,61467
1080,22500
8197,47818
1080,38174
8289,47163
46641,33673
683,26882
4061,10617
1080,59110
683,27063
1802,14955
6577,16464
36841,30540
24895,1766
683,10369
683,8092
1080,28771
24960,24191
5905,22885
1440,16935
46641,51276
10705,42251
4061,21994
9401,9400
3021,13480
8289,22202
4874,9929
4360,61392
4788,57963
3636,23263
366,43840
17480,16918
14618,39082
869,58605
683,41235
4874,63457
683,20433
3021,3461
3636,54843
31981,18409
8605,47161
17676,54765
3636,25945
8605,58216
6276,46131
6276,44271
7046,7045
3577,7721
7046,28026
5905,17627
17067,35538
9401,5926
1080,44062
17067,10197
683,36100
6304,18404
1080,29906
9401,13138
8720,43565
869,59342
8992,46901
3577,8159
1080,36414
5075,9100
27604,19980
683,14609
683,50550
8197,8315
683,14767
14782,56142
