animalpreyson_1,animalpreyson_2
783,784
1111,871
284,1358
1401,824
107,1734
1788,27
1069,284
824,606
1066,2442
1111,1067
4016,824
107,4237
4865,4866
3730,5278
2362,28
4694,4709
2774,5525
6082,1066
4613,108
6465,824
2882,1069
107,2882
2361,1066
7417,2825
7795,26
7649,2362
2273,27
284,2362
1617,1616
824,7962
871,824
2328,9399
1758,2882
10058,27
284,6853
824,1927
824,789
2882,605
1759,4865
7649,824
824,5659
1759,3730
5176,11629
2900,824
871,284
1451,824
1759,283
12205,784
27,12361
12391,108
12505,3730
12623,824
11680,2882
1927,284
12901,12902
824,13077
2900,1358
13382,2365
1088,107
283,107
8737,27
14251,11815
27,27
4694,1066
11916,824
872,2362
824,1111
4275,108
2882,15175
784,4441
107,7768
15236,824
15280,824
824,2642
5278,2361
2677,15112
108,6216
16105,10854
16146,15166
605,824
5176,6429
824,7961
14532,784
1067,386
824,16771
14943,2882
824,14169
11815,8181
1160,10926
17740,8181
17904,1066
982,784
4694,1067
13942,1066
5176,6080
6216,284
1066,27
28,4306
19185,8181
217,871
824,2882
1111,824
2825,7022
20035,2399
20059,4016
2825,20188
284,14227
108,6429
108,4275
14251,1067
108,1067
871,5176
2415,15761
2825,22267
11842,8181
824,6184
2882,13314
1066,17904
3730,5176
4543,107
8008,108
3158,824
19120,8181
3111,605
1759,7649
3111,4865
4016,2882
872,2442
284,1927
10854,16105
3159,3158
5278,7685
24136,784
108,28
784,958
2362,1066
3730,1610
27,1066
1642,2362
2882,1758
9101,27
9399,3730
2882,16105
1066,2906
1067,2882
1612,1066
27,5176
25264,107
824,15353
18044,824
824,2361
784,21852
16644,1358
108,4865
4694,2999
26216,824
3730,4694
28,1759
26441,871
22359,107
9399,2362
1067,8676
9922,2882
6429,824
824,20119
108,6810
824,6080
3730,11951
1067,824
824,27579
2478,824
1066,2677
824,28073
824,23571
784,28251
6810,284
824,28571
1066,6810
824,1040
108,7148
2882,4405
4865,3111
1911,2362
108,6492
824,11543
386,1111
3769,107
1612,2362
108,1111
11194,1066
3111,3730
3730,872
7768,107
824,4651
108,2442
824,5485
982,4441
6465,2882
2825,17091
2399,20035
2362,5278
1758,3111
32057,9079
108,10926
32249,2361
784,32497
7962,1066
3730,7961
108,1358
824,12391
3730,32977
108,8008
824,29472
11951,3730
3730,25897
14227,3111
1616,5176
4865,2882
5290,31527
9079,2882
12391,824
4306,8505
4866,824
8548,2882
1068,2365
2998,784
7685,1066
16983,824
2511,284
1610,2362
824,1067
1927,386
2825,35408
3486,108
3769,14943
3462,3730
107,21735
35704,108
824,1911
8871,982
21852,8181
19577,27
108,824
386,283
1617,1111
107,4543
108,4709
2362,1759
6785,824
36910,824
784,784
15970,824
20564,8181
824,1758
2415,37246
2882,3730
3111,14227
7962,284
15353,824
982,11842
25897,2362
824,8505
26,2328
15166,15165
386,11815
19185,19185
19704,1111
824,17441
28,824
38344,11815
15414,2415
1610,1066
1616,1066
1066,2362
1617,3730
386,1927
108,10959
4441,8841
108,3730
2362,25897
38988,6127
1066,15970
107,1088
1066,6387
2399,6127
13314,2882
824,3165
6492,824
39367,108
784,11842
872,871
1069,8917
1066,11194
12391,284
27,8008
3730,2362
40336,2415
5738,1067
4306,4865
605,7988
1471,824
23900,5797
824,11612
6429,108
6429,1066
2900,1066
107,10764
284,15236
284,1069
982,14532
5563,3730
41121,784
6785,2365
22529,27911
108,605
36724,2825
784,4829
27509,1066
107,41541
6387,1066
4651,824
9478,605
996,996
108,3486
20564,32249
12181,824
1066,2361
8181,21852
17441,824
6080,1066
4865,824
40401,824
824,6993
42604,11815
8181,11842
2361,42696
3730,36355
14949,2415
2882,28
2999,1976
3730,1066
14169,2882
5486,1976
22636,2365
2825,9779
1067,26
5278,7961
3111,283
3730,7685
108,35704
2999,11916
5176,107
2825,24136
44206,824
36355,3730
11629,108
824,3810
27,44479
2328,1617
7802,3730
8181,17740
2642,824
1578,2882
19185,44801
2361,44802
16867,1066
44936,784
11629,27
824,44954
1758,824
6185,824
824,11270
10959,108
824,3769
108,3159
44936,8181
15112,108
