competeswith_1,competeswith_2
185,186
600,185
775,558
617,1216
1340,185
1698,1699
617,2056
617,2257
2436,2437
3082,3083
3321,3322
3367,2436
617,4378
4643,3322
5031,5032
1386,5138
4280,698
617,6342
1386,6718
6774,1698
6136,6835
7036,7037
7040,7041
5031,3321
558,6890
8147,2437
2659,8295
8563,3082
617,2437
2436,1385
6774,7036
720,3322
9796,185
2659,9803
10588,558
617,10685
2659,10876
2304,340
3322,2437
2304,11627
3175,558
185,11627
617,6612
12761,1699
617,12933
3089,4030
3089,4830
8923,13691
14122,1699
617,14215
3089,14252
2659,13563
3152,6042
5138,1386
5138,6718
15219,14252
3322,15245
55,2659
617,15547
9855,15695
15730,8147
3089,7129
2436,15818
2436,16057
13231,5186
16524,8295
11926,2659
1883,6215
3082,4105
3089,6536
17206,3322
572,15631
617,17448
185,15045
617,7222
15664,1699
617,6536
617,18534
5186,2437
8147,15730
2659,19025
2304,5263
558,19249
19379,2659
617,19403
617,19621
3089,19787
3089,13457
3082,20043
2659,8928
5032,2436
3082,20418
20426,558
5952,1699
719,8147
2659,17269
21093,3322
4267,21390
2304,3039
4267,21801
4267,2436
21902,7176
617,15695
2659,11926
3321,5031
4030,3082
2498,558
617,22886
3089,9264
23211,2659
10225,1978
20326,3082
3082,9264
24271,572
11430,11926
719,5032
1883,16071
14590,558
11430,24263
2304,14590
617,14590
617,25368
18400,3082
6774,25659
3451,25368
26284,26285
5032,11064
26598,2437
26967,3451
27060,340
617,27095
7036,7177
558,3175
15219,185
8295,16524
7037,7036
617,27961
3322,21390
2437,719
340,2245
28587,1698
2659,11347
617,28779
5186,719
3089,29013
3082,427
617,20326
29427,3322
185,29509
5032,719
617,20043
14423,185
293,14330
2304,30568
617,427
1835,17246
617,24046
10953,21390
16391,16390
8928,2659
16524,2075
3322,1386
29509,185
11201,3082
1729,3838
3089,30767
617,19177
3089,15045
3322,5032
1806,1386
2304,6536
32342,558
26600,185
2659,15664
2304,14381
617,15631
3089,22847
617,33067
2659,9329
6263,15664
617,1424
5186,21801
617,33259
3082,24162
3967,572
558,20426
15219,6612
1883,15887
33809,5186
33931,2436
2437,11064
6758,3152
35616,8147
35694,2659
2304,572
2772,3082
8147,5032
2659,16379
2659,19408
617,22748
3089,3670
7176,1699
11064,3321
617,17145
1216,3082
28448,2659
6263,7176
617,37001
16911,32181
340,3082
2659,7036
185,14215
2436,6136
1806,3322
38110,2436
752,1657
186,185
3089,4287
1698,7177
1699,54
617,38557
2436,4267
2436,38110
32159,558
2436,39013
15219,30568
5952,16524
54,2659
24162,3082
15561,1883
3089,572
39530,185
617,15045
2304,24162
7129,185
19249,558
8736,11284
617,39922
1883,1657
5138,3322
617,37035
26967,20537
54,11926
3322,19813
3082,1424
1699,40454
2304,37536
617,12474
5186,13231
8147,35616
16097,8392
55,40988
1699,12761
6136,8147
19813,3322
3082,544
20104,12761
12832,185
5032,21390
719,3322
617,41794
2659,38981
6263,3082
617,42153
617,41117
39967,398
15631,340
617,572
2659,54
38981,2659
21801,4267
30186,3082
5186,2436
29387,340
42961,572
43222,3670
18715,572
617,1978
6758,43518
617,21118
558,14590
558,2498
1386,17077
12790,185
617,26231
558,20321
2436,44199
24271,3082
617,32750
2437,8147
617,44276
2659,44392
44627,558
617,44671
21093,21390
558,15917
37352,2659
3089,10418
3321,11064
617,21903
55,37030
7037,41796
3089,13000
15219,1424
