hotelincity_1,hotelincity_2
289,133
527,528
1182,74
2197,2198
2513,2514
2650,299
3863,751
4338,1020
4860,4861
5229,1916
5371,5372
6499,751
6559,565
6655,565
8224,1454
8257,565
11186,11187
11504,11505
8817,11742
12003,751
11321,731
12426,10244
12493,250
12635,565
12972,2662
13220,133
13342,6422
13426,751
13808,5896
14310,299
14545,2662
14737,235
14913,14914
15534,299
15668,4723
15856,731
16177,565
16711,565
17431,528
17836,751
17954,815
18764,299
19130,13981
19641,1399
20128,4007
20191,751
21089,5896
21255,565
21693,2113
21723,3930
22339,4723
22874,5790
23029,815
23493,1916
23549,1454
23872,235
24154,528
24202,74
24780,24781
24981,133
25301,3563
25347,751
25579,565
26003,751
26081,1454
17299,4060
26722,751
22481,3742
27197,2514
27202,133
27213,299
27220,751
28450,751
29462,751
30413,6386
19952,299
30983,235
31098,133
31163,2514
29862,751
31501,5790
31531,1593
15238,15237
31754,751
31805,4861
32301,751
32317,2514
33056,565
6995,6994
33706,15526
34637,565
35347,299
35716,751
36047,3563
36068,7480
36418,133
13447,8592
36804,3518
37376,5790
37690,815
37712,1916
37896,565
34326,611
38133,299
38614,237
38916,2740
38992,5896
39638,114
29838,1399
39717,1399
37087,815
39873,731
41034,133
41167,7579
41331,1454
41574,6379
42078,528
33820,565
42394,7939
42409,235
11858,133
28072,13394
42879,40872
43067,6386
43209,565
43394,1377
43562,565
43621,3222
43718,133
43725,4861
43766,1399
43620,3563
41793,565
44376,133
44575,235
20930,1454
44800,8614
45346,4053
33275,751
45520,565
45756,751
45902,1134
46613,3930
16956,528
46873,299
47034,7220
26042,565
47219,751
13213,133
47466,565
48052,3992
48138,6379
48195,8990
35683,10231
17245,235
48460,479
43223,4723
36606,4723
48868,250
49036,6422
21855,299
49238,751
49367,299
49416,18571
46301,7579
49800,1454
50274,40864
50321,9500
50525,751
9914,5121
50867,565
50870,751
50888,565
50953,133
51066,731
9727,2514
51408,4708
51485,565
51500,751
47150,183
52307,4723
52454,5228
52468,751
21591,528
52947,299
53016,10503
53143,133
53355,20748
30171,183
53591,15246
53852,6386
19841,133
54049,4723
39752,250
54069,751
54418,751
29663,751
55235,114
55540,4708
55771,751
56088,17735
29171,10503
56383,751
56461,56462
56468,6386
56516,40872
9022,9021
4008,4007
56788,41407
56836,235
1195,235
23965,10503
40593,3992
57039,751
44141,565
51302,731
40873,40872
57578,133
52218,6422
53704,751
36034,250
58367,528
39524,13568
58437,133
4084,751
51159,36778
14073,731
59465,114
59442,565
56517,183
53723,9500
59798,565
9548,4723
58597,4236
56986,565
950,133
49884,299
51372,8990
60080,3992
22609,3930
60257,133
60272,565
60390,565
8279,944
45749,751
40584,1399
46033,133
28164,235
23276,299
61234,4861
24409,751
17428,1454
61805,992
61828,565
50139,3992
61282,2514
62029,1916
62171,815
56387,299
62475,5984
46424,5896
59381,4723
58815,299
62629,299
52048,20748
6451,4723
62864,14914
62905,10503
44921,235
63158,6289
63643,565
48820,565
19785,17604
35722,5896
35865,17089
63903,114
63930,14914
64177,235
41218,17750
64554,2662
64573,4861
57214,751
64791,17089
64400,4723
60137,11225
54018,4236
11792,9500
50947,751
21882,731
46788,299
49544,114
10232,10231
47045,731
22952,565
65603,1454
41246,3992
22155,4236
57687,565
58506,235
27950,80
58311,7921
47510,133
66071,1454
59120,133
62406,235
66338,751
41021,41020
66539,1916
28083,751
66611,751
21330,4861
