airportincity_inv_1,airportincity_inv_2
414,415
1499,1500
1776,1777
1916,1917
1134,2058
2740,2741
8394,8395
8848,8849
8884,8885
10414,10415
479,12486
12580,12581
9480,14530
2514,15505
1454,1455
2760,16000
17253,17254
930,929
5086,17765
6422,18057
528,19972
4708,20163
979,20989
20432,20431
250,22993
14289,23607
24137,24138
133,24232
15646,24747
20703,24891
6386,25363
10784,26142
26741,26742
17232,27005
992,6004
9417,28305
3026,28515
13684,29468
12251,29470
6386,27945
20570,9932
24487,24486
15640,15641
31874,31875
30587,30588
32868,32869
29575,33423
33557,33558
33717,33718
10288,10289
2514,34064
1377,34131
34277,34278
24092,34338
34435,34436
992,35004
22525,35274
250,35661
25183,25182
36078,36079
5984,36172
6386,36378
37661,37662
37971,37972
3090,39445
39732,39733
1668,40208
14347,14346
40385,40386
1421,30851
35987,40546
32877,40948
1593,41864
24714,36435
2740,43306
183,43445
1825,11080
22653,44089
6698,43221
4236,7646
5790,43432
15527,45686
7939,37098
4880,38698
555,46796
22698,46916
8310,33986
6796,16971
1894,30346
944,39348
299,12002
19030,48063
8647,46247
3518,43340
250,48221
35876,35875
9430,48848
10986,37189
7921,33899
12398,31229
299,8949
5121,49546
20970,20969
50109,50110
1454,16622
44515,44514
5228,49086
40837,45521
27533,51955
11170,52095
410,5996
86,52661
6736,52698
556,52929
53294,53295
32556,53511
51632,38385
5228,16213
1876,54789
11664,23919
54952,54953
5896,54990
59,58
12251,12252
12308,55635
34649,49896
8698,56025
1825,25885
10503,32529
57004,57005
14289,25209
57097,57098
29982,57193
7957,53606
2605,14529
3222,58344
7208,43005
14914,32173
250,58555
4561,12593
5896,23361
6379,34094
8047,59101
2740,50429
13394,59274
16370,59357
133,59403
59473,59474
5372,30888
38415,59762
42,42163
731,34595
7393,60450
49680,49679
2631,46099
4499,27434
37643,57444
7452,48277
565,43399
9500,16359
15215,60471
9500,47248
23174,23173
10372,36552
4908,4907
914,62047
3,35586
43992,43991
7480,62569
62604,62605
38372,38371
5127,19985
207,21170
34649,45649
12398,50952
1876,36937
528,36976
528,21813
16490,49247
34498,34499
2307,63751
16337,43441
8614,38012
17744,64057
5459,28396
13310,63103
33869,33868
13983,26341
15646,42539
5228,26699
65095,65096
65104,65105
11225,65329
34679,65352
1646,19930
1668,31597
18164,18163
13464,3249
1816,1815
2155,65823
1753,63752
133,66453
2899,37129
14046,34066
5896,8620
1916,67061
4764,4763
32261,32260
225,224
4499,56616
2514,56134
43572,43571
250,11763
15788,33025
133,35228
6386,51575
7393,7392
9133,17003
17232,38266
10241,10242
479,26242
133,8339
62215,62214
114,46438
17232,37716
3579,53675
21166,21165
299,3721
9365,47396
7906,11904
299,47791
43118,43119
485,70214
52607,52606
37364,40950
28016,70239
28002,41638
18106,25061
5790,9978
7057,39394
10503,12753
60585,60584
70761,70762
52316,70808
20116,43032
3488,14332
207,9715
15067,34246
13582,13581
42753,71443
27195,64012
1465,58587
7579,71739
3880,39953
22663,22662
4723,64969
56956,72184
28299,69626
7001,40149
17604,57837
9462,56529
9012,39303
133,72171
48636,48635
37971,46747
4723,42928
47557,47558
32261,35590
11225,29123
14566,29981
5019,14277
27003,27002
9500,25318
250,51834
2113,13095
18804,61682
1825,65130
73631,73632
751,39640
7072,51219
6938,33061
18579,54140
47474,62939
62100,62099
52150,72554
22428,55266
518,519
6386,39332
27814,37097
20003,66254
3695,45697
9468,58210
19984,55416
25583,50993
65953,73767
80,43334
14914,74369
3930,68258
51640,4551
3695,74439
9480,9481
67158,67157
55375,55374
39316,39315
3222,22519
556,52161
8692,65740
28976,28975
9021,74699
67096,67095
69779,57093
6164,51052
3115,64244
2935,14807
299,25426
1593,56500
16986,40527
19596,63267
40283,40284
13568,57123
7939,38535
2410,49689
15285,15286
7872,19840
1916,12572
20604,52304
65953,65952
6845,71424
7939,57692
29924,29925
4053,66213
10314,10313
34921,34920
2607,23429
70326,70325
20003,32358
10644,10643
17621,66009
15527,74906
9422,26570
4546,34942
11170,57459
5756,74061
6936,73722
27533,27532
38591,70544
1825,32766
73696,73695
35919,5908
16705,57804
30403,41803
14570,71690
15002,55352
15285,49729
4983,60654
8091,71901
731,51380
3518,55384
8047,67024
71402,71401
10503,57183
37382,50412
