visualartistartform_inv_1,visualartistartform_inv_2
1244,1566
1244,1243
5319,5320
1244,5514
6924,6925
7771,7772
1244,7935
73,8410
8425,8426
6924,9103
12977,12978
6924,13301
1244,5001
1244,14726
2148,14781
1244,14907
1244,12560
937,11156
1244,17525
2148,9377
1244,15360
73,19656
2148,20266
73,20377
3583,5320
1244,21311
73,22039
73,9377
1244,22152
73,20266
73,22518
73,4314
1244,22990
23444,21795
7515,23528
3583,21795
1244,23931
73,24389
5319,1566
7515,25145
25274,5320
1244,25554
73,17844
1244,26607
1244,27017
1244,2147
2148,27519
2148,19656
73,27721
1244,27756
73,2326
3583,3582
73,3582
25274,1566
28461,24103
2148,28894
6924,21795
1244,29394
2148,11743
10981,29513
5319,24615
1244,29550
1244,15669
29642,21795
1244,30055
7515,27721
1244,30136
2148,5320
5319,13301
22756,21795
31264,21795
1244,31806
1244,31847
7515,31913
1244,5070
1244,32118
2148,13212
1244,3582
10981,10980
2148,33024
73,33142
1244,24389
7515,25412
4897,17844
1244,34655
1244,34848
1244,24615
1244,35129
1244,35143
73,25835
73,7935
10981,1566
7515,36519
26200,30757
73,22152
73,29513
2148,37319
73,38041
23444,12978
2148,11156
38316,21795
1244,39097
1244,39291
2148,35624
1244,11156
7515,7517
1244,39830
26200,36963
1244,39995
73,31913
2148,7514
1244,40921
26200,41441
1244,1458
1244,24439
937,12978
937,39830
7515,11156
1244,42699
42801,4896
1244,42806
73,72
73,34655
73,1566
2148,8370
4897,43576
26200,5320
2148,27721
1244,9448
1244,38041
7515,29513
1244,44724
73,1190
8425,17581
73,44899
1244,44905
2148,13301
2148,38041
7515,1566
2148,35720
73,47456
73,29405
73,21795
1244,47852
2148,40080
1244,6902
7515,48157
5319,9377
1244,25022
10981,29405
2148,12777
7515,49860
73,23096
2148,47852
5319,11147
1244,45783
26200,50706
7515,23096
3583,23931
73,14781
2148,17844
1244,51567
1244,10082
1244,51690
1244,21372
73,51982
2148,17581
937,9448
1244,27721
5319,21795
2148,16456
2148,11147
73,17864
3583,12978
1244,35343
2148,24103
1244,8370
1244,12978
1244,36825
23444,7772
1244,53741
1244,3247
2148,17864
2148,21795
1244,53908
1244,52244
73,54185
73,54315
1244,54379
5319,48030
2148,14907
22756,1566
7515,20266
2148,1566
7515,5070
1244,55326
7515,35624
7515,54896
2148,29405
1244,55188
6924,13212
73,47583
73,5320
15033,14781
1244,36767
2148,50852
40695,24286
2148,56503
10981,5320
2148,3582
73,1458
56881,56882
1244,50136
73,27645
38316,9448
2148,25412
1244,57221
1244,49344
1244,57490
7515,50759
1244,52342
2148,48030
1244,22518
1244,58201
1244,10980
1244,58310
1244,53112
73,5070
1244,8426
7515,45963
1244,58810
73,10980
10981,27158
1244,59049
1244,59084
37301,21795
5319,12978
1244,59322
4897,14781
2148,10980
7771,12978
59602,7772
1244,11147
1244,53058
1244,19656
7771,21795
7515,60356
11148,11147
1244,60396
1244,45963
7515,25401
1244,60750
10981,40080
1244,33142
937,52244
1244,27519
1244,17864
1244,61166
61229,61230
2148,24615
38316,7772
73,53741
61999,22152
1244,27158
1244,13244
6924,48202
73,15669
7515,24103
1244,43128
1244,11743
3583,13244
6924,36963
937,7517
73,43710
2148,8426
1244,63258
4897,7772
6924,41441
1244,13212
73,13212
1244,46177
1244,63877
937,2237
4897,11147
73,8426
1244,64202
4897,50136
64478,7772
937,24389
1244,72
1244,64910
1244,29513
1244,64986
7515,9103
1244,56371
1244,48157
41847,41846
49763,1566
73,13244
7515,13301
2148,43576
1244,27645
1244,60579
937,11147
1244,3725
1244,24286
7515,12978
73,17363
1244,66315
73,45963
25274,43576
1244,42216
1244,23096
7515,28332
2148,45963
10981,21795
937,21795
7515,17581
7515,14781
1244,43743
26200,48202
1244,54185
37832,1566
2148,13244
1244,62069
1244,66302
1244,17581
1244,29405
1244,62071
25274,17844
1244,67462
2148,58583
7515,63763
73,11743
2148,31913
2148,5070
73,13127
1244,66488
3583,5581
1244,37319
7515,40080
7515,17844
1244,64659
1244,33024
3583,14781
1244,32994
25274,23096
73,35624
73,63880
1244,31065
3583,24103
73,27158
2148,6001
7515,3582
73,49344
26200,63763
4897,4896
1244,40080
73,28332
1244,69165
26200,9103
2148,44899
73,60579
26200,28332
7515,59995
1244,55010
25274,12978
1244,25145
10981,7772
26200,13212
38761,1566
2148,6621
25274,52244
73,7517
73,59671
4897,5320
7515,34058
1244,26148
46819,21795
16910,70168
7515,33024
1244,59454
7515,45382
1244,47583
2148,12978
1244,68671
73,50759
73,12777
1244,35624
7515,41821
1244,7772
73,17581
2148,68671
1244,54315
2148,22039
26200,13301
2148,15669
73,43576
7515,47813
2148,28332
1244,19180
3583,31913
10981,41821
1244,4314
2148,68549
3583,1566
3583,24615
3583,45963
7515,54315
1244,71926
1244,34058
1244,23784
7515,48111
1244,72094
2148,29394
1244,69026
1244,43576
73,61783
73,36825
7515,3725
73,33024
1244,48111
3583,17844
73,17907
7515,24389
5319,30136
38316,17844
7515,13212
46819,12978
4897,55010
1244,72878
937,936
6924,14781
1244,41572
1244,56073
1244,28332
1244,21795
1244,9377
2148,27158
7515,12560
937,17844
73,32994
7515,27017
3583,22152
1244,73433
1244,8410
2148,44724
3583,25412
7515,52244
7515,21795
2148,45382
1244,37111
937,12777
1244,31913
7515,22152
2148,42216
7515,28894
73901,24615
16910,41846
1244,25412
6924,13244
937,5320
73,25412
1244,17363
1244,14781
1244,62912
2148,2326
5319,13244
2148,41821
1244,63085
1244,12777
7515,50706
937,7772
73,48111
1244,64044
1244,31724
1244,57745
73,2147
7515,48202
1244,44899
25274,21795
1244,20266
1244,70009
26200,14781
7515,44899
1244,67054
3583,7772
73,11156
73,34058
7515,24615
1244,58583
1244,72122
73,7514
73901,48030
2148,7772
73,16456
1244,17844
4897,21795
2148,34058
7515,58583
3583,11156
1244,1190
1244,48030
2148,3725
1244,45382
73,28894
1244,16456
1244,57580
5319,29405
3583,26148
8425,15669
2148,2147
7515,13244
1244,25401
1244,20377
1244,13127
1244,41821
2148,62069
1244,2326
1244,5320
7515,7514
2148,66302
1244,61372
1244,59671
73,7772
73,24286
2148,22152
73,11147
7515,41572
1244,22039
2148,75367
1244,74843
73,51690
1244,63346
4897,45382
73,68671
73,47852
1244,7517
1244,50759
1244,6001
26200,21795
1244,41441
1244,63370
1244,74948
71296,21795
2148,29513
5319,47267
28461,12978
38316,43576
937,25412
4897,13212
4897,13301
1244,74874
75359,12978
1244,71961
937,10980
7515,5320
1244,7514
1244,4896
10981,12978
73,45382
1244,28894
