athletebeatathlete_1,athletebeatathlete_2
141,142
862,863
10568,8186
13020,862
14209,14210
4144,14210
14613,862
3358,15176
8186,16458
18441,4930
141,4930
24670,21918
3358,24812
1603,16919
3358,142
27275,27276
1603,28221
21918,24670
863,862
28221,1603
31865,142
8187,16458
32615,5772
32679,10640
30198,19255
27275,36044
10568,142
3358,36350
27276,16327
38512,36044
38741,5772
17120,16819
21918,4930
24670,40375
40274,3358
4144,4143
20683,4144
26797,16327
31841,1603
28221,33301
41640,16998
36044,27275
28221,47803
24467,15034
40375,4930
32615,38741
8186,142
862,13020
31841,38078
24812,4930
16327,38741
4144,4930
30198,1581
28221,55954
4145,13816
24812,3358
28221,56847
37045,57114
13554,24670
862,14613
26343,1603
16327,27275
24670,8187
4144,20683
38078,40274
21918,40375
8187,13554
55954,56847
40375,21918
16458,19154
14210,4930
31865,4930
8187,4930
31841,28221
8187,142
28221,27275
21918,45657
37045,37355
21918,21917
142,4930
24670,21917
17120,18737
3358,40274
16327,27276
38741,16327
40274,28221
40356,142
44530,16458
8186,13554
19255,1581
28221,3358
10568,13554
862,4930
21917,142
1603,4930
10568,4930
28221,40274
21918,57657
21917,24670
8186,4930
21918,13554
21038,1554
13816,7069
45657,4930
31841,33301
24670,13554
24670,31865
4143,20683
10568,21917
19154,4930
40375,72579
3358,31841
8187,8186
20683,4930
3358,4930
19154,13554
28221,27276
9894,28275
16458,4930
28221,75080
24670,142
16458,13554
14210,20683
10568,8187
16458,8186
49047,49046
3358,1603
