conceptprerequisiteof_inv_1,conceptprerequisiteof_inv_2
1639,1640
2450,2451
2622,2623
1639,2451
5202,5203
5275,5276
6038,6039
6049,2622
7213,7214
7372,7373
9096,9097
6697,9941
10554,7606
11413,11414
12110,12111
12487,2622
6038,7748
4250,13375
13586,13587
14009,14010
14774,12289
15420,15421
15855,11414
16242,16243
16453,13375
6807,5203
17963,12659
19405,19406
19423,12111
19091,19784
4251,13375
21550,6697
21950,9097
11413,23384
23804,23805
24240,7605
25092,13375
23581,25589
26064,26065
14009,19337
26626,26627
26663,7214
7606,26668
5202,26788
27298,7605
19423,27385
19944,19943
6049,27798
14774,9097
4250,12111
28898,15479
6038,29732
30223,19943
19090,6039
27298,12110
31192,31193
30223,31731
31878,31879
29374,2622
33598,33599
6697,33699
34043,19405
34100,31890
18867,18866
17759,34569
15420,34896
35044,35045
9941,5203
31891,31890
2623,27385
26663,35690
35964,24476
36360,13586
36406,36407
12659,6039
30279,12111
7606,27298
37738,27798
37851,31193
33203,37977
6697,38793
26627,27298
6808,6807
26751,31731
7606,7605
29375,40253
25830,5203
29374,33599
22337,29732
17963,42188
65,7606
14003,6038
13911,43291
29374,7372
43757,7214
25831,25830
8545,27385
27298,5011
44891,33202
15478,6808
33674,45565
19405,33202
45770,23805
45884,12487
29374,12520
19405,30223
46025,35690
17963,11414
19405,6696
46949,9097
43757,19090
34016,27385
7372,47929
26751,9941
24475,35383
19090,36639
65,64
49204,13750
21550,12289
49433,49434
34569,9941
37654,49901
11413,33599
25831,9097
19091,50304
26708,33202
8545,5011
50765,21516
38898,21516
36405,41211
38793,51355
5202,51397
21087,6039
22337,2451
19476,19943
5275,12840
51984,27385
34569,24475
45981,2622
2622,13375
9893,9892
33203,12110
14010,35383
51984,12111
26064,5203
12290,12289
8545,2623
19091,10554
53405,53406
33598,38934
19405,51397
55088,21087
9096,15157
23804,42188
43757,7606
32474,55950
31878,19943
5012,5011
18867,44891
14003,6049
2450,12111
6808,33202
36405,2451
40521,6039
12659,24475
42188,53406
1639,12111
36360,34355
18339,41211
40521,9097
21087,9097
40522,12487
25831,60126
36405,12111
23804,19898
22337,4251
21950,15438
18867,60517
47789,9097
43757,2622
15855,34569
36167,24475
18339,12111
13586,27367
15479,15478
51583,6696
36406,41211
17069,6039
6038,9097
45770,61992
15439,15438
36935,12110
24240,31731
22337,4250
7372,40238
46723,34355
15420,15438
34569,27385
5012,63143
4250,41211
31879,51397
7774,51355
13375,2623
59017,62179
2450,63915
6697,35045
7606,2623
4250,9097
64830,36975
12659,9097
31879,64843
14010,2623
6808,65111
28898,36639
12110,41211
34043,34355
1639,63915
19091,19090
12520,36935
25830,31193
31192,65111
29375,12520
45770,7606
14010,34569
8545,6807
15478,33202
9096,51355
66806,8965
55950,44275
45884,33599
25831,6808
29375,29374
38793,35045
53405,24476
67343,12111
6807,46681
24240,9941
17069,9892
24650,55175
19944,59017
37654,6039
15855,14010
13911,13910
36360,27367
24476,35383
45030,45029
2622,38898
18866,60517
61992,68787
64,7606
68787,27298
59358,27298
6807,33202
12487,40238
38793,24240
13749,34355
59017,33699
10018,27298
38962,26708
7606,13375
30223,31879
15479,38793
15420,6039
7774,7773
7213,35690
15420,9097
19944,53081
27298,2451
36167,27298
70440,53406
24476,24475
30223,6696
61992,53406
38962,49434
45884,6049
40522,40521
21950,6039
9893,50765
24475,27385
4251,41211
17069,29732
71154,66806
5012,6807
2622,51984
34569,13375
9893,36406
38793,6696
24475,38898
36935,36934
2451,12111
15479,51355
6038,11414
25092,55175
26627,44275
23581,9892
45329,13586
22337,12111
2622,12111
17759,24650
34569,66423
46949,2450
61410,12893
19476,7605
14003,11414
10554,34896
13375,27385
17759,55175
24608,24607
10018,6039
45884,50304
15439,19898
12520,2623
24240,26065
19423,50765
38962,66789
13911,15478
24608,33202
71711,33699
30279,55175
10554,2622
6808,5203
14774,34355
17963,6039
46949,9941
21087,21086
18339,18338
26751,7605
29375,73553
17759,13375
18867,5012
12290,44275
13586,71211
37654,6808
64,13375
34100,42485
34569,35383
53405,24475
19091,47789
62209,31193
8966,9892
38962,27385
45981,12111
59358,13375
12894,12893
24650,13375
47789,27798
64,31517
61410,26626
33674,18338
26751,51355
59358,6039
44891,6807
6049,19898
13375,21516
44891,9941
19090,7606
26626,10554
66806,9892
4251,4250
36975,9097
12520,7214
7773,73059
55088,12487
64,2623
51583,26708
34016,13375
13750,13749
26708,6807
36405,66848
30223,64843
9893,54575
9096,26668
33203,33202
64843,31193
38793,7605
46723,34043
46025,15421
6697,6696
19090,9097
40521,13749
10018,9097
16453,12111
37654,7214
6697,30223
24608,49434
12110,2623
12894,6049
36406,66848
10554,50304
15478,9097
9096,19406
45981,68749
27298,26668
24240,41854
75444,53406
18866,33202
2451,27385
34100,9097
2623,49434
51984,7373
46723,9892
32474,32473
46949,6039
8966,8965
