parentofperson_inv_1,parentofperson_inv_2
123,124
367,368
2968,1995
4696,4697
4981,4982
5405,6469
2017,2016
11451,11452
1995,13093
1122,13304
1122,13929
14386,14387
15194,15195
15662,4922
15690,15691
1858,15971
16150,16151
17331,17332
1122,13152
18007,18008
18231,18232
5559,18484
5405,5404
14673,266
11487,11488
1122,16473
6590,18231
19776,2308
9870,1995
4922,20518
22816,10929
23209,23210
1122,6590
23895,23896
2636,6013
1122,6469
2968,123
17235,17234
25162,8546
26756,26757
2968,19917
28798,28799
5405,10844
20795,30504
25532,25531
31183,7456
32585,32586
13697,13696
32961,32962
5405,33123
33137,33138
1122,33311
1995,2308
34680,34681
1122,35251
26757,35429
2968,20518
5405,35475
21964,21963
35526,7456
123,1995
10086,13093
30772,30773
3658,123
32681,32682
10905,37739
38545,38546
32892,38595
33138,33137
1122,33123
5405,2016
1122,39168
2968,39357
39168,2360
5405,13929
12264,40029
1122,10844
40475,40476
40631,40632
12657,12656
39168,28269
13093,19329
12656,12657
30992,17810
9870,2360
7932,7931
17810,5558
453,39286
1122,2016
13093,24982
1122,20518
39181,39180
22816,13093
10086,10085
13093,13929
3658,48300
48508,48509
44949,44950
22816,49512
17589,7867
1122,13923
25246,18231
23210,23209
45072,51028
2308,2360
31183,6013
30904,17234
8734,51528
3658,2308
5405,45823
3658,13093
48407,48408
5405,2636
37739,10905
32962,32961
13093,48300
53148,53149
1122,2308
28124,124
53635,15859
6591,20518
34035,19329
26329,54322
54689,54690
41859,41858
13093,1995
55747,55748
18007,52779
56833,56834
1122,57463
19329,1995
6014,2308
8254,29244
2017,2360
5405,49883
44314,44313
27670,5886
46767,1652
18231,4922
13696,13697
40855,59043
39168,2016
38050,38049
640,16149
32103,32104
1122,56979
1122,60795
14870,14869
15691,15690
8382,8381
61248,61249
56649,47706
5405,48300
61621,61622
2308,1995
13093,20518
58671,58670
2968,2636
2968,34395
12780,12779
32104,32103
36742,7456
63207,36491
19776,20518
5405,13304
28799,28798
8576,37490
1122,28124
8254,29243
64409,64410
54632,33735
28124,1995
54854,54855
20567,20568
65524,65525
2308,18231
3209,30992
27015,2308
6014,7456
2968,10844
18008,18007
32464,32465
66225,54833
11499,11498
60795,2360
4697,4696
10929,15971
61332,61333
22816,67108
1122,40578
50062,50063
1122,67293
35526,14869
61333,61332
12780,25775
40476,40475
32911,32912
1122,2636
46306,14869
47706,56649
37490,63606
33762,56317
50063,50062
1122,57581
2017,1995
12264,12265
8381,8382
1122,46493
33735,54632
2924,16302
1122,70085
29135,29134
4922,31091
33735,33734
18231,25246
67688,67689
2633,2634
46707,46706
13932,13933
1122,71187
1122,31440
32586,32585
54690,54689
4212,4211
69814,69813
13093,2016
1122,2360
23896,23895
1122,45823
56834,59464
60689,60690
2968,5404
38595,32892
16348,16349
2924,72177
25531,25532
5405,10929
55748,55747
5405,34395
11597,18231
55826,55827
15971,1858
39794,39793
2968,19329
1509,67525
46767,4922
38049,38050
56567,56566
69813,69814
61622,61621
22986,2360
60690,60689
13093,35475
1652,4922
6014,2636
1122,19329
1122,48300
35336,7456
68282,40273
33762,33761
5405,19917
8546,25162
15195,15194
5405,20518
1995,2360
16302,2924
18752,7931
1858,45264
2888,266
1234,1995
1122,62601
5886,27670
20568,20567
14631,4044
22816,1995
1652,31091
16148,16149
13093,5404
1122,187
2308,124
1122,34395
1122,35475
25504,15
19776,1995
62059,62060
5405,31554
11488,11487
1122,68620
2924,41469
640,3208
36742,6013
17332,17331
30773,30772
19329,48300
14631,2360
6014,6013
55926,55925
18007,44604
59043,40855
5308,33662
56566,56567
65525,65524
25504,27710
2968,33123
1122,18082
68634,68633
37604,8546
42167,47152
51962,51961
46306,7456
1122,31732
44950,44949
48509,48508
43286,43285
2634,2633
5405,28232
22816,4922
41858,41859
1122,75095
1122,1121
41973,26954
1122,18507
32465,32464
53149,53148
30992,4922
11597,13093
51437,51438
32733,13329
51391,48690
11452,11451
25081,25080
63817,47619
34035,123
16349,16348
13093,62601
1122,63315
13093,33123
35770,35769
24013,24014
1122,123
1122,61972
2968,6469
18484,25921
19776,123
54855,54854
22816,31554
21526,21525
