specializationof_inv_1,specializationof_inv_2
108,2122
3562,1456
4321,4322
5422,3730
386,3290
6961,6962
726,7198
8352,8353
824,7696
3111,5797
8731,8732
9258,721
9744,9745
982,11292
784,1997
217,789
10432,2122
15548,8772
824,15970
8844,4698
784,18155
2454,4698
18789,18790
824,19107
16429,16428
15483,19196
19387,8721
726,19495
19575,283
20337,18790
19575,21852
11180,22162
22757,1456
23059,13768
5176,11815
23218,1456
824,7795
108,216
26119,2122
726,26423
108,11629
28786,2122
784,5291
824,28073
30742,30743
4275,2122
25133,31749
824,28566
7988,27072
824,7962
33945,4698
27,34167
363,34607
3477,721
36457,3692
4709,2122
36738,1456
108,4275
6961,7131
824,4709
38053,721
824,10959
6961,38871
363,39916
39981,39982
19066,2122
789,824
9223,2122
30241,2122
23007,18790
40141,721
1759,4016
6701,2122
3111,1758
2399,32664
1066,3730
824,6746
824,11629
1111,11815
2825,8181
824,145
824,8548
3730,1066
8353,8352
16429,45647
824,4865
5570,2122
11669,2122
18390,721
4698,18790
824,1067
3479,26816
25133,48260
982,8871
35247,1456
16644,7077
824,9079
2882,7768
386,2328
726,12042
3679,1456
108,15236
16429,49853
824,4275
30442,4698
51020,3730
2825,9779
824,41183
5176,2328
51499,1456
871,22767
363,30941
8181,2825
2825,18403
824,6216
5247,9477
217,7077
36128,9744
10374,2122
824,27579
286,53238
53274,2122
824,11748
1836,30820
33111,1456
54325,54326
2399,19431
386,1067
39694,2122
334,52983
824,56802
784,7077
2587,33111
21959,41893
108,11815
3111,14227
1468,10430
22767,871
726,40018
824,15236
40018,12042
363,45122
23007,23006
30545,1456
824,34625
3111,4865
6387,2122
824,23571
7962,2122
958,6190
784,32626
8501,2122
386,283
4699,4698
824,3730
2998,23693
363,47501
39698,63078
50078,59036
11629,2122
15548,28561
4718,4719
1759,605
9470,56526
284,6216
784,14251
7768,2122
824,1616
6216,2122
824,50033
824,28584
1836,34169
23007,20337
39698,39697
40018,1457
39453,1456
3111,1927
11457,13925
65879,3346
19575,30121
784,783
824,15900
27,7783
25084,2122
3730,22767
39698,60110
16644,5485
10959,2122
68748,1456
68969,1456
4544,1456
2825,11815
62750,1456
12831,2122
108,107
824,48975
824,62545
10265,2122
59583,45647
824,6492
1579,2122
17584,2122
32977,2122
27,16755
784,8871
9164,37987
39698,68061
2825,19185
16146,15166
824,17975
23007,57007
4613,11907
726,28020
2863,1456
23007,8844
23003,8732
7759,1456
33774,721
38074,26816
4471,8352
22529,27911
27,16070
19575,107
726,24931
26817,26816
2399,784
47577,2815
363,72731
19575,7768
67016,2122
19575,27072
10560,2122
108,13925
1457,1456
1057,1456
24931,1456
824,14227
284,4275
8298,15483
363,24950
15548,65853
386,11815
872,789
42114,4698
824,1758
108,50926
3730,1610
73966,15624
824,7148
48102,4698
108,605
824,6486
3486,2122
286,9374
10430,1468
14943,13925
2825,17091
3730,2122
15548,72154
286,68902
386,1111
36355,3730
1216,14371
726,10038
958,52913
74647,1456
28137,3346
54173,2122
26423,726
74704,4698
25979,2122
871,1336
14943,2122
3385,721
11951,871
40717,2122
20337,4698
37198,37197
108,44936
824,32036
4545,4544
363,64354
2365,6785
62642,62641
25906,44614
2825,38842
36001,1456
363,57743
18621,75340
39698,71640
75285,4698
67935,1456
21081,9477
37181,3346
58164,4698
72314,15126
73976,1456
11457,2122
12717,3363
25133,75253
2882,283
