mountaininstate_inv_1,mountaininstate_inv_2
270,271
2799,2800
3163,3164
3262,3263
2079,12380
3262,13306
3738,13742
1844,14644
844,14950
2366,17140
2417,21145
459,21461
1724,24760
2417,26676
4089,28340
3738,33103
1724,34708
1724,24305
27991,32459
3738,36613
3805,38406
459,38783
844,38846
38872,38873
3163,41466
1016,41651
1953,41984
3163,45143
4089,17456
46227,46228
243,46994
1868,47918
35231,48553
2079,49536
8672,46803
321,51073
321,53034
3738,54388
27991,54585
2417,56264
27991,30652
5802,56791
1724,57603
3055,58128
1374,58237
1724,58683
1953,58996
3805,52553
844,60497
321,61919
4299,62141
1868,62335
904,29083
844,60336
1092,53227
4047,25948
3538,56229
321,61864
3805,65858
2079,66150
866,66642
904,45627
1627,42118
3805,28008
270,62246
270,68015
819,46758
321,68335
17,68688
68827,68828
2079,21336
3805,28933
344,57356
3262,69672
3805,69865
344,50705
844,45753
2625,24084
270,70604
8272,48741
4047,53897
2424,60620
8162,71407
321,71497
2079,71140
866,71877
4047,53100
459,49773
1844,70022
8672,20972
3738,8700
3163,62740
6288,73325
3805,69992
6288,48882
3538,67817
8272,8271
3055,74198
3805,50665
243,27410
819,72063
4047,5906
1724,64858
8272,65778
2079,42728
844,70216
3738,75071
38872,72512
1270,41354
7905,75221
717,37425
9355,37843
3055,43523
2079,21094
3538,60545
243,27137
