agriculturalproductcontainchem_1,agriculturalproductcontainchem_2
260,261
1521,1522
2374,109
6239,6240
7634,969
4407,9033
4407,4796
7121,12208
12622,3541
12682,969
14041,9033
5089,5088
7126,16963
4407,17795
3620,4669
15795,261
4407,721
5467,14980
7927,17795
244,1522
4407,21780
3620,8844
4407,22220
7634,22354
3620,1522
2885,12208
4407,1332
7927,27321
4128,3541
6354,6832
3620,20609
922,109
7121,3541
8205,1522
4407,3541
4407,33151
11383,4412
7634,12208
970,969
244,3541
16077,6832
1664,4412
2374,1522
7927,7926
24644,1522
3620,969
4407,10709
21603,35977
3433,1522
1956,1522
6290,969
7121,8844
4407,43831
7634,3541
4407,33504
3620,45668
4407,45811
7727,25258
7927,27441
15795,46884
4407,35977
17187,9033
15795,6832
7927,20151
14502,9033
7927,11008
4407,50342
5467,109
445,7926
14987,12208
51887,12208
4407,31728
41811,969
3339,40676
9783,4796
26911,9033
3620,12208
39389,12208
15795,109
3620,16849
24644,9033
260,1522
26350,6832
244,9033
56783,969
37114,969
7927,1522
2375,39948
9219,16963
3620,9033
7306,1522
17187,969
4407,1522
7927,31708
4407,4406
3620,27623
28534,969
7124,9033
4407,16001
6337,9033
6354,1522
7634,9033
7927,39948
3620,62363
47863,6832
6078,9033
14987,9033
7927,18745
3564,9033
7634,8844
260,6832
3349,31728
11635,4412
9211,109
58950,9033
4407,6832
244,969
13546,109
5502,721
9783,50342
3620,721
7727,1522
8205,50342
3303,25258
7121,68246
8205,109
14987,1332
14834,6832
45127,9033
4128,69096
4407,110
65086,1522
3620,16001
1956,110
7306,39948
4407,261
3620,21780
3433,9033
13799,31728
244,12208
1956,20151
5467,261
1664,969
5089,6832
4407,18745
63872,12208
37114,12208
57203,969
7927,4412
12847,12208
4407,22354
4407,12208
42197,109
7927,969
7601,969
14987,16001
4407,40129
3433,969
1353,6832
3433,39948
7927,29875
70875,969
3620,110
4407,58192
24644,12208
1956,16001
1146,31728
73626,969
7927,9033
4407,109
17187,12208
3620,3541
17598,969
3620,11008
5467,1522
33064,1522
244,721
8205,6832
7602,12208
3620,74575
4128,969
33064,6832
36654,6240
5467,6832
17187,1522
1664,1522
14987,35977
12847,969
41353,6832
56900,969
28684,39948
7634,62363
15795,1522
3620,22354
5467,50342
244,11008
3243,1522
4407,20151
6337,6832
4407,4035
41439,35977
3620,4406
3339,16963
4128,12208
12622,12208
37114,9033
