coachesinleague_1,coachesinleague_2
523,342
5569,257
5280,257
10003,342
11944,257
3818,257
20988,604
10458,257
3618,342
10776,22398
22717,1001
26202,26203
18730,15197
27984,1001
32389,342
35832,257
38868,26203
39164,257
20549,257
30328,257
28787,26203
7336,257
46145,342
46825,1001
37959,257
20701,1001
25427,257
48276,604
49563,1001
23559,1001
23865,604
41179,604
6484,604
33027,26203
38909,342
56917,604
56993,26203
10083,257
5545,342
58446,604
15198,15197
34641,342
17190,342
8412,342
10941,342
10212,1001
6440,257
62286,257
5926,342
4014,604
11827,257
14745,342
10710,1001
65294,26203
45147,1001
37451,26203
37195,257
48066,26203
15030,257
38785,257
23342,257
1318,257
32326,257
8159,257
50076,342
50550,1001
39580,342
953,604
4571,257
26166,257
35854,257
26275,257
32921,1001
60697,342
19297,342
21065,257
53857,257
57482,342
69025,1001
20627,342
4377,604
7533,257
40405,342
13219,26203
40193,604
15957,342
39449,1001
15892,257
7805,257
8273,257
45876,342
31967,257
774,257
5016,257
33956,342
53583,15197
4152,257
3463,257
25816,342
10452,257
19146,22398
75092,604
23266,257
