personalsoknownas_inv_1,personalsoknownas_inv_2
2944,2945
3963,3964
6907,1103
8384,8385
5850,8420
8832,3964
9903,9904
5840,7298
5758,5757
13651,2945
5840,5857
7299,7298
5092,5840
7299,5840
8507,7299
12174,17345
17748,17749
19027,19028
1750,1749
5092,8507
17748,19028
2945,13651
12175,12174
27193,27194
5857,5092
20644,5857
29021,29022
20610,17749
5839,8467
30454,5092
2945,15320
21651,16696
27193,13816
31766,31767
17345,12175
32633,13816
32855,32856
32858,32859
33045,33046
2944,25076
2945,24876
8832,8420
8420,8832
36514,18253
17749,19027
33029,1720
38403,38404
25294,15320
8467,5092
17194,17193
1750,31519
37752,31766
6667,41568
41610,41611
31766,37752
25294,42844
1720,33029
13651,2944
13651,25076
13651,24876
40912,40911
7298,5857
30454,7298
16696,21651
5857,7298
8420,3964
31767,37752
5839,5092
47979,32856
5849,8420
5857,8467
8467,8507
8507,7298
17749,19028
48874,32646
19028,17749
5850,5849
50424,50425
50714,50715
2944,13651
8832,3963
2944,2552
20050,20049
49524,35026
52211,39940
32315,32314
25076,2944
42362,42361
23020,53601
10914,10915
43181,10915
5857,14804
19027,27546
12175,39940
14804,5857
8467,30454
4410,4409
8467,7299
39940,12174
36490,36489
7298,8507
39940,12175
10914,43181
12174,12175
5092,7299
8467,5857
36160,36161
59753,18978
50439,41611
19028,17748
2552,2944
25294,13651
12174,39940
5839,8507
14804,7299
20644,14804
24876,2945
19028,19027
2945,25076
8507,8467
19027,17749
17749,17748
20644,7299
5840,7299
8507,5840
29028,29029
24876,13651
6260,59126
7299,8507
64175,64176
7299,5092
13816,27193
17748,19027
11644,40174
30607,33029
5857,8507
43181,10914
5092,8467
3963,8832
8420,5850
5840,8507
25076,13651
8420,5849
3964,5850
36161,36160
5840,5092
5092,5839
17749,20610
25294,25293
12175,17345
20644,7298
7298,20644
68893,36489
31767,31766
24876,2552
7298,5092
5840,8467
32633,27193
15340,52967
5092,7298
13651,2552
8507,5857
3964,8832
13816,32633
7298,8467
8467,5839
70765,70766
2944,24876
5850,8832
71330,71331
2552,25076
5857,7299
71469,71470
41568,6667
27546,19027
17748,27546
5092,30454
38404,38403
19027,17748
25294,2945
8385,8384
5599,54344
14804,20644
8507,30454
30454,8467
7299,14804
2945,2944
10915,43181
69832,25076
7299,8467
8507,5092
40174,11644
28971,28972
15320,13651
8467,5840
50384,48751
7298,30454
30454,8507
40223,40222
37752,31767
5839,5840
5840,5839
7299,20644
39940,52211
25076,2552
20610,8813
5840,30454
71161,71160
3964,3963
59126,6260
8832,5850
8507,5839
28972,28971
5857,5840
29029,29028
30454,5840
8467,7298
52211,12174
25076,2945
15320,2945
74079,50750
68556,33573
3964,8420
7299,5857
15476,15475
5092,5857
7298,5840
15889,15888
24876,2944
35026,49524
7298,7299
25076,24876
35568,35567
24876,25076
33029,30607
53440,53439
5850,3964
27546,17748
2552,24876
5857,20644
5849,5850
10915,10914
60340,60339
8813,20610
73878,32645
