animalsuchasinsect_1,animalsuchasinsect_2
26,27
886,996
2882,886
386,2916
27,3696
4178,27
386,4829
27,6498
27,5612
27,6864
7052,1159
108,27
9101,27
886,885
27,9967
386,10949
10425,386
6127,6128
27,10134
12877,959
2998,27
5663,386
6127,386
27,9229
386,6273
1159,386
1159,1160
1111,5970
16019,386
108,9229
1029,27
2766,27
27,5565
959,6127
959,1159
12877,996
108,4829
2399,19616
784,3696
8298,386
3290,386
1160,9229
837,386
22044,27
5612,5613
2916,2766
6750,27
982,27
1160,8298
108,3696
27,995
837,27
386,23004
25711,27
6759,386
996,20624
386,885
27,25711
27,9041
9229,27
12877,27386
15483,2774
27,837
885,886
996,1159
16060,386
27,22044
1160,2774
885,27
21291,27
386,16070
27,29492
11025,27
27,26256
1029,6750
837,886
3681,959
6498,386
33263,27
3696,16755
8612,27
2328,5738
386,27
996,27
27,14798
386,1793
386,36923
6273,996
12501,996
386,14798
6216,1029
2882,2766
2461,1159
386,11325
30562,27
996,12501
108,1159
1976,27
959,10949
27,18653
386,886
386,5318
996,886
6750,386
386,6864
14798,27
2916,5290
386,14385
20899,27
784,996
386,995
386,2922
1111,386
6273,27
995,386
958,959
38356,386
38356,5738
996,6750
9350,27
2999,886
1976,996
959,10013
5290,27
7739,386
386,8298
27,20899
386,23598
1159,996
32176,27
39549,386
27,3120
13077,386
2882,959
3696,27
2922,959
27,7669
32490,386
12877,27
959,2998
886,6127
20723,27
27,2998
996,2916
6463,27
14385,27
27,2766
2999,27
386,1159
27,2461
886,6273
996,837
886,27
386,2462
27,387
16070,386
2999,6127
1159,2461
386,48812
386,6391
2882,6127
27,7153
10425,27
386,12501
11325,386
27,8612
1029,1300
30660,27
27,6127
27,20723
7153,27
27,994
12361,27
27,20624
16755,3696
20624,27
1029,5290
5176,27
386,8612
27,6750
23004,27
27,20704
959,886
7923,959
2774,27
27,51638
2774,996
996,9229
7153,386
27,17940
27,23598
959,995
1067,386
2916,20899
996,2462
27,21291
27,10949
23693,2998
996,8298
26,10949
108,3120
386,16019
2088,10013
10134,27
27,6391
784,6127
27,30562
1160,1159
23598,27
27,32490
2462,2461
5613,5612
5486,27
1793,386
9041,386
7195,959
12263,5291
886,386
14385,386
6498,27
996,6498
386,2774
27,2462
4829,27
27,1159
996,2774
387,386
108,1300
1976,2916
50224,959
1111,27
27,1300
2882,27
386,6127
6498,996
20704,27
1977,6750
27,886
386,7153
10134,885
1793,27
784,959
6750,1029
108,2774
12501,27
16755,27
1976,386
2916,20624
886,8298
386,16060
108,2998
27,1793
2882,3696
2922,386
27,11025
1976,1029
31527,5290
5291,959
6864,386
2462,996
27,5318
994,27
1977,4829
2399,1029
8298,1160
386,5663
2916,6750
1977,6127
3696,386
959,5290
958,1160
108,6127
784,837
386,3120
958,386
2328,386
14532,5738
996,6273
51638,386
2882,6750
27,9101
784,886
5565,27
784,4829
27,23004
26,3696
784,15870
27,6273
27,8737
27,2922
108,886
1300,27
1159,27
108,5290
959,27
27,1160
108,6864
784,5970
2999,2998
27,11325
386,1933
27,959
12501,386
27,3290
784,27
386,837
108,996
18644,27
1300,386
19577,27
2461,996
6970,959
8298,886
27,885
6128,886
837,996
10425,19345
2462,386
386,6498
27,5613
27,4829
21852,386
2916,26256
27,5256
959,4829
8298,996
2999,3696
2462,27
27,22165
2774,5525
959,6750
2999,1159
1159,7052
386,32490
9229,386
2882,30562
386,7739
27,386
2999,386
2998,959
27,19577
1067,5738
23004,386
386,9041
386,52911
27,73135
27,2774
959,3696
10425,959
27,10207
6128,6127
386,9229
5290,1029
885,386
5318,386
2916,386
15483,1159
31549,3696
2999,5613
18505,27
27,5290
23598,386
2882,996
2916,994
6970,5291
9229,886
27,1788
27,30660
15483,8612
2882,19577
386,1300
6391,27
2774,1160
10949,27
886,9229
11815,14251
5525,2774
386,996
386,51638
996,10949
23673,959
27,10058
996,386
10949,386
885,10134
2999,5290
108,6750
27,15430
2882,1159
6128,1300
8737,27
9229,1160
1300,1029
27,1029
15483,8298
6273,386
27,32176
27,12501
29492,27
2088,27
9229,996
6750,2916
15430,27
4829,386
2999,4829
11325,27
2916,3696
108,995
5256,27
386,387
27,8298
2399,386
12877,386
27,14385
7669,27
12024,959
996,2461
995,996
2766,2916
784,9229
3696,2462
27,5486
2461,2462
8298,27
27,996
886,837
6391,386
387,27
784,1160
2774,386
386,6750
784,2998
6127,27
