personhascitizenship_inv_1,personhascitizenship_inv_2
103,104
787,1198
1059,1684
82,3707
116,4850
4915,4916
1059,10238
349,10455
1061,14
6097,5641
9080,5641
678,13233
465,13699
2535,14087
787,14276
5752,104
4556,14087
787,4928
13230,104
20675,20676
103,4916
843,1995
2288,5641
154,22944
103,14224
2701,24267
103,1820
6097,14087
5505,8576
636,1684
25651,11570
9393,3077
3307,27463
9080,27813
116,9830
13230,28323
3078,1684
9080,31114
891,31261
32542,1684
2723,5641
5010,28824
494,22944
494,33771
8459,3077
901,34454
4915,5641
9080,34648
24897,24896
5501,34870
116,35871
116,36048
154,36151
636,18153
103,1234
787,9296
2535,2534
116,15248
309,32072
103,1866
700,38489
1885,5641
116,28824
4915,19047
2288,1684
787,40337
116,1866
1059,32523
636,104
3307,6857
2723,41725
3307,3077
3797,16848
82,9771
103,34870
5010,4850
2626,42651
4915,3907
787,42986
787,104
5010,21044
5505,43797
843,40371
843,104
116,34620
8861,1684
116,36517
116,104
2723,45397
3307,45646
636,3077
3307,22001
8861,8860
5010,1234
5108,46953
2701,1234
154,1684
37443,1198
103,47934
9080,104
13230,4850
9360,44050
3307,48982
5752,5641
116,28323
3307,18153
116,39572
772,37015
103,1025
6097,2730
6097,50270
36925,104
103,3077
1061,5325
13099,1866
494,13994
349,51448
636,1990
843,18442
103,14440
5501,1990
5043,1684
5995,9771
103,39572
891,1198
8861,5641
4556,54569
103,14087
1059,1198
2626,13315
24897,104
2535,3707
787,55474
4556,43497
6097,3077
1061,55741
116,9771
25651,104
3307,43897
154,24013
5010,49840
13338,5641
24897,9073
82,104
116,13994
843,26262
103,6857
13099,5641
636,42203
494,58500
103,33629
3307,15066
843,1198
3797,104
4556,3707
3307,1990
103,5641
116,20838
5705,104
5501,27813
5043,49130
5501,32005
24897,3707
3307,47841
5995,3077
103,15066
2723,14087
2723,104
4556,9073
3307,7109
4915,25030
154,24014
154,18647
2535,3077
843,44310
103,22944
13230,14440
6097,1684
103,62763
13099,3077
6097,30725
116,63383
3797,3077
843,9771
8861,104
6097,45397
37443,37442
9393,104
154,63868
103,20442
2535,64061
103,8860
5995,104
3307,51661
82,5641
787,49130
2701,2700
82,64744
116,1234
1061,20968
116,12386
1901,52088
6097,3266
5501,22944
5501,9296
3797,49946
30903,104
787,53513
5501,55310
24897,3077
3307,1684
103,3229
3078,104
4915,1990
908,104
3307,14440
6097,41725
103,38223
636,8860
1157,1684
64390,1025
103,42203
154,60265
891,6857
3307,33234
5501,5641
5010,5641
103,2730
2626,51844
13099,104
6431,26126
787,8860
4915,3077
4915,14087
5501,6857
2626,3077
28474,5641
843,1234
1901,8370
5010,104
103,33234
82,3077
642,69879
5501,70211
3797,3707
843,66052
5043,5641
47090,20676
5995,70596
5010,15977
3307,2534
636,25415
5010,13994
82,71031
5010,28323
116,71286
71292,19047
5501,55147
3307,14087
24897,1990
3501,39634
636,1995
636,11570
843,14087
5501,104
3307,5641
116,68814
116,17342
5501,47841
13338,104
82,8860
2535,1684
5501,1684
2701,20838
843,3077
103,7841
4915,104
82,54167
3307,56159
3078,25415
3797,1684
3797,41725
103,4928
19665,70383
636,14087
13230,12386
636,5641
4915,8860
4556,5641
4915,2534
2535,66855
1061,53787
116,24267
9360,9296
1237,39643
642,68351
103,19711
116,18210
843,1866
4556,35399
5501,50781
116,71784
13099,4850
843,7841
13230,15248
2535,9771
843,62326
5593,68307
32542,3077
908,1684
13099,28323
116,12708
116,3077
9393,1198
5010,3077
8861,24267
103,4965
13230,3077
3307,104
6097,104
5505,13153
2288,3077
3078,3077
116,14440
843,8576
2723,55971
5501,22001
843,5325
2288,104
494,66314
2535,5641
116,74788
3307,73800
28474,104
1256,5641
891,1684
116,22335
103,57966
5995,5641
3307,32005
908,3077
5752,9296
636,50182
116,129
3307,17189
116,20442
5043,21978
5501,3077
843,28824
2723,3077
116,26346
154,50740
1061,47152
1059,41587
103,9073
9393,4850
116,64427
1256,104
