personmovedtostateorprovince_i_1,personmovedtostateorprovince_i_2
6,7
321,4928
6,5411
6,6903
6,6607
321,8843
17,9048
321,9073
2366,3627
321,10938
321,12826
321,6903
6,12345
1270,13308
6,10236
321,8061
321,15977
321,16004
2366,935
243,7437
321,20087
6,496
321,13807
4047,22932
6,26469
321,7456
1953,15068
321,3932
17,6607
321,6274
321,18153
321,23543
321,14087
321,10659
5802,1858
321,1973
321,11387
3805,10352
321,9120
1868,9586
321,5325
21728,38305
321,8359
321,10562
3262,10938
321,10749
321,1995
3005,6370
1724,1858
17,2967
321,13112
1568,4850
321,16454
321,41725
321,29591
844,3504
321,19627
321,9586
321,874
321,30099
321,9771
321,49013
6,5795
1627,9777
321,43161
8443,4850
321,3504
321,51338
321,27418
321,7
321,3229
321,11987
1092,1920
321,1866
21728,30501
321,15531
321,9296
4089,3995
1724,3230
1568,14087
6288,34081
321,3230
6,14087
321,15009
17,16454
321,32776
3370,14612
6,10990
321,3212
321,34081
321,187
321,28945
321,12345
23537,13288
321,25512
321,41112
321,19047
321,30197
1868,10352
321,13308
3805,8359
3262,5325
321,29351
1016,9771
3370,159
321,47774
3726,17342
904,935
844,1442
321,3912
321,26486
6,1442
3370,4604
4299,1858
6,13288
321,15133
321,10085
1270,9296
17,31456
321,4850
6,12880
321,3627
3005,27875
321,17170
6,7437
321,9760
6,4850
6,8556
1868,935
321,14621
3262,7437
6,13308
321,5847
321,19409
321,19685
3726,3627
321,4879
321,5733
1627,6358
4299,9771
1627,3995
904,3627
321,57877
6,1995
243,5325
17,66577
321,16863
321,69511
321,7841
321,18378
321,18874
321,22069
321,67328
1568,15068
1270,12116
321,36098
321,10352
321,7437
321,935
321,14612
321,71763
3726,13288
321,36687
23537,9760
6,8061
3726,31223
321,51751
321,1234
321,5793
321,10164
1724,778
321,16005
3726,8061
321,33823
6,18200
321,13288
321,5682
321,9019
321,73721
1868,34081
1270,9771
1627,3627
1724,4604
321,1442
321,18826
37863,13288
321,55437
4047,187
321,43347
321,18200
6,9046
321,5795
321,14753
3370,15068
321,11360
321,74228
321,64621
3726,4604
819,13288
321,6607
1270,44360
321,8704
321,2393
321,709
7905,5325
321,2875
321,25100
321,6268
321,42232
321,34155
321,49454
321,53513
321,1990
321,22937
6,3504
2366,159
321,11436
6,1973
321,39832
321,6485
321,6566
844,13308
321,12874
1953,9771
321,2641
3005,3995
6,12057
3370,5325
6,15068
1627,9771
