agriculturalproductcomingfromv1_1,agriculturalproductcomingfromv1_2
262,263
5563,1353
6810,5089
2905,7126
7539,263
871,1972
8336,263
10432,263
1041,5089
12441,263
4650,263
14130,263
10918,263
2825,2375
15062,263
15563,263
15901,263
13190,1353
17483,263
19704,263
22352,263
16968,263
22666,263
2905,1353
23653,1353
15070,263
2825,25003
25084,263
25410,263
18807,263
25979,263
26292,263
26606,263
4237,263
27210,263
27488,263
27662,263
28583,263
2825,28684
30996,5089
31063,263
14355,3339
31613,3339
10823,263
33407,263
2677,263
17740,263
107,3339
35361,263
12441,1353
16644,6019
37541,5089
38005,263
38776,263
39226,263
22162,263
12441,25003
200,263
1217,2097
1217,7126
24180,263
29637,1353
1217,25003
13928,263
789,1301
22529,263
5147,1353
9977,263
12441,5089
43393,263
22284,263
3277,3339
871,5089
45840,263
46410,5089
22858,263
22058,263
47556,263
47796,263
2442,263
48198,263
48889,263
1358,2097
49296,263
824,6019
30770,263
1152,263
17904,263
12363,1972
51928,263
222,263
19236,2097
43739,5089
2900,6019
8505,263
1217,7562
53690,263
48975,263
11543,3339
47463,263
3769,263
50926,263
55902,263
55922,263
15118,263
1217,5089
1358,14813
47972,263
56738,3339
56770,263
41183,263
57104,263
2214,263
49385,263
13190,5089
1358,7126
26535,263
1336,5089
43242,263
44812,263
47652,263
2825,5089
2825,9086
14355,1353
14355,263
2442,7126
48975,3339
25790,263
24808,263
7839,263
1152,3339
24125,1353
2825,59976
16644,1353
60626,263
108,263
1040,263
1406,263
2825,30743
5563,263
10683,263
12441,6019
62279,263
62334,263
39007,263
140,1353
8181,263
1088,263
51930,263
61733,263
2442,3339
56863,263
63264,1353
55740,263
2905,12441
64265,14813
29788,263
11543,263
7696,263
64597,263
2900,1353
59478,263
65417,263
7795,263
58812,263
107,263
65824,263
7802,263
66014,263
37191,263
43547,263
66374,263
1217,26350
824,1353
140,263
13314,263
66939,263
10560,263
67478,263
65261,263
12271,263
789,7126
19066,263
37570,263
56738,263
12441,7126
63264,7126
1358,5089
15563,3339
57827,263
62019,263
65690,263
3111,2375
69645,263
69726,263
2825,1301
68084,263
40557,263
48396,263
1358,1353
70062,263
2276,263
222,3339
3710,7126
6444,263
6429,263
32670,263
56258,5089
68104,263
45722,263
63264,5089
33407,3339
15509,263
53204,263
43242,3339
34161,263
71910,263
2328,263
44133,263
23571,263
1217,508
13942,263
40177,263
10764,263
1217,6019
72608,263
1354,1353
11594,3339
72954,263
20950,263
18019,263
52085,1353
73208,263
2900,5089
2825,36654
64597,3339
12363,7126
11457,263
13925,3339
2905,5089
73752,263
789,6019
73896,263
4694,263
19023,263
3710,5089
14794,263
26887,263
789,1353
789,5089
64705,263
74119,263
3710,1353
222,8444
74183,263
2030,263
55082,263
5777,263
37105,263
10959,263
57200,263
21244,263
74642,263
74278,263
5777,3339
74698,263
73761,263
2442,1353
74673,263
18188,263
26292,3339
23653,5089
58217,263
73316,263
3730,263
11594,263
50200,263
74680,263
13857,263
12188,263
74338,263
13925,263
15112,263
1217,1353
11629,263
6492,263
15464,263
5485,5089
27445,263
75286,263
7559,263
1217,3564
67016,263
16922,263
62464,263
577,263
25977,263
1451,263
1041,263
3277,263
7768,263
6227,263
44837,263
48975,60146
2442,60146
2825,263
1401,263
38965,263
55721,263
1336,1353
72819,263
5485,7126
69033,263
933,263
200,3339
