coachesinleague_inv_1,coachesinleague_inv_2
604,953
257,3463
342,3618
604,4377
342,5545
342,5926
1001,10710
15197,15198
257,5569
342,20627
1001,20701
1001,23559
342,25816
26203,28787
604,4014
257,26166
22398,10776
257,10458
1001,22717
257,30328
26203,33027
257,4152
342,32389
257,7805
257,7336
342,40405
257,39164
604,41179
257,8159
257,11827
26203,13219
342,8412
1001,45147
342,45876
257,6440
26203,48066
257,20549
257,37195
342,50076
15197,18730
257,5280
26203,26202
1001,46825
1001,50550
257,23342
342,19297
257,32326
342,14745
257,26275
342,57482
257,8273
604,56917
1001,10212
1001,39449
257,53857
257,5016
257,15892
342,60697
342,33956
257,38785
257,1318
257,25427
257,10452
257,37959
26203,37451
257,35854
604,23865
257,3818
257,35832
604,48276
342,523
342,10003
1001,69025
257,774
257,31967
342,15957
257,62286
257,15030
1001,49563
342,10941
342,34641
257,10083
257,4571
342,17190
604,20988
342,38909
342,39580
257,21065
257,11944
26203,65294
604,6484
26203,56993
26203,38868
604,75092
1001,27984
257,7533
604,40193
15197,53583
257,23266
22398,19146
342,46145
604,58446
1001,32921
