proxyfor_inv_1,proxyfor_inv_2
36,37
77,78
17,323
344,345
135,441
250,464
503,504
36,529
135,691
787,788
36,802
905,906
135,1027
1183,1184
77,1242
1247,351
135,1312
36,1571
321,1706
135,1863
135,2023
2175,2176
77,2207
135,2224
2241,2242
163,2290
77,2474
250,2489
135,2491
2536,2537
2175,2304
883,2577
2706,2707
2542,2737
321,2812
2990,2991
503,3046
3055,3056
3067,3068
135,3087
972,3148
135,3185
2175,905
980,3480
1109,3529
850,3675
3702,3703
2639,3735
321,3755
904,3779
3832,3833
1183,3840
3841,3842
135,3876
135,3890
2639,250
3702,3953
135,3972
503,3981
135,4160
135,4315
4458,4459
2639,4527
135,4621
588,4722
135,4765
648,647
135,4818
4832,4833
1162,4892
135,4952
1162,5057
503,5247
163,5277
135,4580
2639,5408
321,5432
77,5445
736,3675
2175,5778
6,5780
5782,617
1966,5874
1109,2269
135,6083
6180,6181
135,6254
2639,6286
135,6618
163,6656
2175,6660
135,6812
135,6828
1275,6396
6416,6415
163,6992
883,6997
2639,7030
2639,7132
36,7175
135,7366
77,7429
2639,7542
503,7588
3195,7151
77,7731
321,4971
4974,7792
77,7889
192,7452
3702,7989
344,1020
135,8206
1568,8221
321,8240
819,8258
77,8259
1109,377
1568,8374
135,588
135,7828
6031,6030
904,8603
321,8606
135,8621
135,8627
36,6783
2324,609
8741,609
503,8750
135,7585
503,8853
8882,8883
135,8916
135,8970
503,9034
135,9074
135,9162
135,9295
77,9299
9402,9403
9461,9462
321,9468
9522,9523
135,9724
2175,9732
7339,9742
9896,9897
2639,9920
9990,9991
135,10076
36,10079
192,1855
135,10140
135,10144
17,612
1627,10154
192,10198
636,4161
2639,10299
1966,10361
10398,135
6,10501
503,10547
844,914
1192,10590
3702,10637
10729,2175
1183,10912
1568,10931
866,10742
588,11061
135,11179
2639,11223
77,2696
135,3138
135,11297
1162,3819
321,11355
4258,3639
1568,11386
135,3824
135,11454
321,11455
77,11489
163,11571
192,2760
135,11654
3005,7904
135,11733
3860,11831
901,2605
135,11908
1568,12004
1183,12059
321,182
77,4997
883,12395
135,12597
859,12639
77,12717
135,12750
77,12797
135,2526
77,12867
503,12885
2216,12954
13041,13042
135,13066
13147,13148
12624,602
135,13299
135,6488
163,13476
1109,13528
135,13529
135,13549
163,11184
135,13653
352,617
192,114
135,13796
135,13851
1966,6181
135,11982
3702,13952
135,6855
7425,7151
135,14078
77,14079
36,14152
135,1854
