statelocatedingeopoliticalloca_1,statelocatedingeopoliticalloca_2
541,1352
541,1644
541,1811
541,1958
270,90
3156,2626
541,3553
541,1966
541,6449
6466,1059
541,6547
541,7224
541,7607
541,3062
541,8607
541,9464
541,4045
541,5108
541,7660
541,10584
10831,1059
541,1062
541,10940
11317,700
541,1256
541,1546
541,615
541,4133
1966,3034
541,1016
541,13418
541,8093
541,14063
541,4915
541,525
541,89
541,15508
6288,128
541,308
541,16193
541,16425
1844,977
541,15626
541,17792
541,1817
541,2708
541,19344
541,4736
541,19953
541,9990
6288,7758
541,989
541,20574
243,3034
541,13865
2079,90
541,19442
541,21577
541,21888
6288,22927
541,3336
541,8262
541,2158
541,24206
541,1816
541,6837
541,987
541,24913
6288,3034
541,3797
541,26096
541,14350
541,250
1627,977
541,309
541,27848
541,24743
541,28580
541,28744
541,10109
541,29446
541,6375
541,1058
541,29677
541,772
541,10796
541,465
541,31032
541,1647
541,9133
541,10296
541,2740
541,18014
541,9500
541,1050
541,1334
541,6939
541,32327
541,1844
541,9360
7905,977
541,33342
321,90
541,10878
541,2222
34118,494
541,34419
541,34661
541,1320
541,11628
541,5008
541,2737
17,977
541,15309
541,10952
978,90
541,3804
541,16733
541,37655
37949,700
541,22840
541,5593
9355,20515
541,38429
541,1628
541,4053
541,13134
541,2288
541,19032
541,1724
541,18804
2855,494
541,39966
541,11872
541,15150
541,2701
541,13433
17,11973
541,2205
844,3034
541,6332
541,2723
541,724
541,12642
541,3563
541,14324
541,42623
541,377
541,11663
541,7488
1844,3034
541,43110
541,39607
1016,90
541,8749
541,3078
541,14295
541,43954
541,678
541,4324
541,2625
541,8036
541,611
541,299
541,18172
541,43985
541,8459
541,5866
541,45198
541,13804
541,12015
541,8910
541,39746
541,20262
541,19288
321,11973
541,5597
541,7905
541,103
8162,3034
541,10986
33159,9080
541,17493
541,3631
541,636
978,1098
541,4299
541,6757
1092,977
541,11664
541,2424
541,20204
541,48958
541,10895
541,16992
541,5752
8272,3034
541,7220
541,14945
541,6432
541,49635
541,38232
541,7679
541,2760
541,3475
541,23402
541,34999
541,48992
541,17523
541,2724
541,36908
541,7006
541,901
541,1421
3538,3034
541,11142
541,39866
541,12164
6288,11973
541,6071
459,1098
541,703
541,565
541,2943
541,904
4047,11973
541,270
541,54078
541,27252
541,20643
541,1237
541,47229
541,3983
541,29179
541,40777
541,7149
541,3538
541,20891
459,11973
541,2063
541,12619
541,10982
541,657
1374,977
541,1374
541,8027
3726,3034
46050,3034
541,30544
541,17726
541,2662
541,4264
541,14394
541,2395
6288,16814
541,1465
541,2113
541,2557
541,36
541,5995
541,16141
541,2494
2731,494
541,54129
58092,1059
541,1752
34475,1059
541,59042
541,15354
541,11187
541,25324
541,8193
541,15597
541,5697
541,46746
541,2348
541,81
541,3348
541,15878
541,17089
541,33132
541,27436
541,21052
541,6431
541,23010
541,6698
541,28474
541,3974
541,31564
541,2643
541,12362
541,17733
541,1884
541,13037
541,2830
541,11779
3538,11973
45018,700
541,5356
541,295
9355,494
541,14081
541,26646
3370,977
541,9302
541,16724
541,9963
541,1825
541,45330
541,347
541,10863
541,8952
541,26344
978,977
541,33978
541,4884
10888,700
541,3501
32105,1059
541,2605
541,844
10416,2626
541,22229
1966,11973
541,16675
541,5228
1374,90
541,8162
541,14132
25471,494
541,5238
541,62781
541,3034
541,50166
541,2871
541,3726
541,16560
541,1744
66805,700
541,8647
541,62456
541,136
541,1224
541,13569
541,11721
541,154
541,8122
541,1321
67398,11665
541,10365
6288,34622
541,19024
541,7557
541,288
541,741
8672,3034
541,1092
541,479
541,28548
541,25471
46050,321
541,3040
541,10042
541,80
541,2138
541,59535
541,57154
541,19665
541,9390
541,6069
717,977
541,4959
541,68895
541,243
541,31589
541,3161
541,14598
541,17271
541,61037
541,69201
541,6734
541,26688
541,41772
541,46802
541,69574
541,11501
541,15261
541,69790
541,1824
541,59438
541,2334
541,36571
866,11973
17,90
541,17455
541,39185
541,8047
541,908
541,17461
2625,90
541,24237
3055,90
541,63513
541,33506
541,2342
541,55579
541,12194
8162,977
69464,11665
541,56033
541,5922
541,7676
541,71190
541,442
541,127
541,85
541,43448
541,34814
541,972
541,27602
541,1059
2366,3034
541,26372
541,3124
2424,3034
541,6955
541,9972
2417,977
541,12045
541,54742
541,9217
541,66024
541,18889
11007,700
541,8861
41739,11665
541,1188
541,10503
1724,90
541,7480
3262,977
541,11963
541,46302
541,28186
541,9080
541,736
541,58717
8162,1098
541,642
541,29831
541,8516
4047,90
67815,11665
