organizationheadquarteredincit_1,organizationheadquarteredincit_2
79,80
227,133
329,330
1063,133
293,1753
2112,2113
544,250
2630,3
2917,250
2934,2935
3025,3026
4358,133
4498,4499
4903,2953
5458,5459
5789,5790
4749,133
7056,7057
7578,7579
7767,3518
7871,7872
4953,751
9151,5984
9364,9365
2871,133
9757,731
9781,751
9838,1876
9969,9970
10389,133
10505,751
11169,11170
11267,11268
12557,133
12650,751
12666,4723
6500,250
13073,9970
13307,6972
13755,13756
13841,10768
14940,8310
14965,353
15076,1916
15289,4393
15758,207
15780,15781
15787,15788
16367,10327
16612,12308
17105,7057
17341,7939
17896,17897
15937,15936
14436,133
1497,3115
18783,479
18810,6379
18990,18991
8118,4723
19752,6379
19965,5790
20038,7057
4193,13313
4603,17897
20490,1421
8436,7872
20827,4499
6342,133
17230,2607
7730,6379
21808,1816
756,10372
22386,9365
22710,6379
23088,751
185,250
23110,8647
23347,250
7540,250
9116,133
14590,751
25085,7860
12785,4546
25243,3115
24660,9422
9013,9012
17921,7057
26479,7057
26614,14914
5359,133
27667,3115
27685,3488
11667,2113
7883,8647
179,133
4451,7939
28125,8647
28198,6386
14273,1131
28341,3518
28606,528
29270,133
136,250
27258,3865
30453,528
29740,114
27042,133
8043,8042
31668,2760
21385,1421
31784,7057
31850,207
31097,133
13836,133
32430,6698
16108,250
9672,7452
31423,9500
32625,751
17747,133
33456,1916
33836,207
23032,914
1144,3
34264,5790
34316,3579
24034,6422
23969,10503
34709,2410
34769,34770
8648,8647
32481,133
34650,34649
19403,133
31282,133
8417,133
35031,7957
10553,3518
35988,8091
36147,250
11689,133
36608,250
14396,6379
169,170
36977,751
2205,4546
20167,250
10769,10768
37361,8310
32276,1454
37462,7452
37478,207
4526,4499
7335,133
25809,250
38734,12196
34478,15287
29597,914
3887,25583
1754,207
39338,24774
4742,4708
14381,4546
39528,7208
5220,16320
39726,9970
20306,235
17337,133
7352,250
29643,5019
208,207
35846,6379
40538,8647
7060,19212
40815,207
40915,4708
9443,133
2024,3
10107,555
41396,41397
41406,1916
30521,751
41660,3026
30908,8601
4547,4546
42443,42444
22617,1131
19354,133
42852,6379
42946,528
34923,13568
42973,5019
43375,17595
17805,1876
5727,24774
40061,4561
43649,36835
3973,207
9264,133
43969,3518
20579,5984
17182,133
30282,24652
44255,8698
35963,1465
3114,3115
16592,5911
44561,133
4707,4708
4703,2113
44692,3
15224,18087
22136,16490
26677,4053
44978,7057
45086,6379
24630,751
31599,2953
3403,133
34846,133
10282,133
9913,250
9529,133
2668,133
46106,1916
14330,16373
3454,5790
46443,22351
14247,133
31306,3579
14268,330
47521,18804
31930,7220
4378,133
4947,1855
16944,1421
48287,48288
593,133
9501,9500
48575,17232
12982,36583
48970,10372
45451,6736
1021,1020
17715,1916
49002,479
24425,19932
6636,4099
13782,9809
19321,1020
25873,4888
949,250
50422,207
10893,207
633,250
50797,20995
10733,3579
50922,3518
38327,36583
6795,6796
27816,133
17760,4665
51723,36892
13346,5459
19145,39330
52239,1131
6582,133
19244,1134
52426,207
4739,10154
53150,207
26285,133
53370,611
37556,133
50329,5984
20809,1916
4476,4477
53792,133
53996,7939
54040,35659
27800,7057
44986,207
5943,8276
54486,54487
54498,1916
19672,10805
8295,207
49733,731
11199,133
9273,914
340,25425
21537,751
22034,6379
49161,751
41868,751
49387,10503
40586,40585
55523,7939
40455,3518
37944,6698
21265,20003
48875,2410
42577,2760
3228,6562
56350,2760
42223,80
13731,133
56620,1916
12931,7746
21982,250
238,19191
51673,11225
57079,32808
47089,528
12475,12476
57372,57373
55871,1876
49926,207
39550,555
57714,10868
47168,1916
16480,133
57801,16270
2364,6422
17637,14914
52448,17595
28961,6289
28868,133
41207,4053
55424,3563
315,207
27751,114
47155,2113
41505,6379
21945,22718
53744,2839
4105,133
58633,9365
3451,250
24746,1876
58725,114
17492,10872
55360,2760
25339,3
3152,133
4232,30874
12535,12065
38176,310
46103,14988
10876,751
59548,133
20870,15002
43832,4708
59735,133
59782,751
13264,9500
59893,207
30837,3579
7158,133
2436,6379
59989,3
19155,917
44883,1916
60142,133
12706,250
19177,133
26194,1421
60903,13756
55834,31775
6847,207
3967,3966
1132,1131
1860,133
11469,2113
9919,2410
34392,133
23363,6796
61893,528
1856,4272
61931,250
53442,16102
29884,10372
31024,3371
16152,250
36310,42
572,751
45590,250
11330,3488
37764,40707
50727,8647
62572,731
18753,207
8463,751
3381,1753
620,250
12768,611
4445,9293
13045,499
61077,2953
35892,35891
63161,63162
30186,133
63203,15237
3993,528
37061,353
45802,133
2859,23760
49710,8601
47996,28299
9362,80
58313,9365
63811,10768
54610,21274
64027,27814
45674,133
44625,5790
28487,14914
41628,5790
22961,6379
45638,133
64642,21080
56650,20003
52855,32877
21375,3709
22224,10372
57945,40081
60035,4708
48009,39862
11160,133
64737,4060
42328,5019
18996,207
16072,611
65444,889
46255,133
32018,133
3342,15002
65494,1954
4046,4045
44942,14289
42098,250
11428,133
18273,18272
22403,4708
43722,133
37474,10372
29225,225
53946,5459
66188,3090
95,133
11430,133
32371,914
64525,751
55758,751
34362,6017
8544,8543
4302,3090
26675,133
60512,7208
57307,133
20911,6736
32700,22084
27882,3115
21654,16705
64384,1916
18833,8647
9848,11225
30460,6698
7036,32425
63711,207
20885,10154
18422,5459
57602,751
26577,6379
51916,133
25177,25176
2521,30874
65830,65831
67241,250
57716,7939
40743,1916
67402,6164
906,2607
67458,9365
10816,3115
15631,133
67541,1465
33053,133
7651,7650
3175,751
12933,133
67849,207
29119,3
39518,2839
26481,133
20043,133
41900,10805
35793,35794
40102,40101
35273,7650
15107,5984
63025,80
30174,917
10578,133
31307,10372
61854,2113
54997,9133
2772,133
5460,6379
9610,731
53170,5896
15447,13983
40714,751
11712,11711
6536,751
51599,2514
61883,6796
68801,207
55362,250
47630,47631
10685,133
14135,6119
59838,9012
20449,16705
55658,8698
58283,6657
8684,7368
12066,16490
21413,3115
30707,4723
65624,15929
10388,7480
37012,133
40704,2410
66352,944
49206,15237
13467,1916
2405,133
18380,1593
56874,5896
40373,10372
61847,133
15702,5896
51300,133
25256,3115
69895,133
20004,20003
3410,1421
59131,751
39387,39386
28408,555
5232,4325
13665,7939
47592,17089
13096,13097
22523,22522
26476,3518
22355,9462
20242,5790
1614,2953
39072,38231
4577,235
39022,5896
18451,299
65959,8091
21633,250
70661,1876
46404,5459
41294,207
23651,2307
13472,9422
63456,7452
31966,751
12474,133
52495,52494
14579,14580
17714,9500
1130,1936
17688,9500
134,133
40592,479
12610,133
27067,2662
18218,71450
14252,133
16715,4499
48151,9365
50042,133
4808,133
14692,7957
71642,133
45504,12308
64119,3115
47208,4561
69293,36916
8788,3518
36254,4723
40738,133
37675,37674
31566,31565
35112,751
6250,4499
57633,133
5952,207
31360,20003
6176,133
22002,3115
37151,556
36917,36916
18372,5790
47890,42
68770,207
18627,133
38970,207
7627,16373
4280,16373
62798,250
28782,250
292,8647
54210,12308
51422,207
1424,133
36779,36778
61415,10641
46343,133
37513,1916
45199,133
50444,5790
24094,6379
65438,528
13506,133
59915,751
50697,50696
26792,5759
7161,133
41990,133
1477,42
31354,3115
36974,133
39922,133
64109,1421
73276,207
42058,133
44957,16337
5023,133
19787,250
10516,10515
14183,6837
17154,133
30482,7985
17233,17232
1699,23760
11079,250
65698,133
19794,7939
65666,133
36852,250
34036,133
59115,2839
36501,30218
49748,751
25584,25583
10531,751
28670,528
11467,133
46993,611
54612,4723
1427,2113
8044,499
59601,751
15383,6657
6890,299
21955,4499
69457,2953
74074,133
28485,8310
28208,9365
26745,133
12301,611
74112,34339
698,3
31836,5790
19638,9422
29485,1377
36928,133
38291,133
46801,7208
37093,751
71776,1593
74245,2760
40906,133
46222,133
43171,5790
33067,751
7747,7746
2409,2410
15023,133
74380,207
18110,133
74411,15237
34719,1816
25469,22428
61789,555
31409,13627
51442,751
11201,133
59564,33529
11359,410
15917,250
34210,17595
17145,250
73838,3222
15351,8647
59078,1646
70305,17232
40184,751
20800,1134
40798,1646
33110,1131
45510,28691
18080,556
19870,5459
26810,133
62534,751
61263,207
71245,7057
66441,7057
19511,7939
42318,207
45028,21106
29528,133
19000,731
15211,207
8392,207
22592,3090
17495,11225
43113,207
60814,8310
74940,10372
22832,250
20884,10154
35250,1454
14757,4708
62699,1916
5020,5019
32847,3115
61456,7135
59518,133
45608,3709
60254,8310
32048,1421
44277,31998
18925,2953
35587,133
75077,207
18060,8647
47435,2113
73340,17501
57498,1816
29197,15237
945,944
31054,7057
44630,1916
64189,5790
28703,751
33466,32877
74396,133
11590,133
67189,207
24932,751
39482,250
38543,80
32793,7208
75154,16916
37496,3090
74050,4499
10867,207
5099,751
12899,555
12909,37623
70280,6379
53659,3695
40783,7957
63293,11225
54502,207
37159,133
9297,1421
69958,410
60349,133
477,2802
13888,751
15540,207
37969,751
2047,2953
33740,7939
61009,5459
53859,1916
18715,22117
36072,7957
14583,330
47453,18362
16833,250
6533,133
3082,133
10276,7939
7861,7860
40137,2760
14456,235
67188,2953
27038,751
3915,10372
5622,1916
50280,7208
58886,3026
37365,1936
26830,250
17574,1131
63144,225
56024,207
8810,13627
40479,16432
29918,133
4830,133
43229,2113
75301,80
20042,133
10948,16884
31038,133
