athleteplaysforteam_inv_1,athleteplaysforteam_inv_2
87,88
1004,646
1011,1818
1248,1842
476,1946
687,2229
2973,2974
2247,3116
3393,3394
3746,3747
3893,3894
3900,3901
1081,3914
4418,4419
57,4536
2209,5519
932,5600
1192,6068
4297,6091
501,6397
350,6482
2427,6538
1004,6557
1004,6875
501,706
3512,7051
4148,7086
486,8092
5361,8696
5182,8929
195,9005
3567,8530
98,9440
392,10205
10331,10332
882,10369
4787,10380
1248,10489
7039,10498
281,10836
882,11288
2476,11432
2694,12206
1248,12570
501,12599
3772,12647
552,12721
98,13051
9769,13053
447,13059
2703,13138
1248,13242
97,13317
7403,13335
3360,13706
4602,11986
486,14609
497,10812
422,15184
2973,15441
686,15567
1248,15824
68,16110
1914,16233
882,16241
9262,16274
3893,1801
5352,16658
57,16681
4184,16918
2593,17236
9262,17469
1116,17606
2338,17662
2338,17971
2007,11826
5002,18043
2593,18281
126,8155
10922,6926
126,125
2007,19937
2209,20229
1081,20284
501,367
3746,5098
3900,20812
5352,20907
56,21164
1248,4550
421,1872
10922,21664
3567,21994
4418,1213
3360,22082
13029,13028
3893,14955
282,22263
562,22306
3383,22393
57,22772
7958,22922
932,12334
2247,23023
4662,23157
3746,23195
62,20464
4602,23789
476,23981
282,24236
1116,24243
497,9197
1992,24440
3745,24468
2286,18204
8366,24731
1992,24838
1116,22143
1004,25163
8286,18983
5182,25855
9262,26206
3393,26260
4418,25797
2247,26649
3821,26695
57,14437
421,20115
383,19624
4779,27395
486,2966
3314,27642
3900,27673
882,25565
4853,2208
8366,28147
4602,11071
1248,12210
383,28785
4148,26729
1992,365
1248,12438
447,29073
3567,774
2209,29145
2476,29271
2209,29640
8366,10141
1914,20148
1604,30291
1081,30376
1004,1384
69,30783
2702,29957
4662,30830
421,29005
31274,31275
690,25294
3393,9100
13029,31293
3512,18639
2964,31674
8532,31764
1004,23553
230,31972
2973,22154
3665,32028
5361,5360
34,32108
3567,22907
3383,32203
501,18235
4662,6007
3900,12198
2703,32524
5002,32548
497,5347
3893,25694
57,2856
882,4127
687,20783
1248,33057
2007,31498
2694,33277
806,33284
35,33505
10864,33542
2694,23864
932,5573
56,14278
16220,25499
686,20325
10961,10962
383,34501
56,2331
687,30496
5352,8449
932,35049
2593,4185
5182,35440
2338,35457
4631,35580
1248,35591
1011,30039
5002,29298
497,21431
2209,31713
486,27063
3360,36035
2338,29906
562,34023
2338,36370
2338,36414
4418,14359
99,7827
28507,31011
4602,3578
1004,15306
3900,28724
7116,37152
486,37458
1992,37484
2694,15816
113,1112
1604,37787
1116,24533
69,37749
3900,28195
1004,38174
2338,38203
4418,34232
10331,29220
13956,30158
662,39033
1248,29086
1248,14722
1011,13171
98,16819
281,7294
3383,28026
56,9455
4662,39406
256,39419
487,31936
552,21641
687,34386
446,39783
3854,32611
3314,32731
56,29336
2703,40120
3293,8571
1004,22496
476,12644
9262,40442
1248,40467
2694,40551
2338,28985
19410,40661
2476,40850
2694,17229
1248,7351
3745,27647
2593,15959
3665,38118
5920,23490
3558,41618
10961,22164
497,10217
662,11486
971,41894
497,12685
9262,41937
1604,34186
497,1000
97,42316
3772,1241
2338,23191
5002,37837
18203,30540
932,42773
3360,16558
8486,42669
476,17155
4048,27754
1604,11644
4148,8198
3746,18761
687,22686
932,20433
2286,43579
13956,43721
1992,43840
1248,37118
882,43907
932,43945
2004,33673
6816,21651
932,41235
4602,18384
10159,38466
2703,44265
3746,18404
7039,23259
2338,35364
1248,25535
1250,18681
4148,44579
486,38138
1081,44798
16220,44852
3188,9099
2694,17066
10864,45027
4853,45051
326,9491
1913,33179
932,38787
5352,8754
99,24761
3360,45614
1604,1605
421,8878
501,16881
2694,35538
4854,22828
10864,31607
1992,42757
3893,7533
1081,46096
9805,45083
1102,36004
1248,8497
1284,30200
1248,38355
1011,32598
1284,13605
446,34477
7068,7067
1248,22078
7068,3236
971,46827
2973,46854
476,10617
806,22293
486,4145
4297,45909
9262,47144
562,27962
2640,20279
1493,31629
2703,24827
2694,47572
4853,16086
113,47629
1633,33029
687,22319
282,40066
5560,1531
3393,31963
882,1028
2694,48055
1248,16627
3746,8234
69,9400
2209,48380
4926,16234
8286,12481
10864,49023
10331,35795
33003,49146
383,32484
497,22239
1004,22500
3900,49300
971,19588
2694,39136
932,41962
9262,49659
1116,9562
4853,18847
4853,13316
1004,33618
932,16706
57,33651
2286,50347
932,31271
195,47161
230,48633
10864,48422
1493,13961
34,50534
932,51116
3383,23326
2247,15370
57,10214
2338,51222
282,22543
932,14767
7039,45432
686,26517
932,931
3900,21447
4661,48838
4148,26152
1248,7310
497,15159
4779,51899
3746,29841
113,36059
2286,52153
2209,52165
113,1554
256,52451
4147,52479
552,50106
8222,23966
13029,15609
932,684
971,1416
13029,43564
2286,52742
552,2507
3900,52980
4661,48739
1081,53095
1992,21371
57,33660
486,14128
3512,42811
1439,12872
113,14700
486,53491
662,53596
2694,40282
1192,53682
3746,6871
34,10486
497,8958
4662,24469
552,47553
18652,53997
3772,6929
4297,24552
1913,8591
97,33425
476,14745
12437,12436
5352,3351
2476,54361
1913,17338
13298,49192
1250,5926
5002,46131
1102,54470
3746,8292
497,48080
3360,24619
5002,54616
1081,11944
662,54671
