agriculturalproductgrowinginst_1,agriculturalproductgrowinginst_2
2423,2424
3076,3538
1139,4089
1139,2417
2423,1627
1139,1374
1139,4047
2423,978
1139,4299
1139,866
1139,2424
3269,7905
11635,717
1139,7905
3076,1050
3076,42171
3620,43175
1139,6
3269,8272
3076,3163
3076,6288
3076,9241
1139,1966
31884,7339
1139,3538
3076,2625
1139,1092
1139,1953
1139,3726
13815,25159
1139,3262
1023,321
2423,1568
1139,1270
58056,1724
1139,3805
1139,3005
3076,6329
60772,3738
31884,1724
13815,21535
3620,7763
1139,459
3076,8882
3076,17
13815,4089
1139,2079
1139,2366
810,4047
31884,3005
1139,2158
31884,4047
1139,1016
13815,13292
3076,5802
3076,1868
1139,1627
3269,2079
2423,7905
1139,8272
1139,2625
1139,819
13815,17
13815,5802
1139,3370
1139,1868
3076,2158
3620,31215
3076,3262
1139,978
1139,717
2423,243
3269,321
3620,36944
3076,904
1139,2349
13815,2158
244,3738
3076,844
13815,904
1139,1724
31884,6329
3076,3738
3076,344
