teamplaysincity_1,teamplaysincity_2
113,114
916,917
4348,4349
4867,4868
34,2662
5576,5577
6334,6335
7039,5764
7486,114
7689,7690
8936,133
11441,2780
12586,12587
12950,12951
13793,13582
14201,3782
14296,74
15160,8647
14312,10314
15752,7057
15784,15785
17444,6379
3893,7057
168,9365
19505,1421
5044,917
2427,751
20994,20995
19461,3423
22427,22428
22900,10090
2209,2662
4048,7939
24128,74
24641,24642
24975,133
25070,133
25078,14704
6909,114
25458,15595
687,114
302,3820
25928,25929
486,917
10444,133
27915,14914
3439,133
882,19920
28507,1753
28996,6116
29039,27904
29248,556
6305,5577
7068,556
29002,29001
2755,3484
31103,6379
31299,12411
31623,2760
32411,2605
2037,3930
18544,23760
501,9422
4297,1454
7115,3869
33323,21730
500,19361
13365,31710
411,410
22970,9422
33709,33710
1248,751
7555,410
35940,114
3745,556
36255,565
36677,27106
10467,133
38082,7495
21058,250
38359,38360
35598,35597
38931,1894
4899,17072
1250,3
41060,133
33736,1882
2286,299
12031,8687
40935,299
21342,18962
27020,27204
447,2307
25748,25747
10556,8543
17927,10641
12187,2113
19612,27978
18699,18698
446,917
8148,9365
12431,3518
45291,16654
45571,299
6149,12573
5123,133
18198,9755
47198,47199
48527,15002
8814,11225
11511,1753
46817,17790
3042,133
49920,16432
12049,235
20259,74
50071,22289
2733,25697
3360,917
50172,50173
50721,11781
2173,2760
1355,114
39811,751
7116,13627
21107,21106
21767,21766
1289,2760
35,6379
34829,751
53445,21937
9598,114
5560,1465
15368,917
282,3579
20581,250
50323,917
4730,3115
35530,114
3837,28592
21448,3488
56625,133
10159,751
56652,8647
34925,10890
33847,751
5819,250
7812,556
449,6698
5636,39224
2341,3930
6744,6698
2702,114
37880,19984
47063,250
39151,23206
932,19920
281,8310
22371,6330
26436,26435
20784,55079
60144,21979
1081,7939
25496,235
38340,14475
60740,21655
32991,751
476,235
50502,18506
41277,565
4853,2307
13298,1020
3558,8543
8204,3869
61949,32788
62131,133
55652,556
16111,2350
99,5790
60273,23519
54801,25697
62498,235
392,3534
3746,751
16640,14288
2338,235
29061,5493
4383,1753
63351,63352
25007,2953
3393,8647
63728,1916
11716,19984
63924,32871
3854,751
63952,3518
51498,74
236,235
3665,751
16025,114
7189,1916
49553,133
3567,7057
12197,12196
879,27355
3512,5790
3821,5790
9769,917
20068,17595
14923,65931
62449,3026
43648,41395
3519,3518
13956,3930
16250,114
686,9900
66791,2607
65602,7495
2964,6181
38893,6064
2244,3930
21566,3869
27331,5759
67253,133
2703,250
27102,9570
20775,80
26448,14340
54639,5790
50948,29136
9071,1876
8188,114
64382,4325
14567,14566
1987,7939
68667,9057
3900,3
30942,24453
26259,250
3314,410
30663,6017
56,114
1604,556
3188,1079
69613,235
69695,9867
4659,2839
54820,133
7881,22351
39408,8647
4631,8310
54670,19361
379,2307
1011,917
2476,917
67124,23519
4514,19920
70858,11769
14503,751
50081,1454
8025,7057
22573,2760
9915,1916
36913,3594
10906,29136
57,6698
87,917
66042,4880
4602,235
2694,751
71632,12308
1493,3869
37624,37623
71766,133
38224,479
32507,1421
26016,6883
2004,917
13448,3488
56815,21982
1265,751
69174,299
60630,917
25112,38360
10864,19361
47153,12705
61180,133
16632,3484
26997,17374
2959,1049
971,235
16339,2780
48395,5790
21030,133
25625,114
30961,4546
1914,7939
29555,2760
12886,917
10065,8614
11213,1753
2593,114
6088,19920
20308,114
16913,4665
46109,14704
62366,26696
53244,9500
41877,133
42807,917
33685,133
35962,2953
1988,7939
25088,14340
17952,7957
18652,9547
422,2662
9724,31509
3383,917
11729,8310
14957,14956
5616,3518
51083,7413
4779,2839
16716,133
74884,555
53076,4665
6913,6379
25463,27106
806,917
2973,5764
73066,751
64690,3
7319,114
44742,353
5002,19920
5242,114
22739,37499
1004,235
43699,43698
62311,4053
421,8647
75273,2307
8222,114
46915,6379
63288,6036
69963,17279
11231,3090
21669,2607
19696,5764
1633,114
10759,751
53900,250
74883,9365
3772,1816
65244,21106
74430,4708
29196,18362
59006,2662
2007,8310
15906,1131
26316,16432
487,917
