agriculturalproductcomingfromv_1,agriculturalproductcomingfromv_2
1353,1354
263,2030
2097,1358
263,2214
263,2276
1353,3710
263,5777
263,6444
263,2825
263,7559
263,10683
263,10918
263,3277
1353,13190
263,13857
3339,13925
263,13928
9086,2825
1353,14355
263,15070
1353,1217
263,1406
263,18019
263,19023
2097,19236
263,12188
263,22284
263,22858
263,17904
263,24808
3339,1152
263,25790
1353,12441
263,25977
263,26535
263,29788
263,262
263,10560
263,1040
263,30770
263,8336
5089,1217
263,34161
263,28583
263,25084
263,8505
25003,1217
263,37105
263,37191
263,37570
263,22529
263,11594
263,14355
3339,26292
5089,5485
263,38965
263,39007
3339,200
2097,1217
1972,871
5089,1336
263,40557
263,13925
14813,1358
263,39226
263,43242
263,43393
263,43547
5089,43739
263,44133
263,15118
263,44812
263,44837
263,15112
5089,6810
263,45722
263,47463
263,47556
263,47652
263,48396
7126,12363
1353,140
263,13314
263,49385
263,50200
263,48975
263,1088
3339,15563
7126,789
263,51930
263,10823
263,1451
263,18807
263,2442
263,53204
263,10432
3339,33407
263,8181
263,47972
8444,222
263,49296
263,3730
263,27488
263,55082
263,14794
7126,2905
263,108
263,55721
263,55740
1353,23653
5089,871
263,40177
1353,824
3339,11594
1353,5147
263,10959
263,26292
263,56863
1301,2825
5089,46410
263,57200
263,31063
263,57827
263,7802
263,58217
263,12271
263,7839
26350,1217
263,58812
7126,1217
263,107
263,6227
1353,5563
1353,789
12441,2905
60146,48975
263,26606
263,60626
5089,13190
263,25410
263,6492
263,27210
263,61733
263,62019
263,62464
263,22352
263,47796
5089,12441
263,4650
263,11457
263,5563
25003,12441
3339,43242
263,21244
6019,12441
263,64705
7126,1358
263,32670
263,65261
3339,11543
1353,24125
263,7696
3339,14355
1353,2905
263,19066
263,26887
5089,2900
3339,3277
3339,48975
263,11629
263,68084
263,68104
1353,52085
1972,12363
5089,37541
263,14130
3339,222
263,66374
263,69033
263,15464
263,13942
25003,2825
1353,29637
263,22058
263,15062
263,7768
14813,64265
5089,30996
263,33407
3339,5777
263,56738
263,69645
263,1401
263,15901
263,2677
263,23571
3339,31613
36654,2825
3564,1217
263,27445
263,35361
1353,16644
263,19704
7562,1217
263,45840
5089,1358
263,17483
263,53690
6019,16644
263,933
5089,3710
263,51928
263,62279
5089,2905
263,140
5089,63264
263,20950
263,72819
263,18188
263,62334
263,16968
30743,2825
7126,2442
5089,56258
5089,789
2375,2825
263,22666
263,12441
263,73316
7126,63264
263,65417
263,65824
6019,824
3339,56738
263,73761
263,11543
263,65690
60146,2442
263,3769
2375,3111
263,64597
263,74278
263,55902
263,74338
263,48198
263,10764
5089,23653
263,7795
1353,1358
263,74673
263,74680
263,74642
263,7539
263,41183
263,38005
5089,2825
263,27662
6019,2900
59976,2825
263,577
263,25979
263,59478
263,1041
263,67016
263,16922
263,70062
7126,12441
7126,5485
263,222
263,9977
263,57104
263,6429
263,73208
3339,2442
263,50926
1353,1336
263,17740
1353,2900
508,1217
263,72608
263,15563
263,48889
263,22162
263,1152
1301,789
263,38776
7126,3710
263,74119
3339,107
263,72954
6019,789
263,69726
263,66939
6019,1217
263,4237
263,73752
263,74698
263,74183
263,73896
3339,64597
263,4694
263,67478
263,55922
263,71910
1353,2442
263,56770
263,24180
1353,63264
263,75286
263,200
263,66014
28684,2825
263,2328
263,15509
5089,1041
