thinghascolor_1,thinghascolor_2
1296,1297
3600,3601
12253,12254
11643,12755
14220,2901
15456,2901
15885,2901
16852,1297
11643,17451
18295,3521
376,3521
14084,12755
6949,1297
6105,21128
21226,1297
21643,21644
6470,12754
21806,21807
22616,1297
22674,1297
9694,16063
26271,16063
12253,27301
12253,27371
12253,13826
3243,12755
3303,1297
3522,3521
3522,16063
701,16584
31156,3521
28658,12254
6949,3521
14409,12755
21806,12755
3600,32716
33064,11642
15204,14397
6105,35050
12964,2901
12253,11642
6470,2901
9879,2901
38907,38908
11643,39159
6949,12755
39516,2901
1235,14397
12161,2901
27272,16063
27272,3521
701,40953
6105,14397
28658,3521
21806,6948
8280,1297
8280,2901
8280,31584
44233,12755
45265,45266
5678,16063
6105,6948
363,11642
2423,21807
15376,11642
21806,11642
8280,14397
12253,31584
3600,40343
363,27301
6105,11642
50833,1297
12253,51803
21039,2901
14398,2901
29015,21807
50903,11642
6470,45266
54919,11642
3600,51803
27272,1297
49318,6948
31156,12755
37399,37398
51686,11642
780,2901
28658,12755
3243,6948
57870,2901
12253,1297
363,58064
58221,14397
3600,58433
6105,3601
58466,1297
40321,3601
59235,1297
11643,6948
29015,59568
59625,16063
9694,11643
9958,11642
3600,60532
60694,2901
37792,11642
21806,3521
40321,12254
8280,6948
8280,3521
16064,16063
6105,16063
47712,2901
3600,27183
39296,49666
29015,12755
3600,63396
53114,3521
6105,12755
12253,28133
40321,16063
65122,3521
3349,6948
65434,3521
29015,3601
13858,2901
53114,1297
12253,58064
45265,2901
6105,27183
21806,27301
45509,2901
363,30144
3291,2901
65702,6948
29015,2901
69430,1297
69430,3521
47050,12755
29015,69795
31156,16063
70032,2901
29015,68811
66630,3521
34919,1297
3292,2901
12161,39296
14398,14397
27272,11642
49318,12755
12253,16584
71584,2901
11660,11642
71685,14397
27272,12755
3600,25732
40321,14397
44233,6948
29015,67344
12253,3521
29015,6948
29015,3521
11643,11642
3600,48159
50903,1297
72590,1297
2902,2901
3600,12254
3600,57763
14409,3521
45265,12754
363,1297
45265,11642
34919,2901
21806,31584
3600,71694
14409,14397
8280,11642
11643,16063
12253,12755
21806,1297
14084,2901
44328,2901
8280,16063
53624,1297
3150,2901
6105,1297
45760,12755
3600,21128
6949,16063
40321,12755
12561,2901
66630,1297
12253,6948
11643,1297
3600,74449
60219,16063
39296,14397
73732,2901
29015,21644
53114,6948
45265,1297
6105,2901
41313,2901
1012,11642
69442,11642
12253,64619
21806,27371
49483,12754
40321,6948
50833,3521
8280,3601
14084,1297
14156,2901
29015,16063
64522,2901
8280,12755
75343,6948
68446,2901
40321,51803
11643,14397
55390,3601
6949,6948
3600,27301
72590,2901
31156,11642
40321,3521
27272,57763
3600,74911
27272,14397
3600,3521
