animalsuchasfish_1,animalsuchasfish_2
576,577
714,715
1007,577
3491,3492
4794,808
2882,3486
5570,577
2167,6519
7064,577
108,715
7839,1406
7988,3486
8904,8905
9041,577
2882,9135
10374,1406
10991,10992
6227,1152
9223,8905
15638,577
10991,11377
11377,10991
10374,16964
108,17207
17224,1406
10374,577
19386,18012
2882,808
19700,808
2882,20127
21240,808
21452,17207
22058,22059
6958,6519
22598,577
23148,577
24160,808
24196,18012
20046,1406
9149,22162
22058,6219
26154,10992
12179,26327
27287,8941
30252,808
30263,577
4794,20127
30677,3486
10374,30814
10374,808
31570,577
8841,32853
108,22162
22058,577
34229,3486
34944,1406
36346,20127
784,36964
30252,1406
37088,577
2882,37780
4794,3486
38555,577
22162,35008
4794,39624
39694,1406
4794,34297
18013,18012
8501,17207
27287,38131
40706,577
24160,577
8841,8842
42053,18012
4794,1152
8501,42283
6220,577
44393,1406
8501,44925
23662,8941
3491,34297
9149,6519
1007,43251
4441,19703
30263,14468
36676,577
12877,47001
8501,6519
2882,8905
2415,28119
2882,3183
24862,3486
108,1406
48832,577
26154,35008
4535,35008
50074,1406
10991,3491
6220,7811
108,42283
8501,50430
50493,1406
10991,50792
22058,1406
28252,577
45925,1406
8501,51102
47972,1406
31929,577
52334,1406
982,8842
2882,52720
20281,808
2882,53091
23662,38131
37541,1406
53259,20127
53630,577
30263,37744
10374,54445
54714,1152
54782,38131
1007,6219
2882,715
52944,577
108,6519
42727,1406
784,17207
17224,577
22162,11180
3158,19703
108,1152
31388,8941
19700,20127
7839,577
2735,43858
8501,3486
57623,8941
26154,1152
4306,3486
982,19703
24160,1152
59232,1406
576,808
2882,59670
6220,6219
2415,1406
19679,18012
24160,1406
37088,54445
784,1152
8917,1152
108,30176
3487,3486
4535,1406
1007,40615
53259,808
10374,1152
62016,1406
6220,40615
2882,2011
62696,8941
2882,11377
8841,715
63093,38131
24333,43858
9223,1406
27911,22529
26154,1406
886,577
63399,1406
3486,18012
60852,1406
32550,3486
34626,577
2735,8905
63614,1406
45282,1406
2882,50792
10265,3486
30252,577
16578,1406
8501,29701
46637,1406
16578,10992
2882,18012
2735,53344
30263,17207
3158,715
7064,38131
45974,577
65844,18012
33263,18012
17179,1406
8501,63524
4535,41353
24333,577
21452,808
57623,38131
19006,1406
19386,20127
8917,715
7064,8941
2735,3183
66904,1406
30770,1406
20281,1152
22980,577
38555,1406
67608,3486
2735,8941
6220,64089
55668,1406
24862,49915
30263,3486
33263,1406
6220,3183
29201,1406
68717,1406
21452,3486
2415,8941
14101,38131
20928,577
2882,22059
30263,20127
35506,3486
69601,577
10991,3486
2882,4794
60782,577
1759,3486
108,29701
31120,1406
31120,18012
31388,3486
29202,1406
54714,20127
3491,10991
64613,1406
6220,43251
12179,8941
71035,577
10374,69190
8501,39547
9149,3486
26154,41353
6220,1152
30263,10992
7064,1406
23148,1406
72018,577
784,11377
6227,577
16578,1152
2882,1406
886,1406
2882,1152
9223,577
72906,1406
24160,18012
2415,38131
12179,38131
8841,19703
4535,808
108,3486
10374,34297
24160,20127
2882,577
5570,34297
21240,50792
2735,36652
6227,1406
2735,1406
10991,34297
14101,8941
16578,35008
2882,66533
62547,3486
24160,3486
9149,44925
51262,1406
2735,54445
37330,715
31388,34297
6220,1406
8501,71018
12179,577
1007,1152
6220,808
16578,808
30252,34297
2882,30263
108,74793
8501,1152
63093,8941
54536,577
54536,1406
50493,577
57026,1406
54782,8941
12179,73852
48608,36652
982,715
9149,19703
5570,1406
7009,1406
2735,38131
8501,26119
7988,17207
26154,808
18402,1406
4535,10992
12877,577
2882,16964
31388,20127
16578,41353
51725,8905
42727,577
2735,577
9223,40615
1007,1406
9149,715
62602,1152
26,577
21240,3486
30252,16964
26154,2011
576,10992
4794,28757
576,1152
6220,16964
20928,1406
46945,577
4794,18012
10265,6519
4535,1152
71737,577
715,19703
31120,20127
