beveragemadefrombeverage_1,beveragemadefrombeverage_2
1179,1180
1488,1489
1869,1870
2840,1022
2977,2978
1154,5425
7003,1956
7121,2547
7305,7306
1154,3731
7813,1956
7850,2547
1023,1489
1023,9106
9806,1956
9860,1870
3976,7306
10391,1956
10550,1154
10943,1022
11905,11906
9957,1022
12781,1956
13256,13257
13331,1956
13450,1180
13533,13534
1179,2547
14383,2547
15086,1956
15134,1956
15432,7306
1154,15589
15771,1956
15791,1956
7813,16477
13256,17668
8357,1956
13450,2547
19653,1956
7813,19861
20825,9860
20881,1870
970,1956
21008,1956
21102,1870
13533,7306
21378,1956
1023,21481
21482,1956
13533,2977
1489,1154
21835,2547
22173,9957
2848,1956
9957,2547
22802,2547
3902,1870
5936,1022
3903,1870
1154,21481
1154,23807
24241,1956
1154,3902
9860,1022
25724,2547
25891,1956
7813,18064
26522,1956
3903,1180
29774,7306
30553,1956
1488,2547
3433,1956
7121,1956
13450,3902
22173,1022
1023,9957
3903,3902
15839,1956
23159,32968
1023,3902
1180,1870
20825,1022
34675,1956
35006,2547
35393,1956
14526,1956
11661,1956
23807,1022
1870,2547
36728,1956
36772,1956
7813,8735
4400,1154
1488,6182
37672,1956
35006,25227
1153,1870
5936,2547
1154,1153
38799,1956
38854,1956
3903,2547
30093,1956
6470,1956
9957,1870
7813,6182
17187,27154
18064,2547
39994,2547
18065,18064
13450,9106
16477,1154
13257,2547
5936,1154
40609,1956
2548,2547
40739,2547
1179,1870
8484,2547
40927,1956
41039,1956
41051,1956
29624,7306
16286,1956
41581,1022
7813,19448
41806,1956
41810,1956
41947,1956
42800,1956
38884,2547
6949,1956
1179,6182
18064,1870
6183,1870
1154,40709
45074,3620
45075,42363
7813,23807
45988,1870
14383,1022
23159,7306
46287,3620
6183,3902
46586,1022
7813,21481
8469,7306
46665,1956
11384,1956
47013,1956
13256,4399
21174,1956
47401,1956
1023,1180
42989,1022
48086,1956
19861,1022
1353,1956
244,7306
11905,34120
32246,1956
49353,1956
9924,1870
23961,49545
49801,13257
38572,1956
20825,10943
23639,1956
7813,7306
1179,1022
51021,1870
7813,1022
20825,1489
7813,5936
3902,6182
39069,1956
1489,2547
34571,17187
25386,1956
52158,1956
52233,52234
52393,1022
22173,1180
52575,7306
50663,1956
35257,8735
52617,1022
23906,7306
28565,1956
11820,1956
52598,1956
35229,1489
54549,1956
7306,1956
17475,1956
10979,1956
53712,2547
1488,6739
1488,8735
1023,5936
25910,2547
13450,1489
55831,1956
46765,1956
55886,1022
7813,1180
52046,7306
38509,1956
38884,1022
54183,1956
1154,10943
56519,1956
21481,1022
35229,1956
10943,2547
27237,1956
9284,1956
23159,57284
57398,1956
13256,14383
23807,2547
57821,1022
45075,3620
22658,1956
1180,6182
1488,1180
1154,1489
37296,1870
40709,1870
1488,3902
1179,19448
53712,1022
33378,1956
3620,7306
42831,1956
59195,2547
25724,1022
1154,13257
13450,1870
59398,1956
22173,37296
27438,1870
23512,1956
15432,1956
1153,1022
4731,1956
1199,1956
59736,1022
54278,1956
27368,1956
7813,1870
35257,6182
7995,1956
60449,7306
60504,1022
12845,1956
16477,1022
60940,1956
52502,1956
61212,2547
13450,9957
13903,7306
61551,1956
51139,1870
19448,1022
37308,1956
9056,1956
61960,1956
62066,2547
7813,9957
40709,1022
6183,1180
28175,2547
26439,2547
1023,1870
7813,1153
7813,9860
1488,19448
7258,1956
25227,1956
1154,55257
23961,9806
1154,1870
16324,2547
20825,1154
42363,3620
57203,1956
43112,1956
63616,1022
51139,2547
9924,1489
232,1956
63701,1180
3902,21481
1154,6182
3903,1489
25910,1956
4400,4399
7813,10943
3976,2977
1023,6182
49801,21481
3976,9806
42044,1956
35325,3620
23961,3620
6287,1956
17187,7306
27073,1956
3976,1956
65555,2547
13256,1154
1489,1022
65700,1956
46440,1956
8469,1956
1180,2547
1488,9957
6183,1022
13257,1870
11635,1956
66581,1956
244,1956
58834,1956
43112,7306
13450,21481
62721,1870
49862,1956
35257,47953
17572,1956
7813,38884
67114,1154
67120,1956
55379,1956
40105,1956
1956,7306
13257,1022
1154,67315
50217,1956
13533,1956
44752,1956
58200,1956
67841,1956
17187,1956
6183,6182
1154,2547
35006,7306
23640,23639
35257,1022
52158,7306
30596,1956
60307,1022
55772,1956
68435,1956
18988,1956
13903,1956
28802,7306
68754,17187
27154,7306
32968,1956
9987,1022
6019,1956
1154,47953
22173,8735
23159,69103
1154,39871
1154,9957
5425,1870
1023,1022
22394,1956
35006,54226
62118,3620
24709,1956
1023,19448
38509,7306
1353,7306
1154,70101
60775,1956
9056,6470
2837,1022
41150,8735
57688,1956
6183,6739
9219,1956
20146,1956
1154,68383
1153,2547
13903,13902
23807,1870
2977,1956
35325,17187
9860,2547
52109,1956
7813,6739
3902,2547
15432,70782
64637,1956
13450,6182
65293,1956
1154,19448
69838,1956
63701,2547
2547,1022
3620,1956
1154,5936
58200,6470
16324,1956
40609,7306
68090,1956
1180,1022
21481,2547
43492,1956
14066,1956
53907,1956
11635,7306
58839,1956
5425,2547
18065,10943
1488,1022
66047,1956
8735,1022
7813,3902
20881,2547
1488,55257
4399,1022
27868,1022
21481,1870
27438,6182
37296,1022
45144,2547
70572,2547
7305,1956
28766,1956
63701,1489
53626,1956
1869,1022
24241,69838
13450,8735
72665,1022
8735,2547
72652,3620
44621,1956
3902,1022
1488,10943
17682,2547
71428,1956
41155,1956
9106,1870
66912,1956
60321,1956
73078,1956
73115,1022
1023,6739
27342,1956
22173,2547
27154,1956
1023,2547
28175,1022
1489,1870
36051,1956
13499,2547
68547,1956
31133,1956
18985,1956
1154,1180
37114,1956
6183,2547
13256,1022
13256,9806
23822,1956
69886,1022
63073,1956
2885,1956
1956,1154
6470,9806
73715,37114
31483,1956
21482,7306
64742,1956
20825,6739
65993,1956
1154,1022
73918,2547
9924,2547
7305,9806
73963,1956
1023,13257
4400,1956
34120,1956
2978,1956
74091,1022
20825,23807
7813,1489
1488,23807
34030,1956
1957,1956
73311,1956
7813,13257
74393,10943
16475,1956
7813,20881
8735,1870
56380,1956
43781,1956
71305,1956
7813,2547
1154,9106
7813,41996
71433,1956
17608,1956
40105,7306
32120,1956
52352,1956
14300,1956
13256,9860
27438,1022
11906,1956
74083,2547
72930,1956
52457,1956
73811,1956
9924,3902
65036,1956
1023,8735
35257,2547
16477,2547
74840,1956
73371,1956
67653,1956
1870,1022
7813,4399
64201,1956
13256,1956
27438,2547
12467,1956
71420,1956
13256,6739
58184,1956
74990,1956
1154,75002
28802,1956
7813,75021
13450,19448
19448,1870
22173,3902
9924,6739
30596,1022
11905,1956
61320,1956
1179,1489
64982,1956
42399,1956
45127,1956
20825,2547
71672,1956
19448,2547
1154,8735
75201,1956
62435,2547
4731,9806
4400,13256
73888,2547
75122,1956
23897,1956
69791,1956
1023,10943
68592,1956
2977,1154
71210,1956
55772,38509
71215,9806
47705,1956
1154,51139
14383,47953
1180,3731
22173,21481
74968,1956
1154,1869
23159,20146
22173,6182
37114,3620
7813,57277
1154,25724
15598,1956
35006,31133
57821,2547
35006,1956
13256,10943
1154,20881
1154,14383
67543,1956
18064,1022
29774,1956
22173,1870
25029,1956
3433,7306
1488,1870
11905,13256
1179,6739
10943,1870
61523,1956
55772,2978
1179,3902
38150,1956
3903,1022
71614,1870
70759,1956
1154,6739
11382,1956
1488,1153
35257,7306
70905,2547
