animalsuchasinvertebrate_inv_1,animalsuchasinvertebrate_inv_2
958,959
982,983
27,995
1159,1160
2415,2746
386,2916
982,3846
27,996
386,8298
6701,8501
996,1159
9150,10265
959,6701
982,4275
982,4694
386,885
982,1067
1976,2999
15483,8612
2415,2414
2415,2531
27,20704
2088,10013
27,22165
3680,22288
22589,6958
23673,959
9150,108
386,6498
982,2999
958,2999
386,4829
6701,29761
2461,1159
30127,6958
386,996
30972,2399
6970,2167
2088,2882
33580,27
982,14532
982,1088
7783,1160
10425,959
26,2328
1160,2999
4613,108
5738,1927
8008,27
39417,27
2922,784
37057,2168
386,2462
5738,983
31570,9149
23673,386
1976,1977
2746,19385
958,784
2415,37246
36327,784
2415,43417
15483,1159
42604,1067
3290,108
12877,27386
982,1616
3696,386
5738,1111
2088,6127
886,6128
2415,40336
27,784
15483,8298
7195,959
958,2882
4373,8501
386,11325
386,886
386,3120
9350,27
16060,27
982,6853
386,6127
30972,784
982,3730
2088,386
958,1160
959,11907
3680,12263
10926,15483
2415,43415
386,6273
6701,10265
8008,1160
996,2774
386,995
11645,6970
5738,6216
4373,29761
1159,7052
12877,959
43126,959
5290,2916
6701,9149
10013,2088
8841,4441
7195,784
10104,2168
386,8871
386,11815
10926,108
6970,959
12024,12263
782,781
959,12263
27386,12877
3680,29761
11842,784
10104,22589
2415,28119
18565,959
6970,10265
2088,9229
1976,784
1976,1029
958,996
5738,1616
2461,996
386,837
27,34167
386,1111
386,14798
8008,784
21852,2882
24721,15314
386,6750
2415,12877
10425,27
37057,959
982,15870
21852,386
21852,784
2415,58637
5738,15870
10425,784
31570,6958
4373,3681
2415,3319
996,2461
27,9967
958,386
982,4441
12024,3681
982,6216
23837,108
38120,784
12877,26
27,20723
32497,784
982,1111
2415,51463
7923,959
982,3158
2922,11907
2415,19385
12024,8501
12877,996
15483,2774
27,886
25711,108
982,2328
386,1300
24721,6958
2415,12263
12024,108
30121,6958
10425,19345
3680,784
982,2399
8008,108
8288,959
10104,6321
69508,27
27,10207
6970,108
2922,959
781,782
26106,108
386,10949
23673,27
2088,27
386,9229
1976,108
2415,15314
30972,982
45529,108
27,8737
30972,8181
37057,42639
23837,6958
7195,6970
386,1159
2415,27947
982,784
3680,108
982,7962
982,2511
5738,5970
2415,5949
32742,6958
23837,9149
6701,959
23673,2999
26106,959
6864,1793
26,14532
1976,996
20328,2999
1997,982
5878,3681
38017,959
982,8842
386,10425
2916,2462
24862,4694
33580,2882
386,1927
31570,784
2415,15761
11907,959
2415,14949
49726,959
5738,12979
386,3696
6970,5291
982,21852
9150,9149
982,17438
4373,12263
6970,5176
982,2362
12877,27
24862,2399
12877,784
23837,8501
12877,2999
12877,108
982,12979
2415,35981
32742,22589
2415,15414
4613,5176
20624,2882
31570,22589
982,1997
3680,959
6970,8501
3680,8501
5291,39270
5291,12263
3680,3681
2415,959
781,784
1976,27
12877,5176
37057,6970
12024,29761
8612,15483
10425,108
21852,3111
10425,386
3681,959
7669,2916
3696,2916
12361,27
27,3120
41488,6970
1976,386
15870,2882
1160,1159
2273,27
2922,3681
12877,386
41488,959
982,11815
1976,2916
