sportsgamesport_1,sportsgamesport_2
3305,47
8840,47
9030,47
13030,47
15218,454
17981,47
18970,47
19671,47
19871,39
19369,47
24385,47
25008,3531
26550,47
11730,47
30459,454
31235,47
32239,47
19388,47
29169,47
21011,47
9196,47
21920,47
37223,47
805,47
5431,47
41468,47
36561,47
1249,47
20355,47
9093,47
45655,1100
35485,47
157,47
47308,1141
47570,47
21138,47
31917,47
48125,47
9597,47
30045,47
35738,47
21270,47
47400,47
5873,47
56303,47
20356,47
48112,47
14866,47
22873,47
40949,47
62692,1141
37402,47
63398,47
63710,47
23736,47
3457,47
35461,47
67744,1100
47340,47
16637,47
7980,47
25354,47
48667,47
29552,47
13548,47
20318,47
59781,47
42329,47
3353,47
29879,47
14112,47
48766,47
20041,3531
44349,47
36387,47
51407,47
44033,47
28310,47
24231,47
59664,47
36732,47
39058,47
20291,47
22773,47
44770,47
39692,47
44157,47
23097,47
53136,947
74732,947
11850,47
65654,47
43628,947
62835,47
