agentcompeteswithagent_1,agentcompeteswithagent_2
632,633
895,896
1086,1086
1336,1337
1833,895
2010,895
824,1216
99,1597
1512,2252
895,2287
2399,2400
2444,895
500,3539
544,3152
4158,895
4942,4943
895,5083
1512,5268
5346,895
1512,54
3539,500
2665,6042
6060,6061
895,3969
6640,824
54,1512
895,6826
7176,1512
257,257
1512,8113
8180,8181
784,27
8471,8472
9344,895
9353,2178
895,9511
2825,8180
617,9832
9871,4284
2277,895
1275,10908
10953,1805
1512,1873
1805,719
107,11543
791,844
11815,2825
12166,2205
791,7309
4943,13021
299,3152
895,895
675,354
4284,9075
791,859
15118,2825
3795,633
8180,784
1512,16664
17269,1512
17246,4284
10954,17473
1512,17498
791,1966
791,11716
15761,2415
16417,895
107,4306
791,3689
19345,10425
19900,895
675,19923
1081,784
16664,1512
18969,2277
19999,824
5129,20168
791,13971
1512,9452
7821,11927
791,21900
250,13152
10278,15672
1805,5138
1512,1511
2252,1512
2399,784
250,572
3900,22804
6400,2825
23024,1512
23256,895
2173,17407
20260,500
23941,107
23995,1512
24063,895
24143,824
24168,1512
11874,824
24863,6536
1512,25131
25159,25160
1805,8147
895,25266
20564,20564
895,4158
8113,4943
5032,1805
895,21850
895,26651
1512,26796
26836,26837
19379,1512
791,27351
14878,895
784,19575
1512,7176
1275,27859
27871,824
27988,1512
2287,28093
784,971
28350,824
1512,13040
895,28719
25659,1512
11928,6248
871,217
7821,4284
895,3959
1041,2900
5485,16644
895,9490
7037,27988
30088,4284
8147,1805
1512,30267
30603,784
30679,107
1512,30730
895,9435
1976,27
446,172
1512,31142
31330,895
2665,31528
4284,7462
15008,11109
895,18180
6927,633
3795,572
32081,1512
7669,27
719,1805
32664,2399
32719,32720
33016,895
7467,107
1512,1698
895,22539
350,1597
24878,824
895,24276
13021,4943
1512,17246
1512,10908
791,1373
895,35302
895,35442
2178,1275
107,35790
791,2173
500,30640
1962,4284
16097,35989
3152,1424
791,1183
895,36596
28719,895
895,5737
37095,1275
14221,1512
1512,27430
7923,959
37512,17385
6060,37523
1512,4911
895,37636
791,3558
1275,5952
2665,16917
38319,4284
30852,895
895,18651
1275,38662
1512,1523
5138,1805
10926,1160
18651,895
1988,2064
14674,895
