istallerthan_inv_1,istallerthan_inv_2
1216,1844
1216,2092
1216,4324
1216,321
1216,1952
1216,7981
1216,6375
1216,2205
1216,4607
1216,10031
1216,10325
1216,11191
1216,3877
1216,250
1216,13297
15697,15698
1216,16737
1216,818
1546,2205
1216,2366
1216,17978
1216,18382
1216,7664
1216,16876
1216,7616
1216,23252
1216,24146
1216,24969
1216,6422
1216,26029
1216,10129
1216,8672
1216,6101
1216,28095
1216,14324
1216,29262
1216,819
1216,2163
1216,31977
1216,11042
13557,21375
32434,7485
1216,32655
33687,32525
1216,15516
1216,3568
1216,2662
1216,16484
377,299
1216,24931
32434,37339
1216,1016
1216,114
1216,39325
1216,4593
1216,19536
32434,33296
1216,7224
1216,41087
1216,5662
1216,20735
1216,751
1216,1434
1216,6911
1216,16772
1216,1738
1216,35994
6192,44846
1216,1239
1216,3434
1216,11507
1216,30
1216,5593
1216,1061
1216,47506
1216,47704
4489,2205
1216,844
1216,3205
1216,49438
1216,49451
1216,1568
1216,4485
1216,50176
50496,50497
5791,50752
1216,243
32434,51263
1216,17929
1216,1025
1216,26940
7294,39471
1216,16218
1216,3538
1216,377
1216,5238
1216,50932
1216,136
1216,27588
1216,904
1216,42523
1216,6831
1216,3563
1216,49863
1216,1538
1216,26941
1216,23197
1216,5896
1216,56679
1216,1267
57016,10613
32299,12085
1216,7151
1216,31904
1216,2063
1216,58954
22976,250
1216,7240
1216,859
1216,48837
1216,9863
1216,3370
32299,2269
1216,32937
22344,11191
1216,20468
1216,61531
32434,25377
1216,980
1216,905
1216,9681
1216,55518
50496,46100
1216,2107
1216,16165
1216,946
377,250
1216,37413
1216,12835
1216,1138
1216,6798
20009,4593
1216,3005
1216,55258
1216,18169
1546,250
1216,3773
32299,17803
1216,3870
1216,4099
7815,250
1216,28962
1216,6912
1216,9038
1216,4223
1216,67201
1216,44846
1216,7815
7294,50470
1216,2308
1216,18078
1216,68475
1216,8495
68862,68863
1216,7998
1216,1627
1216,4489
1216,2626
1216,21375
1216,2417
1216,20973
51263,32525
1216,17119
1216,56631
1216,60226
1216,32146
1216,2269
1216,24743
1216,4532
1216,12362
1216,19229
1216,12798
1216,60421
1216,6441
32526,32525
1216,49078
1216,866
1216,48394
1216,37386
46100,69383
1216,3885
1216,4047
1216,6192
1216,24212
1216,11637
1216,7821
1216,36
1216,57797
1216,719
1216,68631
72517,32525
1216,3726
1216,15666
1216,72916
1216,682
1216,5397
1216,19522
1216,2390
1216,73104
1216,4462
32299,10294
1216,45992
1216,17392
1216,3105
377,7128
1216,9776
1216,59533
1216,12598
50497,68863
1216,74596
1216,12434
1216,59236
32299,40841
32434,74731
1216,21785
1216,9624
1216,6877
1216,18716
1216,1841
1216,14295
1216,5597
1216,60909
50497,74663
1216,12085
1216,13810
1216,61858
1216,17733
1216,299
1216,27787
32299,23335
1216,75174
5791,45992
1216,71562
1216,70291
1216,61350
1216,2271
32299,6340
1216,73930
1216,14730
1216,2283
1216,6747
1216,32299
46100,68290
1216,7557
1216,717
1216,347
1216,8093
1216,6632
1216,75395
1216,270
