athleteplayssportsteamposition_1,athleteplayssportsteamposition_2
3667,3668
4799,4800
4828,3668
4929,4930
5578,5579
6301,5578
6732,6733
7526,1554
5793,8157
3668,8792
10910,2051
3668,10913
11343,3668
3668,12047
12156,12157
12700,12701
754,13088
3668,4127
5578,12647
5578,942
4930,3668
4567,754
15320,15321
16696,10910
17065,6732
17263,3668
3668,14359
754,4567
3668,19714
20218,6732
4930,15321
3668,20708
3668,8412
3668,1325
1554,7526
3668,2371
5578,2371
9472,3668
7067,5578
23858,5578
5578,24613
12940,15321
5578,26666
2967,3668
5076,10910
27103,5578
2499,3668
10910,4567
3668,8292
28440,3668
28585,6732
29332,6732
29772,6732
16696,3668
15321,13088
2499,31105
12940,12156
7162,5578
4929,13088
11944,15321
31419,3668
34313,6732
3668,7876
3668,4145
5578,35596
3668,2887
11944,12156
12156,6062
6732,28585
3668,4828
38355,3668
3668,2507
11902,12156
4800,4799
39187,18736
6732,39637
11944,4929
2051,3668
35307,41791
3668,159
41883,5578
3668,4309
3668,14540
5578,6301
9171,3668
3667,12156
5578,7067
15320,3668
12157,15321
12306,3668
12524,3668
4930,16713
5578,41883
6732,20218
3668,12940
8157,45230
3668,32328
43861,13329
45416,18736
3668,4930
1554,3668
18803,3668
3668,17263
4567,3668
3668,8611
7069,3668
18736,39187
159,3668
45230,8157
47899,3668
3668,942
8157,5793
3668,6163
8292,3668
3668,49911
3668,20218
10910,5076
52034,8157
23263,41791
29246,3668
4567,4929
53080,12156
12647,5578
53133,23263
3668,21651
12157,4929
3668,11343
3668,2499
26666,5578
11902,4929
3668,3435
6716,15321
33029,3668
54357,5578
4567,15321
28275,3668
7526,4930
3668,28440
13088,15321
23333,5578
3668,12306
4930,12156
5578,27103
3668,2051
15321,12157
15868,8157
4309,3668
5578,57906
2601,5076
3668,9171
12156,13088
22687,5578
15971,3668
15868,4929
19714,3668
2371,5578
15320,4929
59453,5578
6062,8583
33284,3668
2371,3668
49000,8157
8157,11902
2051,10910
4930,7526
7751,3668
3668,16696
30607,3668
31105,2499
3668,31936
12156,53080
5793,4929
57119,3668
62114,3668
23263,53133
12940,3668
5578,22687
12940,4929
12565,3668
2869,3668
5578,59453
4145,3668
12940,8157
4929,12157
6732,14955
12156,11436
8611,3668
6732,29772
15321,12940
4930,4929
13240,5578
5578,23333
5578,23858
11035,3668
6732,64346
8412,3668
48236,3668
15321,15320
3668,14053
41791,35307
24613,5578
3667,15321
3668,31663
32328,3668
12156,11944
61467,6732
5076,2601
8157,52034
13329,43861
5578,9622
5578,31963
3668,57119
2135,15321
4930,8157
6732,61467
6732,34313
42777,4800
8792,3668
15321,4567
3668,9472
28889,3668
6062,12156
11944,8157
11436,12156
5578,54357
15321,2135
12157,3668
4929,12940
6732,69173
4800,42777
5578,7162
378,3668
942,5578
3668,6990
8583,6062
3668,15320
41357,3668
3668,33029
5578,12524
3668,47899
2887,3668
3668,19297
4567,10910
4929,11944
70256,5578
12156,4930
7876,3668
8881,3668
3668,26077
39637,6732
6163,3668
5578,70256
63595,3668
6733,6732
5578,32328
3668,33284
3668,2135
6732,14271
6732,17065
15321,3667
8157,4930
19297,3668
3668,62114
14955,6732
35596,5578
3668,12565
3668,41357
3668,12647
24613,3668
20218,3668
33284,31105
10910,16696
12647,3668
4929,15320
4127,3668
3668,12524
72513,754
8157,12940
12157,12156
3668,12157
4929,15868
5578,11616
3668,29246
8157,49000
754,72513
3668,24613
13088,754
8445,3668
21333,12156
3668,28889
6732,29332
6732,73106
3668,8325
11902,8157
3668,63595
5578,73328
12047,3668
12156,3667
2135,3668
3668,71089
71089,3668
2590,3668
3668,18803
49000,12156
1325,3668
31105,33284
73106,6732
14359,3668
35307,53133
3668,4567
3668,1554
8157,11944
32328,5578
18736,45416
14271,6732
31963,5578
12156,49000
3668,11035
3668,38355
12156,15320
3668,2590
62358,21371
12156,12940
3668,3667
11616,5578
16713,4930
41791,23263
8157,15868
4929,5793
8325,3668
12156,21333
3668,378
3668,30607
6990,5578
5578,13240
15321,6716
11944,3668
64553,6732
31936,3668
69173,6732
3668,7751
2601,49000
57906,5578
14540,3668
6732,64553
3668,48236
3668,19980
12701,12700
3668,2869
73328,5578
5579,5578
9622,5578
13088,12156
15321,4930
49000,2601
19980,3668
12156,11902
942,3668
31663,3668
3435,3668
20708,3668
3668,7069
6990,3668
14053,3668
3668,2967
4929,49000
3668,28275
12524,5578
3668,15971
49000,4929
15321,11944
10913,3668
26077,3668
5578,6990
53133,35307
3668,11944
21651,3668
4929,11902
49911,3668
2507,3668
3668,31419
3668,8881
64346,6732
4929,4567
3668,8445
21371,62358
15320,12156
13088,4929
