buildinglocatedincity_inv_1,buildinglocatedincity_inv_2
518,519
1377,1378
1454,1455
74,3239
3534,1917
3930,3931
5896,5897
6422,6423
889,6728
4236,7646
889,8489
5896,8620
9480,9481
1816,1815
889,9563
5790,9978
889,10067
10241,10242
10288,10289
889,10671
59,58
10890,10891
889,11342
12251,12252
7084,12287
2113,13095
74,13489
4236,13908
14046,14047
731,484
5019,14277
889,14492
15285,15286
889,15318
133,15327
15640,15641
5228,16213
889,16360
889,17006
889,17231
889,18078
18571,18572
889,18949
133,18981
299,5908
889,19277
19478,19479
889,20225
889,20718
889,15290
207,21170
133,21282
528,21813
2592,21976
889,9928
4236,24047
889,24289
889,11707
299,24479
889,24951
18106,25061
14289,25209
889,25585
889,25663
889,25726
889,26044
889,3254
9422,26570
5228,26699
27195,1438
5911,5910
10314,10313
299,27723
250,11763
5459,28396
2514,28431
889,14049
10644,10643
11225,29123
29924,29925
889,30646
1377,30805
1421,30851
889,30930
4236,31574
1668,31597
1916,12572
889,31693
32125,24277
14914,32173
1825,25885
22525,22524
889,32984
3563,33033
4236,33051
4665,4664
2307,29371
8310,33986
14046,34066
4393,34326
889,34428
34498,34499
10503,12753
12251,29470
14566,29981
889,35332
9133,35577
3,35586
32261,35590
889,35826
19361,21756
9133,17003
133,36314
889,1443
992,6004
10986,37189
889,35195
889,37534
17232,37716
19953,38012
18164,18163
6181,38385
133,39242
40283,40284
235,30888
6422,5606
914,40584
133,41233
3090,39445
889,11565
889,41729
7906,11904
30403,41803
133,41885
889,30081
8310,42397
410,42036
1825,42709
7208,43005
43118,43119
43198,43199
6698,43221
889,43223
4053,43243
235,43298
889,16065
32261,32260
3563,26191
889,44225
889,44278
889,32502
889,5618
6296,6295
133,24232
889,45004
889,25723
889,45838
889,46091
27814,37097
889,32185
889,17914
889,46577
1825,32766
5896,24295
889,798
299,36378
889,47357
9365,47396
47557,47558
889,17381
889,41111
889,48019
889,48257
33717,33718
133,48693
44515,44514
889,49016
207,49022
889,5546
39316,39315
34649,49896
25183,25182
565,50241
889,29452
889,25725
889,50866
133,50885
12398,50952
25583,50993
2662,39502
34679,50999
889,51099
889,17632
5790,51154
36822,36821
4236,37154
731,51380
889,51728
889,51789
8047,14194
3222,22519
1916,52117
889,2796
528,19972
889,32656
18579,41726
235,52412
4099,51834
20703,10826
889,20512
889,37958
11664,23919
6422,53025
889,12835
133,44418
889,25717
4236,53935
889,54018
889,54178
133,54217
889,888
4236,54393
20432,20431
889,55105
6386,27945
299,12002
889,55684
889,13804
889,56325
5121,49546
992,35004
9417,28305
7846,7845
889,39490
5790,56885
889,5916
8647,56977
889,5997
889,37690
1593,56500
889,11463
889,4387
5756,8885
9012,39303
556,33820
2899,37129
32877,40948
133,35228
889,58175
889,33056
24092,24091
133,46100
10503,57183
2113,58505
889,58621
889,58749
12308,55635
731,59191
889,38225
8047,15910
4861,59550
1825,11080
555,46796
1894,30346
889,55154
4983,60654
9500,16359
889,15856
979,20989
42,42163
7452,54934
889,61412
889,15270
889,54653
889,62201
731,19945
889,53910
299,8949
889,19697
52607,52606
889,62839
299,62858
889,18875
8394,8395
889,62979
914,25714
4764,4763
4236,43394
2514,34064
4236,49813
1020,415
19596,63267
410,63749
5896,23361
50427,38266
889,37931
3115,64244
14347,14346
889,46778
889,43970
1876,33034
479,12486
889,39021
889,65073
565,43399
889,34595
565,14618
889,44723
20703,24891
7057,39394
889,50921
3883,3882
889,63374
2155,65823
43992,43991
28976,28975
3579,53675
55375,55374
133,16708
12308,52069
889,66090
7921,33899
3563,46815
889,23880
889,66449
133,66554
14570,53652
565,66732
133,66777
80,3884
13464,3249
133,59403
8047,67024
