plantgrowinginplant_1,plantgrowinginplant_2
3545,3546
1009,4331
11066,9958
12231,1009
14942,3546
1009,363
8887,3546
1009,3546
22942,363
23193,3546
12159,3546
363,8963
26846,26847
29623,3546
31471,12584
363,26847
36477,363
9031,363
20300,3546
21551,3546
1009,14942
382,9958
3996,3546
22379,22378
25432,9958
45300,3546
21099,363
36477,47383
49463,3546
50036,1009
45862,3546
20691,3546
31471,363
55411,363
19839,56577
9958,363
58178,15871
22442,9958
59591,363
3546,9958
1009,47383
1315,3546
31471,3546
50036,8963
8963,9958
1430,3546
64163,3546
41552,3546
1009,9958
31860,363
29309,3546
840,363
22379,3546
12231,24908
69225,3996
12231,17902
840,9958
33347,3546
10338,363
12231,363
18995,3546
8963,3546
71662,3546
20691,363
20802,3546
36477,3546
12231,382
21099,3546
363,9958
9115,3546
37699,363
58592,3546
69908,3546
12231,8963
1009,67150
56451,3996
49993,363
3997,9958
47486,1009
36477,15871
701,3546
19839,363
73583,3546
840,8963
60046,3996
64628,3546
382,3546
61141,363
1009,15871
9958,26847
